source_id,horizon_months,split,rows,sites,bloom_positive,origin_min,origin_max,target_min,target_max,bloom_negative,bloom_rate
aquamatch_chla,1,test,66226,8829,7782,2022-01,2024-05,2022-02,2024-06,58444,0.11750671941533537
aquamatch_chla,1,train,901569,43288,123570,1970-01,2018-11,1970-02,2018-12,777999,0.13706105689082035
aquamatch_chla,1,validation,110443,12420,12376,2019-01,2021-11,2019-02,2021-12,98067,0.11205780357288375
aquamatch_chla,2,test,65117,10261,7790,2022-01,2024-04,2022-03,2024-06,57327,0.1196308183730823
aquamatch_chla,2,train,892319,46508,121212,1970-01,2018-10,1970-03,2018-12,771107,0.13583931307077401
aquamatch_chla,2,validation,106736,13687,12013,2019-01,2021-10,2019-03,2021-12,94723,0.1125487183330835
aquamatch_chla,3,test,55831,9332,6689,2022-01,2024-03,2022-04,2024-06,49142,0.11980799197578407
aquamatch_chla,3,train,821392,43855,111147,1970-01,2018-09,1970-04,2018-12,710245,0.1353154157819896
aquamatch_chla,3,validation,94463,12937,10450,2019-01,2021-09,2019-04,2021-12,84013,0.11062532420100991
lakebed_us_cse,1,test,163,14,22,2022-01,2023-11,2022-02,2023-12,141,0.13496932515337423
lakebed_us_cse,1,train,2760,21,311,1981-06,2018-11,1981-07,2018-12,2449,0.11268115942028986
lakebed_us_cse,1,validation,445,21,55,2019-01,2021-11,2019-02,2021-12,390,0.12359550561797752
lakebed_us_cse,2,test,151,14,19,2022-01,2023-10,2022-03,2023-12,132,0.12582781456953643
lakebed_us_cse,2,train,2776,21,305,1981-05,2018-10,1981-07,2018-12,2471,0.10987031700288184
lakebed_us_cse,2,validation,430,21,55,2019-01,2021-10,2019-03,2021-12,375,0.12790697674418605
lakebed_us_cse,3,test,143,14,17,2022-01,2023-09,2022-04,2023-12,126,0.11888111888111888
lakebed_us_cse,3,train,2768,21,287,1981-04,2018-09,1981-07,2018-12,2481,0.1036849710982659
lakebed_us_cse,3,validation,421,21,51,2019-01,2021-09,2019-04,2021-12,370,0.12114014251781473
wqp,1,test,55151,6765,8933,2022-01,2026-03,2022-02,2026-04,46218,0.1619734909611793
wqp,1,train,432276,22308,87722,1970-03,2018-11,1970-04,2018-12,344554,0.20293053512108006
wqp,1,validation,52222,6907,8075,2019-01,2021-11,2019-02,2021-12,44147,0.1546283175673088
wqp,2,test,50423,7261,8956,2022-01,2026-02,2022-03,2026-04,41467,0.1776173571584396
wqp,2,train,399759,23739,84552,1970-02,2018-10,1970-04,2018-12,315207,0.21150743322852017
wqp,2,validation,47050,7337,7629,2019-01,2021-10,2019-03,2021-12,39421,0.16214665249734325
wqp,3,test,43696,6970,7933,2022-01,2025-11,2022-04,2026-02,35763,0.1815497986085683
wqp,3,train,365093,23084,78556,1970-04,2018-09,1970-07,2018-12,286537,0.2151670944115609
wqp,3,validation,41154,7244,6876,2019-01,2021-09,2019-04,2021-12,34278,0.1670797492345823
