phase,module,feature,membership_index,center,width
final,ANFIS-N,tp_pressure,0,0.04542873054742813,0.4116034209728241
final,ANFIS-N,tp_pressure,1,0.6130218505859375,0.1850074827671051
final,ANFIS-N,tp_pressure,2,0.9062108993530273,0.3165607452392578
final,ANFIS-N,tn_pressure,0,0.057800836861133575,0.15778912603855133
final,ANFIS-N,tn_pressure,1,0.5413581728935242,0.15768416225910187
final,ANFIS-N,tn_pressure,2,0.9348604083061218,0.26507291197776794
final,ANFIS-N,ratio_imbalance_pressure,0,0.05359845235943794,0.3090859055519104
final,ANFIS-N,ratio_imbalance_pressure,1,0.6584025621414185,0.1902279555797577
final,ANFIS-N,ratio_imbalance_pressure,2,0.9633097052574158,0.2720586657524109
final,ANFIS-F,do_good,0,0.06216628476977348,0.2965760827064514
final,ANFIS-F,do_good,1,0.7367169857025146,0.3063626289367676
final,ANFIS-F,do_good,2,0.9774340987205505,0.1303611844778061
final,ANFIS-F,ph_good,0,0.045812465250492096,0.21968886256217957
final,ANFIS-F,ph_good,1,0.6543596386909485,0.26959502696990967
final,ANFIS-F,ph_good,2,0.9678317308425903,0.18965892493724823
final,ANFIS-F,turbidity_good,0,0.18514499068260193,0.6251876354217529
final,ANFIS-F,turbidity_good,1,0.5213671326637268,0.10223754495382309
final,ANFIS-F,turbidity_good,2,0.9586095809936523,0.20489326119422913
final,ANFIS-F,secchi_good,0,0.0578857883810997,0.20830747485160828
final,ANFIS-F,secchi_good,1,0.49640509486198425,0.29847267270088196
final,ANFIS-F,secchi_good,2,0.9620053768157959,0.23618756234645844
final,ANFIS-T,temp_favorable,0,0.046151407063007355,0.1490383893251419
final,ANFIS-T,temp_favorable,1,0.4566086530685425,0.11245886981487274
final,ANFIS-T,temp_favorable,2,0.9657781720161438,0.15448987483978271
final,ANFIS-T,current_chla_pressure,0,0.03620690852403641,0.15315508842468262
final,ANFIS-T,current_chla_pressure,1,0.24920058250427246,0.2890380024909973
final,ANFIS-T,current_chla_pressure,2,0.9217691421508789,0.29245293140411377
final,ANFIS-T-no-current,temp_favorable,0,0.08742712438106537,0.3836486041545868
final,ANFIS-T-no-current,temp_favorable,1,0.8526118397712708,0.27362167835235596
final,ANFIS-T-no-current,temp_favorable,2,0.9845196008682251,0.10113329440355301
