phase,module,feature,membership_index,center,width
final,ANFIS-N,tp_pressure,0,-0.041334301233291626,0.2087053805589676
final,ANFIS-N,tp_pressure,1,0.3837222158908844,0.14804057776927948
final,ANFIS-N,tp_pressure,2,0.8351129293441772,0.2303772270679474
final,ANFIS-N,tn_pressure,0,-0.06795879453420639,0.30504173040390015
final,ANFIS-N,tn_pressure,1,0.3373730480670929,0.12921492755413055
final,ANFIS-N,tn_pressure,2,0.9836085438728333,0.174077570438385
final,ANFIS-N,ratio_imbalance_pressure,0,0.1647101789712906,0.2649935185909271
final,ANFIS-N,ratio_imbalance_pressure,1,0.7562673687934875,0.17834344506263733
final,ANFIS-N,ratio_imbalance_pressure,2,1.2687627077102661,0.22282712161540985
final,ANFIS-F,do_good,0,-0.11523545533418655,0.16696636378765106
final,ANFIS-F,do_good,1,0.4240151047706604,0.1606377363204956
final,ANFIS-F,do_good,2,1.1758977174758911,0.1585572063922882
final,ANFIS-F,ph_good,0,-0.10735511779785156,0.5512840151786804
final,ANFIS-F,ph_good,1,0.23814597725868225,0.14803487062454224
final,ANFIS-F,ph_good,2,0.959662675857544,0.16139549016952515
final,ANFIS-F,turbidity_good,0,-0.09631389379501343,0.4516976475715637
final,ANFIS-F,turbidity_good,1,0.2766907215118408,0.13795365393161774
final,ANFIS-F,turbidity_good,2,0.9321015477180481,0.1642329841852188
final,ANFIS-F,secchi_good,0,-0.13179877400398254,0.19504399597644806
final,ANFIS-F,secchi_good,1,0.3064858913421631,0.1982758790254593
final,ANFIS-F,secchi_good,2,0.8020764589309692,0.21790584921836853
final,ANFIS-T,temp_favorable,0,0.3626171052455902,0.20523494482040405
final,ANFIS-T,temp_favorable,1,0.9520494937896729,0.12584662437438965
final,ANFIS-T,temp_favorable,2,1.3422354459762573,0.2586880922317505
final,ANFIS-T,current_chla_pressure,0,-0.0816931277513504,0.20134201645851135
final,ANFIS-T,current_chla_pressure,1,0.3717607259750366,0.22245362401008606
final,ANFIS-T,current_chla_pressure,2,0.77156662940979,0.2789587378501892
final,ANFIS-T-no-current,temp_favorable,0,0.045440658926963806,0.2137683629989624
final,ANFIS-T-no-current,temp_favorable,1,0.529005229473114,0.12380348891019821
final,ANFIS-T-no-current,temp_favorable,2,0.9253898859024048,0.21447761356830597
