model_version,source_id,horizon_months,split,bin,bin_left,bin_right,rows,bloom_positive,mean_pred_probability,observed_bloom_rate,abs_calibration_error
current_refined_fuzzy_v0,all,1,test,0,0.0,0.1,90240,2195,0.028508427905294002,0.024324024822695037,0.004184403082598966
current_refined_fuzzy_v0,all,1,test,1,0.1,0.2,7651,1174,0.154004411663268,0.15344399424911775,0.0005604174141502494
current_refined_fuzzy_v0,all,1,test,2,0.2,0.3,4426,1098,0.24310989388841053,0.2480795300497063,0.004969636161295754
current_refined_fuzzy_v0,all,1,test,3,0.3,0.4,2996,1100,0.3541963400442098,0.3671562082777036,0.012959868233493821
current_refined_fuzzy_v0,all,1,test,4,0.4,0.5,3097,1487,0.45197580678233595,0.48014207297384565,0.028166266191509692
current_refined_fuzzy_v0,all,1,test,5,0.5,0.6,3516,2104,0.5478795841645463,0.5984072810011376,0.05052769683659131
current_refined_fuzzy_v0,all,1,test,6,0.6,0.7,3768,2595,0.6525521009767675,0.6886942675159236,0.03614216653915603
current_refined_fuzzy_v0,all,1,test,7,0.7,0.8,4307,3581,0.7584944212734482,0.8314371952635244,0.0729427739900762
current_refined_fuzzy_v0,all,1,test,8,0.8,0.9,1539,1403,0.8390289657467983,0.9116309291747888,0.07260196342799052
current_refined_fuzzy_v0,all,1,test,9,0.9,1.0,0,0,,,
current_refined_fuzzy_v0,aquamatch_chla,1,test,0,0.0,0.1,50983,1214,0.026448152300405543,0.02381185885491242,0.002636293445493123
current_refined_fuzzy_v0,aquamatch_chla,1,test,1,0.1,0.2,3971,559,0.15535685864481258,0.14077058675396625,0.014586271890846325
current_refined_fuzzy_v0,aquamatch_chla,1,test,2,0.2,0.3,2201,494,0.2431653085328357,0.22444343480236256,0.018721873730473126
current_refined_fuzzy_v0,aquamatch_chla,1,test,3,0.3,0.4,1398,454,0.3590923945729133,0.32474964234620884,0.034342752226704465
current_refined_fuzzy_v0,aquamatch_chla,1,test,4,0.4,0.5,1804,859,0.4523201882774377,0.4761640798226164,0.023843891545178686
