metric_scope,score_name,source_id,horizon_months,split,rows,pearson_score_risk_chla,spearman_score_risk_chla,rmse_score_risk_chla,mae_score_risk_chla,pr_auc,roc_auc,brier,recall,macro_f1
current,irc1,all,,panel,2599588,0.9639546072897062,0.9364703481009147,0.16246603790894842,0.13999418608907185,,,,,
current,irc1,aquamatch_chla,,panel,1755072,0.999999999999999,0.9999999999932742,0.14113699094933285,0.13121512824333992,,,,,
current,irc1,lakebed_us_cse,,panel,4042,0.8652784364786006,0.8181981398967888,0.19889936645422612,0.14495365066464633,,,,,
current,irc1,wqp,,panel,840474,0.9029349502451037,0.8821037691734893,0.1996349752751465,0.15830270301596067,,,,,
current,irc1_no_chla,all,,panel,2599588,0.21141363303772875,0.2375036247725867,0.42017623205694177,0.37956086797010186,,,,,
current,irc1_no_chla,aquamatch_chla,,panel,1755072,,,0.4234109728479985,0.39364538473001975,,,,,
current,irc1_no_chla,lakebed_us_cse,,panel,4042,0.42866938888449396,0.5092761968903508,0.33977739338952984,0.23426439815121886,,,,,
current,irc1_no_chla,wqp,,panel,840474,0.34305020837647554,0.38114050741097266,0.4136951445993217,0.3508484358569671,,,,,
target,irc1,all,1.0,test,121540,,,0.25855128085728796,0.20570585472189468,0.6487008239454679,0.9093099892135333,0.1480978653192718,0.8892872079823146,0.700850721701448
target,irc1,all,1.0,train,1336605,,,0.2719793395690639,0.21769579685673263,0.6285188259196204,0.8974839058023278,0.15601747170086844,0.8843730948994107,0.7056282857410949
target,irc1,all,1.0,validation,163110,,,0.2688779899086507,0.21636762533404783,0.5807268154074952,0.8965029284843098,0.1504274929088665,0.8697454403589193,0.6870557505236805
target,irc1,all,2.0,test,115691,,,0.2839377244537391,0.22400830702007427,0.580248657810167,0.872857001946205,0.15342049077419798,0.8215926036385327,0.6908700959633145
target,irc1,all,2.0,train,1294854,,,0.30099708918030066,0.2396723376120647,0.5523857082293272,0.8592003407353547,0.1628384780736562,0.8189004653781015,0.6880624449551849
target,irc1,all,2.0,validation,154216,,,0.29346107802337207,0.23435428670594122,0.5039234371615232,0.8575080016649764,0.15465850469351436,0.7972280042646088,0.6719970259776296
target,irc1,all,3.0,test,99670,,,0.30179206456748864,0.23822408502881953,0.5429872806199477,0.849615124795435,0.15870976148628715,0.785094610287588,0.6796334088573446
target,irc1,all,3.0,train,1189253,,,0.32081710769497496,0.2552817549606116,0.5052403557401358,0.831555231285725,0.17019144844336936,0.7781988525711879,0.6719945384034969
target,irc1,all,3.0,validation,136038,,,0.30946763697693264,0.24662507040497814,0.46515187263824365,0.8341357887862928,0.15744159710357308,0.7566898774241814,0.6622502714807603
target,irc1,aquamatch_chla,1.0,test,66226,,,0.25375024840629457,0.20813775190169814,0.5804801812048839,0.9076063732360791,0.13227874327645023,0.8694423027499357,0.707841775038337
target,irc1,aquamatch_chla,1.0,train,901569,,,0.27120821427579994,0.21989332097392847,0.5690473825356422,0.8928826848245561,0.14885725932511623,0.8674678319980578,0.6994862083239568
target,irc1,aquamatch_chla,1.0,validation,110443,,,0.26275767582883913,0.21473478586800437,0.5383577488176737,0.8975128787787255,0.13812289593165084,0.8526987718164188,0.6910819802247194
target,irc1,aquamatch_chla,2.0,test,65117,,,0.27905287821726443,0.22581989208694467,0.4999378996201106,0.8737755071445297,0.13848365050809686,0.8048780487804879,0.6916753394103787
target,irc1,aquamatch_chla,2.0,train,892319,,,0.3007625772891197,0.24194795871773353,0.48418346632383635,0.8526565596132467,0.15636733728792415,0.7988730488730489,0.6778067728605215
