alpha,beta,gamma,train_rows,train_pr_auc,train_brier
0.5,0.5,2.0,500000,0.5619422800298766,0.16246492304635074
1.0,0.5,2.0,500000,0.5584850909077661,0.16554525433570763
0.5,0.5,1.0,500000,0.5572696523025719,0.16819317681484222
1.0,1.0,2.0,500000,0.5572696523025719,0.16819317681484222
0.5,1.0,2.0,500000,0.5554499365967919,0.1642463959115811
1.0,0.5,1.0,500000,0.5490325657396373,0.1771296248015344
2.0,1.0,2.0,500000,0.5490325657396373,0.1771296248015344
2.0,0.5,2.0,500000,0.5471215964227121,0.17473700319815372
0.5,0.5,0.5,500000,0.5422171181929467,0.18260370834252296
1.0,1.0,1.0,500000,0.5422171181929467,0.18260370834252296
2.0,2.0,2.0,500000,0.5422171181929467,0.18260370834252296
0.5,1.0,1.0,500000,0.5414818384922857,0.17533096102514245
1.0,2.0,2.0,500000,0.5414818384922857,0.17533096102514245
0.5,2.0,2.0,500000,0.5381765776680071,0.17173070146455632
1.0,0.5,0.5,500000,0.5244505822705569,0.1948542465745944
2.0,1.0,1.0,500000,0.5244505822705569,0.1948542465745944
2.0,0.5,1.0,500000,0.5234503812624918,0.19221550067507784
0.5,1.0,0.5,500000,0.5088841638124111,0.1926275053106196
1.0,2.0,1.0,500000,0.5088841638124111,0.1926275053106196
1.0,1.0,0.5,500000,0.5083643825452103,0.20038337355128397
2.0,2.0,1.0,500000,0.5083643825452103,0.20038337355128397
0.5,2.0,1.0,500000,0.5045938603231148,0.1883894183219312
2.0,0.5,0.5,500000,0.4936698365216493,0.21061545601260562
2.0,1.0,0.5,500000,0.48593281351753637,0.21185086076418674
2.0,2.0,0.5,500000,0.47192778016290315,0.21532351578261408
1.0,2.0,0.5,500000,0.47017719722057666,0.20932363683516664
0.5,2.0,0.5,500000,0.4652790291122131,0.20618596065856168
