membership,function,input_column,parameters
tp_pressure,log_ramp_up,mean_TP_ugL,"low=10, high=100"
tn_pressure,log_ramp_up,mean_TN_ugL,"low=300, high=1500"
ratio_imbalance_pressure_low,ramp_down,TN_TP_ratio,"low=8, high=16"
ratio_imbalance_pressure_high,ramp_up,TN_TP_ratio,"low=50, high=100"
do_good,trapezoid,mean_DO_mgL,"a=5, b=7, c=12, d=15"
ph_good,trapezoid,mean_pH,"a=6.5, b=7, c=8.6, d=9.5"
turbidity_good,ramp_down,mean_turbidity_NTU,"low=5, high=50"
secchi_good,ramp_up,mean_secchi_depth_m,"low=0.5, high=3"
temp_favorable,trapezoid,mean_temperature_C,"a=15, b=22, c=30, d=35"
current_chla_pressure,risk_chla/log_ramp_up,risk_chla or mean_chlorophyll_a_ugL,"low=5, high=30"
temp_favorable_no_chla,trapezoid,mean_temperature_C,"a=15, b=22, c=30, d=35"
trophic_oligotrophic,ramp_down,mean_chlorophyll_a_ugL,"low=2.6, high=7.3"
trophic_mesotrophic,triangle,mean_chlorophyll_a_ugL,"a=2.6, b=7.3, c=20"
trophic_eutrophic,triangle,mean_chlorophyll_a_ugL,"a=7.3, b=30, c=56"
trophic_hypereutrophic,ramp_up,mean_chlorophyll_a_ugL,"low=56, high=100"
