selection_task,phase,model,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,tn,fp,fn,tp,rmse_risk,mae_risk
bloom,uncalibrated_selected,logistic_sgd,1,validation,163110,0.5,20506.0,0.1257188400465943,0.658556018000929,0.9133765970586526,0.08760220836497393,0.6348385838291232,0.7920865961918029,135212.0,7392.0,7488.0,13018.0,,
bloom,isotonic_calibrated,logistic_sgd,1,validation,163110,0.35,20506.0,0.1257188400465943,0.6481876919581916,0.9055419767419012,0.06495764375187414,0.6599044182190579,0.7936585357259713,134404.0,8200.0,6974.0,13532.0,,
bloom,uncalibrated_selected,logistic_sgd,1,test,121540,0.5,16737.0,0.13770775053480336,0.7029532888265848,0.9236993110261115,0.0855847199672083,0.6655314572504033,0.8101616806172558,99532.0,5271.0,5598.0,11139.0,,
bloom,isotonic_calibrated,logistic_sgd,1,test,121540,0.35,16737.0,0.13770775053480336,0.6923596324342473,0.9169289809288803,0.06506555122286398,0.6901475772241142,0.8122014312500568,98973.0,5830.0,5186.0,11551.0,,
bloom,uncalibrated_selected,persistence,2,validation,154216,0.5,19697.0,0.1277234528194221,0.48853364966779955,0.8587290977439332,0.151968467146463,0.7774280347261004,0.6867804940084474,108077.0,26442.0,4384.0,15313.0,,
bloom,isotonic_calibrated,persistence,2,validation,154216,0.3,19697.0,0.1277234528194221,0.48543746003126387,0.8592061526218207,0.07880085630440918,0.5817637203635071,0.7503431964854907,125199.0,9320.0,8238.0,11459.0,,
bloom,uncalibrated_selected,persistence,2,test,115691,0.5,16765.0,0.14491187732840066,0.5493156772868393,0.8730248321792634,0.15189266212933009,0.8081717864598866,0.7046557041967578,78864.0,20062.0,3216.0,13549.0,,
bloom,isotonic_calibrated,persistence,2,test,115691,0.3,16765.0,0.14491187732840066,0.5460568484885104,0.8734170798129742,0.08192109638396473,0.6246346555323591,0.7723055322063881,91939.0,6987.0,6293.0,10472.0,,
bloom,uncalibrated_selected,logistic_sgd,3,validation,136038,0.5,17377.0,0.127736367779591,0.5409955533238126,0.8667564657759543,0.10793646351155368,0.22080911549749668,0.6393254320362224,117219.0,1442.0,13540.0,3837.0,,
bloom,isotonic_calibrated,logistic_sgd,3,validation,136038,0.3,17377.0,0.127736367779591,0.5246864797334645,0.8467867406458536,0.08199891859145768,0.5774299361224607,0.735810360790681,109138.0,9523.0,7343.0,10034.0,,
bloom,uncalibrated_selected,logistic_sgd,3,test,99670,0.5,14639.0,0.1468746864653356,0.6154781031595865,0.8818277422791689,0.11664552601627612,0.27098845549559397,0.6672818008196596,83835.0,1196.0,10672.0,3967.0,,
bloom,isotonic_calibrated,logistic_sgd,3,test,99670,0.3,14639.0,0.1468746864653356,0.5979540158223516,0.8644857283695,0.08539284248739643,0.6347428103012501,0.7625429124811377,77937.0,7094.0,5347.0,9292.0,,
risk,selected,persistence,1,test,121540,,,,0.6175332432575926,0.9078431929198326,0.1416252501524639,0.8730955368345582,0.7175623393018437,,,,,0.2558054493820262,0.1449921092304813
risk,selected,persistence,1,validation,163110,,,,0.5695239259553765,0.8988310450313801,0.1441281460424587,0.853993952989369,0.7029136758346337,,,,,0.2703599783259295,0.1569493095199428
risk,selected,persistence,2,test,115691,,,,0.5493156772868393,0.8730248321792634,0.15189266212933,0.8081717864598866,0.7046557041967578,,,,,0.2945964935737723,0.1743134652030939
risk,selected,persistence,2,validation,154216,,,,0.4885336496677995,0.8587290977439332,0.151968467146463,0.7774280347261004,0.6867804940084474,,,,,0.3075711197075864,0.1855484102502758
risk,selected,persistence,3,test,99670,,,,0.5131322132784368,0.8537871690035252,0.1589032888986139,0.7777853678529955,0.6942019040815985,,,,,0.3172083181693254,0.1933219727039109
risk,selected,persistence,3,validation,136038,,,,0.4496303047944157,0.8374439786396404,0.1571753669692507,0.7394256776198423,0.6760758271076831,,,,,0.3288294358897163,0.2032376062680401
