model,task,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,rmse_risk,mae_risk,false_alarms_per_site_year
constant,classification_and_risk,1,test,121540,0.5,16737,0.13770775053480336,0.13770775053480336,0.5,0.11916893473866445,0.0,0.4630273522927592,0.3883222640049985,0.3511014427635542,0.0
logistic_sgd,classification,1,test,121540,0.5,16737,0.13770775053480336,0.7029532888265848,0.9236993110261115,0.0855847199672083,0.6655314572504033,0.8101616806172558,,,0.1860834568947257
persistence,classification_and_risk,1,test,121540,0.5,16737,0.13770775053480336,0.6175332432575926,0.9078431929198326,0.1416252501524639,0.8730955368345582,0.7175623393018437,0.2558054493820262,0.1449921092304813,0.7454635317376263
ridge_sgd,risk,1,test,121540,0.5,16737,0.13770775053480336,0.137701492548338,0.4999736481265589,0.8622511107454336,0.9998805042719723,0.12109985246507614,0.777008934015537,0.6737208159717702,3.699639906799407
site_month,classification_and_risk,1,test,121540,0.5,16737,0.13770775053480336,0.3999622136702301,0.7627217976831379,0.10684034781010589,0.01870108143633865,0.4818849681418766,0.36031490445679526,0.32296083090186034,0.0014474334533644002
source_month,classification_and_risk,1,test,121540,0.5,16737,0.13770775053480336,0.17187916029276565,0.5870020677089124,0.11831818385725189,0.0,0.4630273522927592,0.3845627643240328,0.34695020618801653,0.0
constant,classification_and_risk,1,train,1336605,0.5,211603,0.15831378754381437,0.15831378754381437,0.5,0.13325053221734637,0.0,0.4570193373678252,0.3942666763365222,0.35360654716850876,0.0
logistic_sgd,classification,1,train,1336605,0.5,211603,0.15831378754381437,0.6975486519052927,0.9112949319076743,0.10116367016133057,0.6973436104403057,0.8071474054449455,,,0.2796498858005998
persistence,classification_and_risk,1,train,1336605,0.5,211603,0.15831378754381437,0.6115080695631899,0.8969554495418182,0.15778270405492298,0.8753845644910516,0.7165869212776803,0.2809211566317522,0.1646644365635074,0.9201662276253092
ridge_sgd,risk,1,train,1336605,0.5,211603,0.15831378754381437,0.15829364504065663,0.49992440905738283,0.8417004275758357,0.9998345959178273,0.1366721961633312,0.7542315707385587,0.642981490690614,4.1045599492122795
site_month,classification_and_risk,1,train,1336605,0.5,211603,0.15831378754381437,0.7721186637449657,0.9485865847668229,0.09782813050788572,0.06024016672731483,0.5158735549684996,0.3254018612530659,0.2884530042610754,0.0026378966878525404
source_month,classification_and_risk,1,train,1336605,0.5,211603,0.15831378754381437,0.2020755978512796,0.5966489387415289,0.13122748209678523,0.0,0.4570193373678252,0.38955110967796064,0.3473025310645288,0.0
constant,classification_and_risk,1,validation,163110,0.5,20506,0.1257188400465943,0.1257188400465943,0.5,0.11097604390627969,0.0,0.4664621181888955,0.38217926521579665,0.3452443524732645,0.0
logistic_sgd,classification,1,validation,163110,0.5,20506,0.1257188400465943,0.658556018000929,0.9133765970586526,0.08760220836497393,0.6348385838291232,0.7920865961918029,,,0.19840034355037844
persistence,classification_and_risk,1,validation,163110,0.5,20506,0.1257188400465943,0.5695239259553765,0.8988310450313801,0.14412814604245877,0.853993952989369,0.7029136758346337,0.2703599783259295,0.15694930951994288,0.7637017553277149
ridge_sgd,risk,1,validation,163110,0.5,20506,0.1257188400465943,0.12571204459106425,0.4999690856176468,0.8741891974740973,0.9998049351409344,0.1118041388814466,0.7840272149131013,0.6859263311637712,3.8269633367330504
site_month,classification_and_risk,1,validation,163110,0.5,20506,0.1257188400465943,0.4158639325048093,0.7858640905715943,0.0981506198248486,0.022188627718716474,0.4886699111624584,0.35095274509193297,0.3137736224529691,0.0018787911321058565
source_month,classification_and_risk,1,validation,163110,0.5,20506,0.1257188400465943,0.15639382881301744,0.5850231280657374,0.11021726974366265,0.0,0.4664621181888955,0.3780715302235031,0.3394878166508321,0.0
constant,classification_and_risk,2,test,115691,0.5,16765,0.14491187732840066,0.14491187732840066,0.5,0.12411499505102215,0.0,0.4609420502569694,0.39146663526850917,0.35375583069173117,0.0
logistic_sgd,classification,2,test,115691,0.5,16765,0.14491187732840066,0.43970031947660165,0.864919405003233,0.3020608898927978,0.9155383238890545,0.6240573341878559,,,1.1053790602027267
persistence,classification_and_risk,2,test,115691,0.5,16765,0.14491187732840066,0.5493156772868393,0.8730248321792634,0.15189266212933009,0.8081717864598866,0.7046557041967578,0.2945964935737723,0.17431346520309393,0.6496972052203763
ridge_sgd,risk,2,test,115691,0.5,16765,0.14491187732840066,0.1442089755865739,0.4971497470666753,0.8526765262639272,0.9897405308678795,0.13039421445875526,0.7702213078207024,0.6636308809493775,3.1890605265714562
site_month,classification_and_risk,2,test,115691,0.5,16765,0.14491187732840066,0.3990641352508517,0.7512928268029897,0.11197628405260618,0.01574709215627796,0.4768656253322218,0.3648625977168545,0.3273793090176115,0.0013925321415848959
source_month,classification_and_risk,2,test,115691,0.5,16765,0.14491187732840066,0.1772422668187773,0.5869041537728688,0.12311353707938094,0.0,0.4609420502569694,0.38722033572454734,0.3495936376119411,0.0
constant,classification_and_risk,2,train,1294854,0.5,206069,0.15914458309585483,0.15914458309585483,0.5,0.13381758476710137,0.0,0.4567742850322553,0.3948772987761781,0.3544035353419178,0.0
logistic_sgd,classification,2,train,1294854,0.5,206069,0.15914458309585483,0.4369579328969783,0.8486573419863865,0.33404822938845063,0.9156010850734463,0.6064981490059185,,,1.403369876831599
