model,task,horizon_months,split,bin,bin_left,bin_right,rows,mean_pred_probability,observed_bloom_rate
ridge_sgd,risk,1,train,0,0.0,0.1,51,0.0,0.6862745098039216
ridge_sgd,risk,1,train,1,0.1,0.2,0,,
ridge_sgd,risk,1,train,2,0.2,0.3,0,,
ridge_sgd,risk,1,train,3,0.3,0.4,0,,
ridge_sgd,risk,1,train,4,0.4,0.5,0,,
ridge_sgd,risk,1,train,5,0.5,0.6,0,,
ridge_sgd,risk,1,train,6,0.6,0.7,0,,
ridge_sgd,risk,1,train,7,0.7,0.8,0,,
ridge_sgd,risk,1,train,8,0.8,0.9,0,,
ridge_sgd,risk,1,train,9,0.9,1.0,1336554,1.0,0.15829364170845323
