model,task,horizon_months,split,bin,bin_left,bin_right,rows,mean_pred_probability,observed_bloom_rate
site_month,classification_and_risk,2,train,0,0.0,0.1,246271,0.08375394307482086,0.003004819893531922
site_month,classification_and_risk,2,train,1,0.1,0.2,834475,0.1378505927798266,0.06976482219359477
site_month,classification_and_risk,2,train,2,0.2,0.3,119547,0.24732343825790717,0.5855437610312262
site_month,classification_and_risk,2,train,3,0.3,0.4,55406,0.3467632236531071,0.7533299642637982
site_month,classification_and_risk,2,train,4,0.4,0.5,26681,0.4483901170913865,0.8803268243319216
site_month,classification_and_risk,2,train,5,0.5,0.6,10791,0.528903749908166,0.949402279677509
site_month,classification_and_risk,2,train,6,0.6,0.7,1683,0.6421836038407397,0.9744503862150921
site_month,classification_and_risk,2,train,7,0.7,0.8,0,,
site_month,classification_and_risk,2,train,8,0.8,0.9,0,,
site_month,classification_and_risk,2,train,9,0.9,1.0,0,,
