source_id,site_id,year_month,module,module_seed,rank_sha256
wqp,wqp:21SC60WQ_WQX-S-223,2004-04,ANFIS-N,1830,0005652e597eef289ba8a1de6c54456d9d980b37a9676fe1c89ac7eba703b5e3
wqp,wqp:21SC60WQ_WQX-SV-268,2016-12,ANFIS-N,1830,0028b37feb785ee2fb49468c3e28f9779ff1d0de9153a1b65005763c786fdd36
wqp,wqp:21FLLCPC_WQX-GRIFFINTISH,2013-04,ANFIS-N,1830,00318a7cecede585b297514850372427f79437bdb11153b3b973ec1568ec28ed
wqp,wqp:USGS-07144790,2013-03,ANFIS-N,1830,0036fee655614e3c788fe02afcc60a530d463cca51cee8a14c399fcefd924df3
wqp,wqp:21FLLCPC_WQX-GRIFFINTISH,2012-01,ANFIS-N,1830,0042ac776b3359f6ca6a7f4503246829788f1b47ee158eba31931cec5ffa6ef5
wqp,wqp:USGS-07049187,2013-01,ANFIS-N,1830,005ce06ed3b60ac6ca063577ae9e95e119bf073d9850f0eb698f56fb423a9966
wqp,wqp:21SC60WQ_WQX-S-310,2007-01,ANFIS-N,1830,006b2f2559302a83ce5aff4d0bbf070fd04bb2594b8d59dd73a47db96b8012b1
wqp,wqp:CAPECRD_WQX-280,2018-09,ANFIS-N,1830,007872296201a00734a2b064aafd535c6370ae9c119b37c19b732a70f90b0c18
wqp,wqp:21FLLCPC_WQX-GREENWSH,2014-03,ANFIS-N,1830,008506b311cf864e8c2361b55d21e8dbfb4db66eda606cf9d6e70c6d1986b7e7
wqp,wqp:21FLLCPC_WQX-IDAMERESSHDK,2014-02,ANFIS-N,1830,00922b075a6f69da2e5b36dcf30986b304eb2ffbdb516e896546cf9aff29a4ff
wqp,wqp:21SC60WQ_WQX-SV-335,2018-01,ANFIS-N,1830,009de6015faa93636605322d265319b7ebe03b3d89892b4e8b1f776887c32095
wqp,wqp:USGS-14211940,2011-01,ANFIS-N,1830,00ac02a0b8818f687d6967896c1c54ebd8dfe45c8ab41d617b4bf50909b3fcd2
wqp,wqp:21SC60WQ_WQX-CL-089,2003-08,ANFIS-N,1830,00b73173a9cf7eb509469b259a71dbad43b46f7378c93a40a7f6d37c6d18bc6f
wqp,wqp:KAWNATON_WQX-KN-KL-004,2017-05,ANFIS-N,1830,00c7027bb9b6e6bd00e1903705b50e7a33561669a047f03d8875a91e20293687
wqp,wqp:USGS-295826095082200,2008-03,ANFIS-N,1830,00d259941ee603cbd9696c48ab3459d43ca591c5f3d3cd174637931d00b2e544
wqp,wqp:USGS-07144790,2012-05,ANFIS-N,1830,00d9e43ed5b3752a2671a81c06d31eb637ebe63dd6176ef44a08a698262dee9c
