phase,module,feature,membership_index,center,width
final,ANFIS-N,tp_pressure,0,0.06287740170955658,0.39266639947891235
final,ANFIS-N,tp_pressure,1,0.6015726923942566,0.19301187992095947
final,ANFIS-N,tp_pressure,2,0.9109602570533752,0.3146767020225525
final,ANFIS-N,tn_pressure,0,0.05087435618042946,0.2019713670015335
final,ANFIS-N,tn_pressure,1,0.5235528945922852,0.1792515069246292
final,ANFIS-N,tn_pressure,2,0.9381905794143677,0.2866939604282379
final,ANFIS-N,ratio_imbalance_pressure,0,0.03904671594500542,0.1966121792793274
final,ANFIS-N,ratio_imbalance_pressure,1,0.5946959257125854,0.20093443989753723
final,ANFIS-N,ratio_imbalance_pressure,2,0.9678425788879395,0.18159718811511993
final,ANFIS-F,do_good,0,0.09752465039491653,0.3476153016090393
final,ANFIS-F,do_good,1,0.7249725461006165,0.30884987115859985
final,ANFIS-F,do_good,2,0.979652464389801,0.12146326154470444
final,ANFIS-F,ph_good,0,0.08208756893873215,0.34187063574790955
final,ANFIS-F,ph_good,1,0.6598365902900696,0.2896157503128052
final,ANFIS-F,ph_good,2,0.9691351056098938,0.19522100687026978
final,ANFIS-F,turbidity_good,0,0.13617371022701263,0.547797679901123
final,ANFIS-F,turbidity_good,1,0.5202566385269165,0.1438755840063095
final,ANFIS-F,turbidity_good,2,0.956621527671814,0.26783889532089233
final,ANFIS-F,secchi_good,0,0.060591526329517365,0.1914903223514557
final,ANFIS-F,secchi_good,1,0.6476553678512573,0.22187545895576477
final,ANFIS-F,secchi_good,2,0.9728350043296814,0.15846458077430725
final,ANFIS-T-no-current,temp_favorable,0,0.09243494272232056,0.3739280104637146
final,ANFIS-T-no-current,temp_favorable,1,0.871339738368988,0.27548134326934814
final,ANFIS-T-no-current,temp_favorable,2,0.986321210861206,0.09845533221960068
