module,module_seed,epoch,loss
ANFIS-N,314260,1.0,0.07219049334526062
ANFIS-N,314260,2.0,0.06403961777687073
ANFIS-N,314260,3.0,0.05641594156622887
ANFIS-N,314260,4.0,0.04937645047903061
ANFIS-N,314260,5.0,0.0429791621863842
ANFIS-N,314260,6.0,0.037260740995407104
ANFIS-N,314260,7.0,0.032223474234342575
ANFIS-N,314260,8.0,0.027839720249176025
ANFIS-N,314260,9.0,0.02407335862517357
ANFIS-N,314260,10.0,0.02088562399148941
ANFIS-N,314260,11.0,0.018232878297567368
ANFIS-N,314260,12.0,0.016065672039985657
ANFIS-N,314260,13.0,0.01432811003178358
ANFIS-N,314260,14.0,0.012955744750797749
ANFIS-N,314260,15.0,0.011875438503921032
ANFIS-N,314260,16.0,0.011012617498636246
ANFIS-N,314260,17.0,0.010301623493432999
ANFIS-N,314260,18.0,0.009691971354186535
ANFIS-N,314260,19.0,0.00914856232702732
ANFIS-N,314260,20.0,0.008647994138300419
ANFIS-N,314260,21.0,0.008174741640686989
ANFIS-N,314260,22.0,0.007719122804701328
ANFIS-N,314260,23.0,0.0072761280462145805
ANFIS-N,314260,24.0,0.006843992508947849
ANFIS-N,314260,25.0,0.006423040293157101
ANFIS-N,314260,26.0,0.006015087477862835
ANFIS-N,314260,27.0,0.005623190198093653
ANFIS-N,314260,28.0,0.00525139644742012
ANFIS-N,314260,29.0,0.004904299974441528
ANFIS-N,314260,30.0,0.004586354363709688
ANFIS-N,314260,31.0,0.004301043227314949
ANFIS-N,314260,32.0,0.004050102550536394
ANFIS-N,314260,33.0,0.0038330063689500093
ANFIS-N,314260,34.0,0.0036469080951064825
ANFIS-N,314260,35.0,0.0034870619419962168
ANFIS-N,314260,36.0,0.003347555873915553
ANFIS-N,314260,37.0,0.0032221537549048662
ANFIS-N,314260,38.0,0.0031051551923155785
ANFIS-N,314260,39.0,0.00299227237701416
ANFIS-N,314260,40.0,0.002881272928789258
ANFIS-N,314260,41.0,0.002772041829302907
ANFIS-N,314260,42.0,0.00266587664373219
ANFIS-N,314260,43.0,0.0025643568951636553
ANFIS-N,314260,44.0,0.0024684243835508823
ANFIS-N,314260,45.0,0.0023782183416187763
ANFIS-N,314260,46.0,0.0022935359738767147
ANFIS-N,314260,47.0,0.002214208710938692
ANFIS-N,314260,48.0,0.0021400535479187965
ANFIS-N,314260,49.0,0.0020706600043922663
ANFIS-N,314260,50.0,0.0020054264459758997
ANFIS-N,314260,51.0,0.0019438315648585558
ANFIS-N,314260,52.0,0.0018856176175177097
ANFIS-N,314260,53.0,0.0018306644633412361
ANFIS-N,314260,54.0,0.0017786930548027158
ANFIS-N,314260,55.0,0.001729150884784758
ANFIS-N,314260,56.0,0.0016813983675092459
ANFIS-N,314260,57.0,0.0016349878860637546
ANFIS-N,314260,58.0,0.0015897812554612756
ANFIS-N,314260,59.0,0.0015458582201972604
ANFIS-N,314260,60.0,0.0015033778036013246
ANFIS-F,314361,1.0,0.0893545150756836
ANFIS-F,314361,2.0,0.07535420358181
ANFIS-F,314361,3.0,0.06279745697975159
ANFIS-F,314361,4.0,0.051742665469646454
ANFIS-F,314361,5.0,0.04219857603311539
ANFIS-F,314361,6.0,0.03412547707557678
ANFIS-F,314361,7.0,0.027445748448371887
ANFIS-F,314361,8.0,0.022051114588975906
ANFIS-F,314361,9.0,0.017804887145757675
ANFIS-F,314361,10.0,0.01454332284629345
ANFIS-F,314361,11.0,0.012082868255674839
ANFIS-F,314361,12.0,0.010242262855172157
ANFIS-F,314361,13.0,0.008866130374372005
ANFIS-F,314361,14.0,0.007832317613065243
ANFIS-F,314361,15.0,0.0070447176694869995
ANFIS-F,314361,16.0,0.0064263176172971725
ANFIS-F,314361,17.0,0.005918415263295174
ANFIS-F,314361,18.0,0.005480447318404913
ANFIS-F,314361,19.0,0.005086663644760847
ANFIS-F,314361,20.0,0.004721160512417555
ANFIS-F,314361,21.0,0.004373521544039249
ANFIS-F,314361,22.0,0.004037091508507729
ANFIS-F,314361,23.0,0.003709814976900816
ANFIS-F,314361,24.0,0.0033958260901272297
ANFIS-F,314361,25.0,0.0031056650914251804
ANFIS-F,314361,26.0,0.0028535756282508373
ANFIS-F,314361,27.0,0.0026516723446547985
ANFIS-F,314361,28.0,0.002502788556739688
ANFIS-F,314361,29.0,0.002396389376372099
ANFIS-F,314361,30.0,0.002313115168362856
ANFIS-F,314361,31.0,0.0022355238907039165
ANFIS-F,314361,32.0,0.002155964495614171
ANFIS-F,314361,33.0,0.002076504984870553
ANFIS-F,314361,34.0,0.0020036266651004553
ANFIS-F,314361,35.0,0.0019428508821874857
ANFIS-F,314361,36.0,0.0018954382976517081
ANFIS-F,314361,37.0,0.0018570825923234224
ANFIS-F,314361,38.0,0.0018196555320173502
ANFIS-F,314361,39.0,0.0017765362281352282
ANFIS-F,314361,40.0,0.001727076480165124
ANFIS-F,314361,41.0,0.0016761401202529669
ANFIS-F,314361,42.0,0.001630144426599145
ANFIS-F,314361,43.0,0.0015931164380162954
ANFIS-F,314361,44.0,0.0015650044661015272
ANFIS-F,314361,45.0,0.0015426544705405831
ANFIS-F,314361,46.0,0.001522131497040391
ANFIS-F,314361,47.0,0.001500612124800682
ANFIS-F,314361,48.0,0.001477238954976201
ANFIS-F,314361,49.0,0.001453080796636641
ANFIS-F,314361,50.0,0.001430245116353035
ANFIS-F,314361,51.0,0.0014103938592597842
ANFIS-F,314361,52.0,0.0013936443720012903
ANFIS-F,314361,53.0,0.0013787370407953858
ANFIS-F,314361,54.0,0.0013641910627484322
ANFIS-F,314361,55.0,0.0013492804719135165
ANFIS-F,314361,56.0,0.001334094675257802
ANFIS-F,314361,57.0,0.0013190177269279957
ANFIS-F,314361,58.0,0.0013043342623859644
ANFIS-F,314361,59.0,0.0012901939917355776
ANFIS-F,314361,60.0,0.001276701339520514
ANFIS-T-no-current,314563,1.0,0.1922881305217743
ANFIS-T-no-current,314563,2.0,0.18306027352809906
ANFIS-T-no-current,314563,3.0,0.17398634552955627
ANFIS-T-no-current,314563,4.0,0.1650744378566742
ANFIS-T-no-current,314563,5.0,0.15635623037815094
ANFIS-T-no-current,314563,6.0,0.14786700904369354
ANFIS-T-no-current,314563,7.0,0.13963758945465088
ANFIS-T-no-current,314563,8.0,0.13169577717781067
ANFIS-T-no-current,314563,9.0,0.1240692287683487
ANFIS-T-no-current,314563,10.0,0.11678142100572586
ANFIS-T-no-current,314563,11.0,0.10984954237937927
ANFIS-T-no-current,314563,12.0,0.10328404605388641
ANFIS-T-no-current,314563,13.0,0.09708920866250992
ANFIS-T-no-current,314563,14.0,0.09126312285661697
ANFIS-T-no-current,314563,15.0,0.08579730242490768
ANFIS-T-no-current,314563,16.0,0.08067959547042847
ANFIS-T-no-current,314563,17.0,0.07589889317750931
ANFIS-T-no-current,314563,18.0,0.07144493609666824
ANFIS-T-no-current,314563,19.0,0.06730633974075317
ANFIS-T-no-current,314563,20.0,0.06346966326236725
ANFIS-T-no-current,314563,21.0,0.05991930887103081
ANFIS-T-no-current,314563,22.0,0.056638576090335846
ANFIS-T-no-current,314563,23.0,0.05361074581742287
ANFIS-T-no-current,314563,24.0,0.050819218158721924
ANFIS-T-no-current,314563,25.0,0.04824722185730934
ANFIS-T-no-current,314563,26.0,0.04587744176387787
ANFIS-T-no-current,314563,27.0,0.04369213804602623
ANFIS-T-no-current,314563,28.0,0.04167395085096359
ANFIS-T-no-current,314563,29.0,0.03980674222111702
ANFIS-T-no-current,314563,30.0,0.038076065480709076
ANFIS-T-no-current,314563,31.0,0.03646889701485634
ANFIS-T-no-current,314563,32.0,0.03497306630015373
ANFIS-T-no-current,314563,33.0,0.033577028661966324
ANFIS-T-no-current,314563,34.0,0.03227001056075096
ANFIS-T-no-current,314563,35.0,0.031042471528053284
ANFIS-T-no-current,314563,36.0,0.029886290431022644
ANFIS-T-no-current,314563,37.0,0.028794649988412857
ANFIS-T-no-current,314563,38.0,0.02776181884109974
ANFIS-T-no-current,314563,39.0,0.026783011853694916
ANFIS-T-no-current,314563,40.0,0.02585415728390217
ANFIS-T-no-current,314563,41.0,0.024971846491098404
ANFIS-T-no-current,314563,42.0,0.024133162572979927
ANFIS-T-no-current,314563,43.0,0.023335834965109825
ANFIS-T-no-current,314563,44.0,0.02257831208407879
ANFIS-T-no-current,314563,45.0,0.021859657019376755
ANFIS-T-no-current,314563,46.0,0.02117929980158806
ANFIS-T-no-current,314563,47.0,0.020536556839942932
ANFIS-T-no-current,314563,48.0,0.019930709153413773
ANFIS-T-no-current,314563,49.0,0.019360987469553947
ANFIS-T-no-current,314563,50.0,0.01882663369178772
ANFIS-T-no-current,314563,51.0,0.018326621502637863
ANFIS-T-no-current,314563,52.0,0.017859429121017456
ANFIS-T-no-current,314563,53.0,0.017422834411263466
ANFIS-T-no-current,314563,54.0,0.017014116048812866
ANFIS-T-no-current,314563,55.0,0.01663026213645935
ANFIS-T-no-current,314563,56.0,0.0162680521607399
ANFIS-T-no-current,314563,57.0,0.01592409610748291
ANFIS-T-no-current,314563,58.0,0.015595084056258202
ANFIS-T-no-current,314563,59.0,0.015278260223567486
ANFIS-T-no-current,314563,60.0,0.014971649274230003
