dimension,value,intent_origins,raw_rows
overall,all,9732,29196
availability_status,success,9732,29196
availability_status,input_ineligible,0,0
evidence_group_count,0,0,0
evidence_group_count,1,0,0
evidence_group_count,2,18,54
evidence_group_count,3,505,1515
evidence_group_count,4,9209,27627
time_role,training,8352,25056
time_role,model_selection,1061,3183
time_role,calibration_threshold,319,957
horizon_months,1,9732,9732
horizon_months,2,9732,9732
horizon_months,3,9732,9732
payload_variable,Tw,9731,29193
payload_variable,TP,7964,23892
payload_variable,TN,3372,10116
payload_variable,Secchi,6938,20814
payload_variable,Turb,5521,16563
payload_variable,DOb,9618,28854
