source_id,site_id,series_length_band,historical_bloom_present,coverage_band,stratum_id,fold_id
wqp,wqp:21DELAWQ_WQX-206071,long,true,medium,long|true|medium,1
wqp,wqp:21DELAWQ_WQX-301021,long,true,high,long|true|high,1
wqp,wqp:21DELAWQ_WQX-304311,long,true,high,long|true|high,1
wqp,wqp:21FLCOLL_WQX-LKTRAF8,long,true,low,long|true|low,1
wqp,wqp:21FLSFWM-A02,medium,false,high,medium|false|high,1
wqp,wqp:21FLSFWM-B04,long,true,high,long|true|high,1
wqp,wqp:21FLSFWM-L002,long,true,high,long|true|high,1
wqp,wqp:21FLSFWM-LZ25,long,true,high,long|true|high,1
wqp,wqp:21FLSJWM_WQX-44591,long,true,high,long|true|high,1
wqp,wqp:21FLSJWM_WQX-54193,medium,true,high,medium|true|high,1
wqp,wqp:21NC03WQ-CPFMC04,medium,true,high,medium|true|high,1
wqp,wqp:21SC60WQ_WQX-S-131,long,false,medium,long|false|medium,1
wqp,wqp:21SCSANT_WQX-SC-038,long,true,high,long|true|high,1
wqp,wqp:KAWNATON_WQX-KN-KL-008,long,true,high,long|true|high,1
wqp,wqp:MNPCA-86-0252-01-201,long,true,high,long|true|high,1
wqp,wqp:USGS-07049500,long,false,high,long|false|high,1
wqp,wqp:USGS-14211925,medium,true,high,medium|true|high,1
wqp,wqp:USGS-295740091310800,short,false,high,short|false|high,1
wqp,wqp:USGS-303842091451200,short,true,high,short|true|high,1
wqp,wqp:21FLCBA_WQX-WAL-BIGREDF-2,long,false,medium,long|false|medium,2
wqp,wqp:21FLCBA_WQX-WAL-DEER-2,medium,false,medium,medium|false|medium,2
wqp,wqp:21FLLCPC_WQX-JOHNSBR,medium,false,high,medium|false|high,2
wqp,wqp:21FLORAN_WQX-CC3,long,false,high,long|false|high,2
wqp,wqp:21FLSEM_WQX-COVEIN,long,true,low,long|true|low,2
wqp,wqp:21FLSFWM-KBARIN,long,true,high,long|true|high,2
wqp,wqp:21FLSFWM-L007,long,true,high,long|true|high,2
wqp,wqp:21FLSJWM_WQX-44192,medium,true,high,medium|true|high,2
wqp,wqp:21FLSJWM_WQX-44196,medium,true,high,medium|true|high,2
wqp,wqp:21FLSUW-ALL030C1,long,true,high,long|true|high,2
wqp,wqp:21NC03WQ-CPF055C,long,true,high,long|true|high,2
wqp,wqp:21NC03WQ-CPF055C2,medium,true,high,medium|true|high,2
wqp,wqp:21NC03WQ-NEU0171B,long,true,high,long|true|high,2
wqp,wqp:21SC60WQ_WQX-CSTL-124,long,false,high,long|false|high,2
wqp,wqp:21SC60WQ_WQX-CW-057,long,true,high,long|true|high,2
wqp,wqp:21SCSANT_WQX-SC-039,long,true,high,long|true|high,2
wqp,wqp:USGS-01204510,long,true,high,long|true|high,2
wqp,wqp:21DELAWQ_WQX-206451,long,true,high,long|true|high,3
wqp,wqp:21FLCBA_WQX-WAL-TRESCA-2,medium,false,medium,medium|false|medium,3
wqp,wqp:21FLSFWM-D03,long,true,high,long|true|high,3
wqp,wqp:21FLSJWM_WQX-44059,medium,true,high,medium|true|high,3
wqp,wqp:21FLSJWM_WQX-44126,long,false,high,long|false|high,3
wqp,wqp:21FLSJWM_WQX-45143,long,true,high,long|true|high,3
wqp,wqp:21FLSJWM_WQX-45150,medium,true,high,medium|true|high,3
wqp,wqp:21FLSWFD_WQX-22908,long,true,high,long|true|high,3
wqp,wqp:21NC03WQ-CPF055C5,medium,true,high,medium|true|high,3
wqp,wqp:21NC03WQ-LLC01,long,true,high,long|true|high,3
wqp,wqp:21NC03WQ-NEU013B,long,true,high,long|true|high,3
wqp,wqp:21NC03WQ-YAD169F,long,true,medium,long|true|medium,3
wqp,wqp:21NC03WQ-YADHRL052,medium,true,medium,medium|true|medium,3
wqp,wqp:CHOCNATWQX-LNW-002,medium,false,high,medium|false|high,3
wqp,wqp:KAWNATON_WQX-KN-KL-009,long,true,high,long|true|high,3
wqp,wqp:OKWRB-LAKES_WQX-520710020020-03,long,true,high,long|true|high,3
wqp,wqp:USGS-072632995,long,false,high,long|false|high,3
wqp,wqp:21FLCBA_WQX-WAL-FULLER-2,medium,false,medium,medium|false|medium,4
wqp,wqp:21FLORAN_WQX-CC21,long,false,high,long|false|high,4
