model_id,model_seed,seed_slot,horizon_months,metric,legacy_value,heldout_value,delta_name,delta,estimable,not_estimable_reason
A0,1729,1729,1,brier,,0.17790562591658249,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,1,mae,,0.28135297153166089,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,1,pr_auc,,0.59983795490199754,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,1,recall,,0.99516908212560384,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,1,rmse,,0.32427550099964136,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,brier,,0.18873062671461036,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,mae,,0.28936391688533047,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,pr_auc,,0.56634063239506527,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,recall,,0.99514563106796117,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,2,rmse,,0.32929670133672029,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,brier,,0.20875386913824487,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,mae,,0.28556290514607457,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,pr_auc,,0.5408038149529435,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,recall,,0.99502487562189057,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,1729,1729,3,rmse,,0.33022935910876045,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,brier,,0.17247881006304142,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,mae,,0.27077032299704967,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,pr_auc,,0.59751940104400736,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,recall,,0.99516908212560384,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,1,rmse,,0.31977395847603368,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,brier,,0.17650905486648166,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,mae,,0.27510287095936209,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,pr_auc,,0.58220799247179378,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,recall,,0.99029126213592233,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,2,rmse,,0.32320738025091761,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,brier,,0.18821603578516499,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,mae,,0.26637723874641445,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,pr_auc,,0.55823583491715112,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,recall,,1,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,314159,314159,3,rmse,,0.3172365466040834,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,1,brier,,0.17602745183148849,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
