model_id,model_seed,horizon_months,selected_method,selection_brier,selection_ece10,calibration_brier,calibration_ece10,calibration_rows
A0,1729,1,platt_logistic,0.18921713080136837,0.11729871112378859,0.089275656408607462,0.06543156855987893,224
A0,1729,2,isotonic_regression,0.17616915875756262,0.063778085241680341,0.085784208261617909,2.4781763942525816e-18,224
A0,1729,3,isotonic_regression,0.1611502792236405,0.014995660419746971,0.090034047893350885,1.2266973151550278e-17,224
A0,314159,1,platt_logistic,0.18653317862970226,0.11040149951668102,0.087909521573513408,0.039011929697294938,224
A0,314159,2,isotonic_regression,0.17589107961771092,0.075226269835042325,0.090478192117536382,3.605746653637506e-17,224
A0,314159,3,isotonic_regression,0.16393194148064219,0.030966098112677694,0.094166508358662596,1.3629970168389198e-17,224
A0,20260612,1,platt_logistic,0.18978131545634286,0.1235420191285006,0.09214379149196672,0.040871159153715531,224
A0,20260612,2,isotonic_regression,0.17705994588125967,0.039655226864589589,0.089257404435975865,1.1399611413561875e-17,224
A0,20260612,3,isotonic_regression,0.16054113030261932,0.014003915738728672,0.091701288925135155,8.6736173798840355e-19,224
A0,20260613,1,isotonic_regression,0.19284909232016426,0.058027438554315108,0.082243638910494618,1.6355964202067042e-17,224
A0,20260613,2,isotonic_regression,0.17807173651552041,0.097182538870473664,0.090035996183537179,7.5584380024703731e-18,224
A0,20260613,3,isotonic_regression,0.16105117279308992,0.018749570871309396,0.099762437869884812,2.4781763942525814e-17,224
A0,20260614,1,isotonic_regression,0.17829445381750925,0.059157007284091213,0.082304629168740664,1.0903976134711359e-17,224
A0,20260614,2,isotonic_regression,0.1771146471053322,0.055876775896596842,0.092956553966615882,2.0816681711721685e-17,224
A0,20260614,3,isotonic_regression,0.16142797315209342,0.03844756169840749,0.097025931584755129,0,224
A1,1729,1,platt_logistic,0.19596187527048828,0.12479944259248037,0.093933364498525518,0.048358252147637774,224
A1,1729,2,isotonic_regression,0.17628039283425964,0.060813564830271269,0.092606764928193488,7.4809949901499806e-18,224
A1,1729,3,isotonic_regression,0.16611151138701788,0.031182770890851395,0.1033145437169212,1.7347234759768071e-18,224
A1,314159,1,platt_logistic,0.18629569924192529,0.11775642508482263,0.091580620258933348,0.049367621566570784,224
A1,314159,2,isotonic_regression,0.17557636536209098,0.07460536779418242,0.091108585372399395,0,224
A1,314159,3,isotonic_regression,0.16004693277426388,0.01929941369125894,0.095379032199684355,0,224
A1,20260612,1,isotonic_regression,0.19076163422291856,0.078535007250122219,0.078185153103529956,8.301890920746148e-18,224
A1,20260612,2,isotonic_regression,0.17522927220033793,0.039517349968946049,0.088126838573267155,5.2041704279304213e-18,224
A1,20260612,3,isotonic_regression,0.16032568670058894,0.016657458912056857,0.09675697865353039,8.0540732813208907e-18,224
A1,20260613,1,platt_logistic,0.18897065699733781,0.11634596742558624,0.094631579545464264,0.054335472804843438,224
A1,20260613,2,isotonic_regression,0.17499363945207599,0.049429096702295144,0.092261708891173175,3.5933557716662428e-18,224
A1,20260613,3,isotonic_regression,0.162691992376507,0.027039527627133825,0.099768008529169241,0,224
A1,20260614,1,platt_logistic,0.1860773959143692,0.09554858829739718,0.089851963388397654,0.044475830566454023,224
A1,20260614,2,isotonic_regression,0.17940681467616995,0.082094307286051243,0.089559417517006801,2.7631666795916285e-17,224
A1,20260614,3,isotonic_regression,0.16268043018825046,0.044422109384236921,0.091563880706921938,1.2019155512125021e-17,224
B0,1729,1,identity,0.19424665586237386,0.039868186832634545,0.16330909346481653,0.11736887101435314,224
B0,1729,2,identity,0.1921011392654024,0.04942072877043191,0.1676158871279374,0.11181184375301031,224
B0,1729,3,identity,0.18211094600048988,0.084404568120224621,0.17086106334495246,0.11409064637318181,224
B1,1729,1,isotonic_regression,0.1894725707082705,0.039597969374010805,0.11816214669833092,2.8715868968401792e-17,224
B1,1729,2,platt_logistic,0.196462293409427,0.073583877304171902,0.14262703411854111,0.056357046886783752,224
B1,1729,3,platt_logistic,0.17900870527449736,0.047114436045206307,0.14849781256787345,0.050112820221682911,224
B1,314159,1,isotonic_regression,0.18869045059130848,0.039304586468878085,0.11940177877677878,2.4998604377022918e-17,224
B1,314159,2,platt_logistic,0.19643195575027267,0.073450674273123989,0.14289203043098292,0.061294768726003257,224
B1,314159,3,platt_logistic,0.17894389504965399,0.046773378668159185,0.14883988696003864,0.050760181947523193,224
B1,20260612,1,isotonic_regression,0.18904825013603085,0.040106640380656949,0.11935437805973519,4.1478477398802588e-17,224
B1,20260612,2,platt_logistic,0.19649712827895932,0.073514750947680035,0.1431396303748175,0.056906175834163443,224
B1,20260612,3,platt_logistic,0.17908819033761278,0.047016728380654828,0.14892243417554996,0.042680619786725604,224
B1,20260613,1,isotonic_regression,0.18872124812570693,0.041866193181000183,0.12051799886621316,2.041397804765564e-17,224
B1,20260613,2,platt_logistic,0.19638796876474107,0.073685949447600582,0.14364185613495342,0.059054754268246482,224
B1,20260613,3,platt_logistic,0.17913902894228381,0.051723144985432928,0.14915312142632517,0.042861629896493038,224
B1,20260614,1,isotonic_regression,0.18789919483668779,0.036260914343597676,0.12007324859768466,5.9476233462061954e-18,224
B1,20260614,2,isotonic_regression,0.19485087011779248,0.076734811022664176,0.13188635157595416,2.9738116731030977e-18,224
B1,20260614,3,platt_logistic,0.17915466568605526,0.046873509916997916,0.14905056438153422,0.043116777087015952,224
B2,1729,1,isotonic_regression,0.17279787856277662,0.046529279536168922,0.072718040741937801,3.2216293125283561e-18,224
B2,1729,2,platt_logistic,0.17545502727958034,0.059086366838564289,0.099579158114011496,0.042428488509985963,224
B2,1729,3,platt_logistic,0.16081833550359304,0.068834978896864768,0.10240752518966476,0.045346793646329528,224
B2,314159,1,isotonic_regression,0.17279787856277662,0.046529279536168922,0.072718040741937801,3.2216293125283561e-18,224
B2,314159,2,platt_logistic,0.17545502727958034,0.059086366838564289,0.099579158114011496,0.042428488509985963,224
B2,314159,3,platt_logistic,0.16081833550359304,0.068834978896864768,0.10240752518966476,0.045346793646329528,224
B2,20260612,1,isotonic_regression,0.17279787856277662,0.046529279536168922,0.072718040741937801,3.2216293125283561e-18,224
B2,20260612,2,platt_logistic,0.17545502727958034,0.059086366838564289,0.099579158114011496,0.042428488509985963,224
B2,20260612,3,platt_logistic,0.16081833550359304,0.068834978896864768,0.10240752518966476,0.045346793646329528,224
B2,20260613,1,isotonic_regression,0.17279787856277662,0.046529279536168922,0.072718040741937801,3.2216293125283561e-18,224
B2,20260613,2,platt_logistic,0.17545502727958034,0.059086366838564289,0.099579158114011496,0.042428488509985963,224
B2,20260613,3,platt_logistic,0.16081833550359304,0.068834978896864768,0.10240752518966476,0.045346793646329528,224
B2,20260614,1,isotonic_regression,0.17279787856277662,0.046529279536168922,0.072718040741937801,3.2216293125283561e-18,224
B2,20260614,2,platt_logistic,0.17545502727958034,0.059086366838564289,0.099579158114011496,0.042428488509985963,224
B2,20260614,3,platt_logistic,0.16081833550359304,0.068834978896864768,0.10240752518966476,0.045346793646329528,224
M0,1729,1,isotonic_regression,0.2035736132856055,0.081696268576359837,0.14367929342279548,0,224
M0,1729,2,platt_logistic,0.20029122841220776,0.088777521822656372,0.15504590795246456,2.2003787680802134e-12,224
M0,1729,3,platt_logistic,0.18108526398314945,0.052336029567977962,0.15704480429688425,0.012064510903684751,224
