model_id,availability,availability_reason,seed_policy,calibration_seed_source,selected_family,seeds,horizons_months,bloom_score_source,bloom_calibration,ordinal_calibration,uncertainty_calibration
B0,available,published_deterministic_baseline,deterministic_technical_seed,technical_seed,False,[1729],"[1, 2, 3]",predicted_bloom_probability,fixed_identity_no_refit,record_not_available_degenerate_constant_score,not_applicable
B1,available,published_seeded_baseline_family,exact_five_prespecified_seeds,upstream_state_seed,False,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",predicted_bloom_probability,select_then_refit,select_cutpoints,not_applicable
B2,available,published_seeded_baseline_family,exact_five_prespecified_seeds,model_seed,True,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",predicted_bloom_probability,select_then_refit,select_cutpoints,not_applicable
F0,available,published_static_fuzzy_state,deterministic_technical_seed,not_applicable,False,[1729],"[1, 2, 3]",not_applicable,not_applicable,not_applicable,not_applicable
F1,available,published_exact_five_seed_adaptive_state_family,exact_five_prespecified_seeds,not_applicable,False,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",not_applicable,not_applicable,not_applicable,not_applicable
P0,unavailable,exact_five_slots_model_unavailable_not_attempted,exact_five_prespecified_seeds,not_applicable,False,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable
P1,unavailable,exact_five_slots_model_unavailable_not_attempted,exact_five_prespecified_seeds,not_applicable,False,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable
M0,available,published_raw_uncalibrated_mifal_score,deterministic_technical_seed,technical_seed,False,[1729],"[1, 2, 3]",raw_score,select_then_refit,not_applicable,not_applicable
A0,available,registered_exact_five_seed_anfis_family,exact_five_prespecified_seeds,base_seed,False,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",predicted_bloom_probability,select_then_refit,not_applicable,symmetric_scaled_sigma_split_conformal
A1,available,registered_exact_five_seed_anfis_family,exact_five_prespecified_seeds,base_seed,False,"[1729, 20260612, 20260613, 20260614, 314159]","[1, 2, 3]",predicted_bloom_probability,select_then_refit,not_applicable,symmetric_scaled_sigma_split_conformal
A2,unavailable,model_absent_no_substitute,no_slots,not_applicable,False,[],"[1, 2, 3]",not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable,not_attempted_upstream_model_unavailable
