model_id,model_seed,horizon_months,status,cutpoints,macro_f1,ordinal_mae,selection_year
B0,1729,1,not_available_degenerate_constant_score,,,,2021
B0,1729,2,not_available_degenerate_constant_score,,,,2021
B0,1729,3,not_available_degenerate_constant_score,,,,2021
B1,1729,1,completed,"[0.44957654674847924, 0.5570740699768066, 0.6912065049012501]",0.40501137420544325,0.7232142857142857,2021
B1,1729,2,completed,"[0.47660307586193085, 0.5864480758706729, 0.6983011265595753]",0.35739755139925306,0.8125,2021
B1,1729,3,completed,"[0.45674242824316025, 0.5559236307938893, 0.6334745387236277]",0.36808060888663174,0.9017857142857143,2021
B1,314159,1,completed,"[0.5038074006636937, 0.5580037534236908, 0.6917178531487782]",0.40697894227305992,0.7946428571428571,2021
B1,314159,2,completed,"[0.47733012835184735, 0.5973100364208221, 0.7137901435295742]",0.35795649786563227,0.7857142857142857,2021
B1,314159,3,completed,"[0.4548705865939458, 0.5562995374202728, 0.6328315461675326]",0.36334136327941513,0.9151785714285714,2021
B1,20260612,1,completed,"[0.44945651292800903, 0.5529050032297771, 0.691818783680598]",0.40924984500232359,0.7276785714285714,2021
B1,20260612,2,completed,"[0.4776050945123037, 0.6050643995404243, 0.7136290445923805]",0.36013536327817247,0.7901785714285714,2021
B1,20260612,3,completed,"[0.4558391670385996, 0.5563873425126076, 0.6475710968176523]",0.36035124147984504,0.8839285714285714,2021
B1,20260613,1,completed,"[0.45512216289838153, 0.5580636163552603, 0.6887720922629038]",0.4082742792420212,0.7232142857142857,2021
B1,20260613,2,completed,"[0.45512216289838153, 0.6038274839520454, 0.7139285107453663]",0.36275289170364422,0.7410714285714286,2021
B1,20260613,3,completed,"[0.45512216289838153, 0.5571330438057582, 0.6496282716592152]",0.36713002993490801,0.875,2021
B1,20260614,1,completed,"[0.4537430380781492, 0.5509047135710716, 0.6909964581330617]",0.40745644138664211,0.7321428571428571,2021
B1,20260614,2,completed,"[0.4537430380781492, 0.5868705188234646, 0.7137894729773204]",0.36112285069109656,0.75,2021
B1,20260614,3,completed,"[0.4537430380781492, 0.560801128546397, 0.6489872733751934]",0.3640401157604265,0.8794642857142857,2021
B2,1729,1,completed,"[0.01622735775111142, 0.0759687077777966, 0.49030360301567866]",0.53292662157910387,0.5669642857142857,2021
B2,1729,2,completed,"[0.005219465561581217, 0.030077866756663855, 0.5626340143049422]",0.52387990333412005,0.5178571428571429,2021
B2,1729,3,completed,"[0.011479843792828723, 0.055787623473012395, 0.6096806140878122]",0.57690794712533844,0.5089285714285714,2021
B2,314159,1,completed,"[0.01622735775111142, 0.0759687077777966, 0.49030360301567866]",0.53292662157910387,0.5669642857142857,2021
B2,314159,2,completed,"[0.005219465561581217, 0.030077866756663855, 0.5626340143049422]",0.52387990333412005,0.5178571428571429,2021
B2,314159,3,completed,"[0.011479843792828723, 0.055787623473012395, 0.6096806140878122]",0.57690794712533844,0.5089285714285714,2021
B2,20260612,1,completed,"[0.01622735775111142, 0.0759687077777966, 0.49030360301567866]",0.53292662157910387,0.5669642857142857,2021
B2,20260612,2,completed,"[0.005219465561581217, 0.030077866756663855, 0.5626340143049422]",0.52387990333412005,0.5178571428571429,2021
B2,20260612,3,completed,"[0.011479843792828723, 0.055787623473012395, 0.6096806140878122]",0.57690794712533844,0.5089285714285714,2021
B2,20260613,1,completed,"[0.01622735775111142, 0.0759687077777966, 0.49030360301567866]",0.53292662157910387,0.5669642857142857,2021
B2,20260613,2,completed,"[0.005219465561581217, 0.030077866756663855, 0.5626340143049422]",0.52387990333412005,0.5178571428571429,2021
B2,20260613,3,completed,"[0.011479843792828723, 0.055787623473012395, 0.6096806140878122]",0.57690794712533844,0.5089285714285714,2021
B2,20260614,1,completed,"[0.01622735775111142, 0.0759687077777966, 0.49030360301567866]",0.53292662157910387,0.5669642857142857,2021
B2,20260614,2,completed,"[0.005219465561581217, 0.030077866756663855, 0.5626340143049422]",0.52387990333412005,0.5178571428571429,2021
B2,20260614,3,completed,"[0.011479843792828723, 0.055787623473012395, 0.6096806140878122]",0.57690794712533844,0.5089285714285714,2021
