horizon_months,evaluation_cohort,metric,reference_threshold_ug_l,compared_threshold_ug_l,compared_model_count,kendall_tau,estimable
1,location_holdout,brier,30,25,30,0.84197530864197534,True
1,location_holdout,brier,30,30,30,1,True
1,location_holdout,brier,30,33,30,0.85185185185185186,True
1,location_holdout,brier,30,50,30,-0.54567901234567906,True
1,location_holdout,f2,30,25,30,0.96009975062344144,True
1,location_holdout,f2,30,30,30,1,True
1,location_holdout,f2,30,33,30,0.93017456359102246,True
1,location_holdout,f2,30,50,30,0.17705735660847879,True
1,location_holdout,pr_auc,30,25,30,0.95061728395061729,True
1,location_holdout,pr_auc,30,30,30,1,True
1,location_holdout,pr_auc,30,33,30,0.97530864197530864,True
1,location_holdout,pr_auc,30,50,30,0.58024691358024694,True
2,location_holdout,brier,30,25,30,0.97530864197530864,True
2,location_holdout,brier,30,30,30,1,True
2,location_holdout,brier,30,33,30,0.8666666666666667,True
2,location_holdout,brier,30,50,30,-0.55555555555555558,True
2,location_holdout,f2,30,25,30,0.97022332506203479,True
2,location_holdout,f2,30,30,30,1,True
2,location_holdout,f2,30,33,30,0.77667493796526055,True
2,location_holdout,f2,30,50,30,-0.12919264626572749,True
2,location_holdout,pr_auc,30,25,30,0.89135802469135805,True
2,location_holdout,pr_auc,30,30,30,1,True
2,location_holdout,pr_auc,30,33,30,0.96543209876543212,True
2,location_holdout,pr_auc,30,50,30,0.71851851851851856,True
3,location_holdout,brier,30,25,30,0.99506172839506168,True
3,location_holdout,brier,30,30,30,1,True
3,location_holdout,brier,30,33,30,0.77777777777777779,True
3,location_holdout,brier,30,50,30,-0.43209876543209874,True
3,location_holdout,f2,30,25,30,0.95533498759305213,True
3,location_holdout,f2,30,30,30,1,True
3,location_holdout,f2,30,33,30,0.82630272952853601,True
3,location_holdout,f2,30,50,30,0.33498759305210918,True
3,location_holdout,pr_auc,30,25,30,0.94567901234567897,True
3,location_holdout,pr_auc,30,30,30,1,True
3,location_holdout,pr_auc,30,33,30,0.99012345679012348,True
3,location_holdout,pr_auc,30,50,30,0.68888888888888888,True
