model_id,model_seed,seed_slot,horizon_months,threshold_ug_l,evaluation_cohort,origin_count,successful_origin_count,terminal_status,decision_threshold,positive_count,positive_rate,pr_auc,brier,recall,precision,f2,alert_rate,calibration_curve_json
A0,1729,1729,1,25,location_holdout,4488,635,success,0.077576756203796698,254,0.40000000000000002,0.70190033848670286,0.18579016472012555,0.99606299212598426,0.53151260504201681,0.84785522788203749,0.74960629921259847,"[{""bin"":0,""count"":183,""lower"":0.0,""mean_probability"":0.03533691004179088,""observed_rate"":0.0273224043715847,""upper"":0.1},{""bin"":1,""count"":109,""lower"":0.1,""mean_probability"":0.15076306046157836,""observed_rate"":0.3761467889908257,""upper"":0.2},{""bin"":2,""count"":59,""lower"":0.2,""mean_probability"":0.24432920855828366,""observed_rate"":0.5423728813559322,""upper"":0.30000000000000004},{""bin"":3,""count"":64,""lower"":0.30000000000000004,""mean_probability"":0.3496717289164982,""observed_rate"":0.390625,""upper"":0.4},{""bin"":4,""count"":53,""lower"":0.4,""mean_probability"":0.44837954960692683,""observed_rate"":0.5849056603773585,""upper"":0.5},{""bin"":5,""count"":41,""lower"":0.5,""mean_probability"":0.5425456723705567,""observed_rate"":0.6585365853658537,""upper"":0.6000000000000001},{""bin"":6,""count"":39,""lower"":0.6000000000000001,""mean_probability"":0.6459358536804555,""observed_rate"":0.6923076923076923,""upper"":0.7000000000000001},{""bin"":7,""count"":42,""lower"":0.7000000000000001,""mean_probability"":0.7457278800723037,""observed_rate"":0.6904761904761905,""upper"":0.8},{""bin"":8,""count"":33,""lower"":0.8,""mean_probability"":0.847405796253219,""observed_rate"":0.8484848484848485,""upper"":0.9},{""bin"":9,""count"":12,""lower"":0.9,""mean_probability"":0.9237660110019262,""observed_rate"":0.75,""upper"":1.0}]"
A0,1729,1729,1,30,location_holdout,4488,635,success,0.077576756203796698,207,0.32598425196850395,0.59983795490199754,0.17790562591658249,0.99516908212560384,0.4327731092436975,0.78987730061349692,0.74960629921259847,"[{""bin"":0,""count"":183,""lower"":0.0,""mean_probability"":0.03533691004179088,""observed_rate"":0.02185792349726776,""upper"":0.1},{""bin"":1,""count"":109,""lower"":0.1,""mean_probability"":0.15076306046157836,""observed_rate"":0.24770642201834864,""upper"":0.2},{""bin"":2,""count"":59,""lower"":0.2,""mean_probability"":0.24432920855828366,""observed_rate"":0.4576271186440678,""upper"":0.30000000000000004},{""bin"":3,""count"":64,""lower"":0.30000000000000004,""mean_probability"":0.3496717289164982,""observed_rate"":0.375,""upper"":0.4},{""bin"":4,""count"":53,""lower"":0.4,""mean_probability"":0.44837954960692683,""observed_rate"":0.4716981132075472,""upper"":0.5},{""bin"":5,""count"":41,""lower"":0.5,""mean_probability"":0.5425456723705567,""observed_rate"":0.5853658536585366,""upper"":0.6000000000000001},{""bin"":6,""count"":39,""lower"":0.6000000000000001,""mean_probability"":0.6459358536804555,""observed_rate"":0.5641025641025641,""upper"":0.7000000000000001},{""bin"":7,""count"":42,""lower"":0.7000000000000001,""mean_probability"":0.7457278800723037,""observed_rate"":0.5,""upper"":0.8},{""bin"":8,""count"":33,""lower"":0.8,""mean_probability"":0.847405796253219,""observed_rate"":0.7272727272727273,""upper"":0.9},{""bin"":9,""count"":12,""lower"":0.9,""mean_probability"":0.9237660110019262,""observed_rate"":0.75,""upper"":1.0}]"
A0,1729,1729,1,33,location_holdout,4488,635,success,0.077576756203796698,179,0.28188976377952757,0.54611871952118374,0.17429197086271195,0.994413407821229,0.37394957983193278,0.74664429530201337,0.74960629921259847,"[{""bin"":0,""count"":183,""lower"":0.0,""mean_probability"":0.03533691004179088,""observed_rate"":0.01639344262295082,""upper"":0.1},{""bin"":1,""count"":109,""lower"":0.1,""mean_probability"":0.15076306046157836,""observed_rate"":0.2018348623853211,""upper"":0.2},{""bin"":2,""count"":59,""lower"":0.2,""mean_probability"":0.24432920855828366,""observed_rate"":0.4406779661016949,""upper"":0.30000000000000004},{""bin"":3,""count"":64,""lower"":0.30000000000000004,""mean_probability"":0.3496717289164982,""observed_rate"":0.3125,""upper"":0.4},{""bin"":4,""count"":53,""lower"":0.4,""mean_probability"":0.44837954960692683,""observed_rate"":0.3584905660377358,""upper"":0.5},{""bin"":5,""count"":41,""lower"":0.5,""mean_probability"":0.5425456723705567,""observed_rate"":0.5121951219512195,""upper"":0.6000000000000001},{""bin"":6,""count"":39,""lower"":0.6000000000000001,""mean_probability"":0.6459358536804555,""observed_rate"":0.48717948717948717,""upper"":0.7000000000000001},{""bin"":7,""count"":42,""lower"":0.7000000000000001,""mean_probability"":0.7457278800723037,""observed_rate"":0.40476190476190477,""upper"":0.8},{""bin"":8,""count"":33,""lower"":0.8,""mean_probability"":0.847405796253219,""observed_rate"":0.696969696969697,""upper"":0.9},{""bin"":9,""count"":12,""lower"":0.9,""mean_probability"":0.9237660110019262,""observed_rate"":0.75,""upper"":1.0}]"
A0,1729,1729,1,50,location_holdout,4488,635,success,0.077576756203796698,67,0.10551181102362205,0.32855632007179092,0.16633259902209707,0.9850746268656716,0.13865546218487396,0.44354838709677419,0.74960629921259847,"[{""bin"":0,""count"":183,""lower"":0.0,""mean_probability"":0.03533691004179088,""observed_rate"":0.00546448087431694,""upper"":0.1},{""bin"":1,""count"":109,""lower"":0.1,""mean_probability"":0.15076306046157836,""observed_rate"":0.08256880733944955,""upper"":0.2},{""bin"":2,""count"":59,""lower"":0.2,""mean_probability"":0.24432920855828366,""observed_rate"":0.11864406779661017,""upper"":0.30000000000000004},{""bin"":3,""count"":64,""lower"":0.30000000000000004,""mean_probability"":0.3496717289164982,""observed_rate"":0.109375,""upper"":0.4},{""bin"":4,""count"":53,""lower"":0.4,""mean_probability"":0.44837954960692683,""observed_rate"":0.1320754716981132,""upper"":0.5},{""bin"":5,""count"":41,""lower"":0.5,""mean_probability"":0.5425456723705567,""observed_rate"":0.1951219512195122,""upper"":0.6000000000000001},{""bin"":6,""count"":39,""lower"":0.6000000000000001,""mean_probability"":0.6459358536804555,""observed_rate"":0.1282051282051282,""upper"":0.7000000000000001},{""bin"":7,""count"":42,""lower"":0.7000000000000001,""mean_probability"":0.7457278800723037,""observed_rate"":0.11904761904761904,""upper"":0.8},{""bin"":8,""count"":33,""lower"":0.8,""mean_probability"":0.847405796253219,""observed_rate"":0.30303030303030304,""upper"":0.9},{""bin"":9,""count"":12,""lower"":0.9,""mean_probability"":0.9237660110019262,""observed_rate"":0.6666666666666666,""upper"":1.0}]"
A0,1729,1729,2,25,location_holdout,4488,625,success,0.19277108433734941,251,0.40160000000000001,0.65368344521326049,0.20301109484287194,0.99601593625498008,0.5,0.8311170212765957,0.80000000000000004,"[{""bin"":0,""count"":125,""lower"":0.0,""mean_probability"":0.0,""observed_rate"":0.008,""upper"":0.1},{""bin"":1,""count"":231,""lower"":0.1,""mean_probability"":0.19277185689922918,""observed_rate"":0.3246753246753247,""upper"":0.2},{""bin"":2,""count"":102,""lower"":0.2,""mean_probability"":0.2956968614574542,""observed_rate"":0.5686274509803921,""upper"":0.30000000000000004},{""bin"":4,""count"":4,""lower"":0.4,""mean_probability"":0.4511435688609733,""observed_rate"":0.5,""upper"":0.5},{""bin"":5,""count"":94,""lower"":0.5,""mean_probability"":0.5138297872340425,""observed_rate"":0.648936170212766,""upper"":0.6000000000000001},{""bin"":6,""count"":1,""lower"":0.6000000000000001,""mean_probability"":0.6335044030945223,""observed_rate"":1.0,""upper"":0.7000000000000001},{""bin"":7,""count"":2,""lower"":0.7000000000000001,""mean_probability"":0.7329004956474098,""observed_rate"":0.0,""upper"":0.8},{""bin"":9,""count"":66,""lower"":0.9,""mean_probability"":0.9994045496994229,""observed_rate"":0.803030303030303,""upper"":1.0}]"
A0,1729,1729,2,30,location_holdout,4488,625,success,0.19277108433734941,206,0.3296,0.56634063239506527,0.18873062671461036,0.99514563106796117,0.40999999999999998,0.77416918429003023,0.80000000000000004,"[{""bin"":0,""count"":125,""lower"":0.0,""mean_probability"":0.0,""observed_rate"":0.008,""upper"":0.1},{""bin"":1,""count"":231,""lower"":0.1,""mean_probability"":0.19277185689922918,""observed_rate"":0.23809523809523808,""upper"":0.2},{""bin"":2,""count"":102,""lower"":0.2,""mean_probability"":0.2956968614574542,""observed_rate"":0.5,""upper"":0.30000000000000004},{""bin"":4,""count"":4,""lower"":0.4,""mean_probability"":0.4511435688609733,""observed_rate"":0.25,""upper"":0.5},{""bin"":5,""count"":94,""lower"":0.5,""mean_probability"":0.5138297872340425,""observed_rate"":0.5319148936170213,""upper"":0.6000000000000001},{""bin"":6,""count"":1,""lower"":0.6000000000000001,""mean_probability"":0.6335044030945223,""observed_rate"":1.0,""upper"":0.7000000000000001},{""bin"":7,""count"":2,""lower"":0.7000000000000001,""mean_probability"":0.7329004956474098,""observed_rate"":0.0,""upper"":0.8},{""bin"":9,""count"":66,""lower"":0.9,""mean_probability"":0.9994045496994229,""observed_rate"":0.7121212121212122,""upper"":1.0}]"
A0,1729,1729,2,33,location_holdout,4488,625,success,0.19277108433734941,177,0.28320000000000001,0.49932610971266889,0.18321562629631274,0.99435028248587576,0.35199999999999998,0.72847682119205293,0.80000000000000004,"[{""bin"":0,""count"":125,""lower"":0.0,""mean_probability"":0.0,""observed_rate"":0.008,""upper"":0.1},{""bin"":1,""count"":231,""lower"":0.1,""mean_probability"":0.19277185689922918,""observed_rate"":0.2077922077922078,""upper"":0.2},{""bin"":2,""count"":102,""lower"":0.2,""mean_probability"":0.2956968614574542,""observed_rate"":0.4019607843137255,""upper"":0.30000000000000004},{""bin"":4,""count"":4,""lower"":0.4,""mean_probability"":0.4511435688609733,""observed_rate"":0.25,""upper"":0.5},{""bin"":5,""count"":94,""lower"":0.5,""mean_probability"":0.5138297872340425,""observed_rate"":0.4574468085106383,""upper"":0.6000000000000001},{""bin"":6,""count"":1,""lower"":0.6000000000000001,""mean_probability"":0.6335044030945223,""observed_rate"":1.0,""upper"":0.7000000000000001},{""bin"":7,""count"":2,""lower"":0.7000000000000001,""mean_probability"":0.7329004956474098,""observed_rate"":0.0,""upper"":0.8},{""bin"":9,""count"":66,""lower"":0.9,""mean_probability"":0.9994045496994229,""observed_rate"":0.6363636363636364,""upper"":1.0}]"
A0,1729,1729,2,50,location_holdout,4488,625,success,0.19277108433734941,66,0.1056,0.22176643366164797,0.17019445313132314,0.98484848484848486,0.13,0.42539267015706805,0.80000000000000004,"[{""bin"":0,""count"":125,""lower"":0.0,""mean_probability"":0.0,""observed_rate"":0.008,""upper"":0.1},{""bin"":1,""count"":231,""lower"":0.1,""mean_probability"":0.19277185689922918,""observed_rate"":0.06926406926406926,""upper"":0.2},{""bin"":2,""count"":102,""lower"":0.2,""mean_probability"":0.2956968614574542,""observed_rate"":0.1568627450980392,""upper"":0.30000000000000004},{""bin"":4,""count"":4,""lower"":0.4,""mean_probability"":0.4511435688609733,""observed_rate"":0.0,""upper"":0.5},{""bin"":5,""count"":94,""lower"":0.5,""mean_probability"":0.5138297872340425,""observed_rate"":0.1276595744680851,""upper"":0.6000000000000001},{""bin"":6,""count"":1,""lower"":0.6000000000000001,""mean_probability"":0.6335044030945223,""observed_rate"":0.0,""upper"":0.7000000000000001},{""bin"":7,""count"":2,""lower"":0.7000000000000001,""mean_probability"":0.7329004956474098,""observed_rate"":0.0,""upper"":0.8},{""bin"":9,""count"":66,""lower"":0.9,""mean_probability"":0.9994045496994229,""observed_rate"":0.3181818181818182,""upper"":1.0}]"
A0,1729,1729,3,25,location_holdout,4488,609,success,0.2321428571428571,245,0.40229885057471265,0.63340507687042424,0.22756574343543778,0.99591836734693873,0.5,0.83106267029972747,0.80131362889983582,"[{""bin"":0,""count"":120,""lower"":0.0,""mean_probability"":0.0,""observed_rate"":0.008333333333333333,""upper"":0.1},{""bin"":1,""count"":1,""lower"":0.1,""mean_probability"":0.1855855772936338,""observed_rate"":0.0,""upper"":0.2},{""bin"":2,""count"":366,""lower"":0.2,""mean_probability"":0.24785759548865832,""observed_rate"":0.4371584699453552,""upper"":0.30000000000000004},{""bin"":3,""count"":32,""lower"":0.30000000000000004,""mean_probability"":0.3346532517895884,""observed_rate"":0.625,""upper"":0.4},{""bin"":4,""count"":1,""lower"":0.4,""mean_probability"":0.40010598687154564,""observed_rate"":1.0,""upper"":0.5},{""bin"":5,""count"":3,""lower"":0.5,""mean_probability"":0.5448902168353899,""observed_rate"":0.3333333333333333,""upper"":0.6000000000000001},{""bin"":6,""count"":10,""lower"":0.6000000000000001,""mean_probability"":0.6649194877376734,""observed_rate"":0.9,""upper"":0.7000000000000001},{""bin"":8,""count"":1,""lower"":0.8,""mean_probability"":0.8187769788437947,""observed_rate"":1.0,""upper"":0.9},{""bin"":9,""count"":75,""lower"":0.9,""mean_probability"":1.0,""observed_rate"":0.6933333333333334,""upper"":1.0}]"
A0,1729,1729,3,30,location_holdout,4488,609,success,0.2321428571428571,201,0.33004926108374383,0.5408038149529435,0.20875386913824487,0.99502487562189057,0.4098360655737705,0.77399380804953566,0.80131362889983582,"[{""bin"":0,""count"":120,""lower"":0.0,""mean_probability"":0.0,""observed_rate"":0.008333333333333333,""upper"":0.1},{""bin"":1,""count"":1,""lower"":0.1,""mean_probability"":0.1855855772936338,""observed_rate"":0.0,""upper"":0.2},{""bin"":2,""count"":366,""lower"":0.2,""mean_probability"":0.24785759548865832,""observed_rate"":0.3469945355191257,""upper"":0.30000000000000004},{""bin"":3,""count"":32,""lower"":0.30000000000000004,""mean_probability"":0.3346532517895884,""observed_rate"":0.5,""upper"":0.4},{""bin"":4,""count"":1,""lower"":0.4,""mean_probability"":0.40010598687154564,""observed_rate"":1.0,""upper"":0.5},{""bin"":5,""count"":3,""lower"":0.5,""mean_probability"":0.5448902168353899,""observed_rate"":0.3333333333333333,""upper"":0.6000000000000001},{""bin"":6,""count"":10,""lower"":0.6000000000000001,""mean_probability"":0.6649194877376734,""observed_rate"":0.8,""upper"":0.7000000000000001},{""bin"":8,""count"":1,""lower"":0.8,""mean_probability"":0.8187769788437947,""observed_rate"":1.0,""upper"":0.9},{""bin"":9,""count"":75,""lower"":0.9,""mean_probability"":1.0,""observed_rate"":0.6133333333333333,""upper"":1.0}]"
