scenario_id,horizon_months,target_event,evaluation_cohort,evaluation_role,terminal_status,missing_model_id,reason,intent_origin_count,site_count,holdout_group_count,ordered_seed_slot_count,intended_model_count,intended_prediction_row_count,available_prediction_row_count,estimable
control,1,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
control,1,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
control,2,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
control,2,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
control,3,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
control,3,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_10,1,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_10,1,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_10,2,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_10,2,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_10,3,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_10,3,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_25,1,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_25,1,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_25,2,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_25,2,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_25,3,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_25,3,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_50,1,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_50,1,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_50,2,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_50,2,irc_alert_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
mcar_50,3,bloom_h,location_holdout,test,model_unavailable,P1,M0_or_P1_model_unavailable_under_formal_lock,4488,88,88,5,2,44880,0,False
