training_rows_per_module,base_seed,status,completed_module_fit_count,resource_limitation,resource_failure_timing,downstream_metrics_status,saturation_claim_authorized,anfis_n_final_checkpoint_loss,anfis_n_rule_count,anfis_n_epochs,anfis_n_quality_gate_output_standard_deviation,anfis_n_maximum_parameter_delta,anfis_n_centers_ordered,anfis_n_centers_in_unit_interval,anfis_n_selected_keys_sha256,anfis_n_computational_cost_proxy,anfis_n_quality_gate_output_scope,anfis_f_final_checkpoint_loss,anfis_f_rule_count,anfis_f_epochs,anfis_f_quality_gate_output_standard_deviation,anfis_f_maximum_parameter_delta,anfis_f_centers_ordered,anfis_f_centers_in_unit_interval,anfis_f_selected_keys_sha256,anfis_f_computational_cost_proxy,anfis_f_quality_gate_output_scope,anfis_t_no_current_final_checkpoint_loss,anfis_t_no_current_rule_count,anfis_t_no_current_epochs,anfis_t_no_current_quality_gate_output_standard_deviation,anfis_t_no_current_maximum_parameter_delta,anfis_t_no_current_centers_ordered,anfis_t_no_current_centers_in_unit_interval,anfis_t_no_current_selected_keys_sha256,anfis_t_no_current_computational_cost_proxy,anfis_t_no_current_quality_gate_output_scope
4096,1729,completed,3,,,not_estimable_without_separate_temporal_consumers,False,0.0014713463606312871,27,60,0.24865234368713232,1.3897340297698975,True,True,bb5609b710bb3f7e95d11185006d226d5dd4f0e4fca825fab98b4052b6ab82af,6635520,e7_stratified_training_sample_4096,0.0013427820522338152,81,60,0.18655472694102923,1.487413763999939,True,True,48c7f31cb5763de5c2904ac49f3fbbe8e0209f98c49401e4043c7f3100ca9997,19906560,e7_stratified_training_sample_4096,0.015009560622274876,3,60,0.31916021372272529,1.4279886484146118,True,True,006de033d133384d9e920acdf572b132732dd940e4b1c334a9064987a93ec64b,737280,e7_stratified_training_sample_4096
4096,20260612,completed,3,,,not_estimable_without_separate_temporal_consumers,False,0.0014625499024987221,27,60,0.24851266056725152,1.3907299041748047,True,True,c8803eccd4d41496243109a13f348a2dadacc4ebbf67f815c06e4e256411e3cb,6635520,e7_stratified_training_sample_4096,0.0012609832920134068,81,60,0.18650177370347756,1.4597917795181274,True,True,a98fb9bd6293dab0c9aed52a270b37eb6c83d6516333d206a6bfc2024e939eaa,19906560,e7_stratified_training_sample_4096,0.014868070371448994,3,60,0.31981358411571792,1.4422578811645508,True,True,04ee9b9d0d7f9b10464a692fc2c1ddd997117331a189cb0f3edce711e6283a7b,737280,e7_stratified_training_sample_4096
4096,20260613,completed,3,,,not_estimable_without_separate_temporal_consumers,False,0.0014888332225382328,27,60,0.24861774612165749,1.3944052457809448,True,True,b6b02a2808d18b757ca039eecf1fccc837876f30b6413bbae05006c602ea14f7,6635520,e7_stratified_training_sample_4096,0.0013590236194431782,81,60,0.18912876259487485,1.472325325012207,True,True,52ad3947e41bdabde763afb2da91d0d921552ce25a0ce71a61d409f874e736ae,19906560,e7_stratified_training_sample_4096,0.014930624514818192,3,60,0.31825627494606373,1.4267308712005615,True,True,136f93db7d9ee537507fb021a145cc97ccdc1bebe3fba51694b20a75212bdffa,737280,e7_stratified_training_sample_4096
4096,20260614,completed,3,,,not_estimable_without_separate_temporal_consumers,False,0.0014957658713683486,27,60,0.24866286172185775,1.3940733671188354,True,True,f66fc6730196e5d0babf1d250eb863e3db4239237cb9660f428d34672d8d2257,6635520,e7_stratified_training_sample_4096,0.0012903758324682713,81,60,0.18740075280906521,1.4485063552856445,True,True,0e356867ee47dac6dd43e5b2580265a5e6801486454f7300fb6528e43ad72a14,19906560,e7_stratified_training_sample_4096,0.015005618333816528,3,60,0.3197852873202483,1.4339981079101562,True,True,0e1d044ed256a28a9d413e36600c600c212d0453be7df1d3826c0497a2ac8f09,737280,e7_stratified_training_sample_4096
4096,314159,completed,3,,,not_estimable_without_separate_temporal_consumers,False,0.0014760168269276619,27,60,0.24797420361298383,1.3916676044464111,True,True,9f8f298c75a28bfe77284e9183bf9f44ebd59a42a846a7e4a403d33d24101b04,6635520,e7_stratified_training_sample_4096,0.0013331951340660453,81,60,0.18691409681431451,1.4756364822387695,True,True,17f97883d9b28016cab98460fad118408bd30b1f6cfa9fda1fa14cfa7cc1c202,19906560,e7_stratified_training_sample_4096,0.01492589432746172,3,60,0.31993191024694934,1.437888503074646,True,True,cc083e41d06208f4814081c6bf9ba2e706e4e44e3085342e29b5e5cfa2d69076,737280,e7_stratified_training_sample_4096
16384,1729,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 16384 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,20260612,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 16384 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,20260613,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 16384 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,20260614,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 16384 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16384,314159,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 16384 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65536,1729,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 65536 are required | ANFIS-F: E7 candidate universe has 35273 rows; 65536 are required | ANFIS-T-no-current: E7 candidate universe has 35419 rows; 65536 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65536,20260612,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 65536 are required | ANFIS-F: E7 candidate universe has 35273 rows; 65536 are required | ANFIS-T-no-current: E7 candidate universe has 35419 rows; 65536 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65536,20260613,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 65536 are required | ANFIS-F: E7 candidate universe has 35273 rows; 65536 are required | ANFIS-T-no-current: E7 candidate universe has 35419 rows; 65536 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65536,20260614,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 65536 are required | ANFIS-F: E7 candidate universe has 35273 rows; 65536 are required | ANFIS-T-no-current: E7 candidate universe has 35419 rows; 65536 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65536,314159,resource_failure_recorded,0,ANFIS-N: E7 candidate universe has 4757 rows; 65536 are required | ANFIS-F: E7 candidate universe has 35273 rows; 65536 are required | ANFIS-T-no-current: E7 candidate universe has 35419 rows; 65536 are required,pre_fit_exact_eligibility_check,not_estimable_without_separate_temporal_consumers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
