model_id,surface_id,endpoint,model_seed,seed_slot,nominal_coverage,breakdown_id,stratum,attempted_row_count,success_row_count,failure_row_count,location_count,empirical_coverage,absolute_coverage_error,mean_interval_width,median_interval_width,winkler_interval_score,status
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,global,all,13464,1869,11595,33,0.8234349919743178,0.023434991974317754,0.86214763215455215,0.84285151051570772,1.1206092153413394,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,horizon,1,4488,635,3853,32,0.82362204724409449,0.023622047244094446,0.82641438236743836,0.78359498904178415,1.112472716929239,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,horizon,2,4488,625,3863,33,0.8256,0.025599999999999956,0.86930358927228335,0.84896647506420497,1.1014982643736766,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,horizon,3,4488,609,3879,33,0.82101806239737274,0.021018062397372694,0.89206247684459383,0.86655447566095112,1.1487061297033638,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,predicted_risk_band,"[0,.25)",120,120,0,4,1,0.19999999999999996,1.1863715008485798,1.1583412316094823,1.1863715008485798,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,predicted_risk_band,"[.25,.5)",316,316,0,12,0.83227848101265822,0.032278481012658178,0.87432683921198384,0.84765919768127584,0.95180388863716314,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,predicted_risk_band,"[.5,.75)",929,929,0,26,0.73519913885898813,0.064800861141011912,0.82720514282556967,0.83136379034613594,1.2385099377253994,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,predicted_risk_band,"[.75,1]",504,504,0,18,0.93849206349206349,0.13849206349206344,0.8417231855537447,0.84825053920937843,0.99346881431526624,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.80000000000000004,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,global,all,13464,1869,11595,33,0.91385767790262173,0.013857677902621712,1.1821691621154158,1.1503450357546938,1.3237536814057367,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,horizon,1,4488,635,3853,32,0.91181102362204725,0.011811023622047223,1.1594328784235231,1.0993586426464421,1.3342048763090395,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,horizon,2,4488,625,3863,33,0.91039999999999999,0.010399999999999965,1.138755401592866,1.1121145376380224,1.2827437382434854,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,horizon,3,4488,609,3879,33,0.91954022988505746,0.019540229885057436,1.2504304765176242,1.2146751534287112,1.3549436743660146,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,predicted_risk_band,"[0,.25)",120,120,0,4,1,0.099999999999999978,1.6298275198796146,1.6251156042496133,1.6298275198796146,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,predicted_risk_band,"[.25,.5)",316,316,0,12,1,0.099999999999999978,1.1992164435225185,1.1643420118378938,1.1992164435225185,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,predicted_risk_band,"[.5,.75)",929,929,0,26,0.85037674919268025,0.049623250807319774,1.1316945193831143,1.1317020581368553,1.3340040260532577,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,predicted_risk_band,"[.75,1]",504,504,0,18,0.95634920634920639,0.056349206349206371,1.1579330495002553,1.1506785664769614,1.3100678408832844,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.90000000000000002,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,global,all,13464,1869,11595,33,0.96575708935259497,0.015757089352595011,1.3637679265825402,1.3183530216903165,1.4446666350475779,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,horizon,1,4488,635,3853,32,0.97165354330708664,0.021653543307086687,1.3998646067504994,1.3273327698439379,1.4985708871224652,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,horizon,2,4488,625,3863,33,0.95840000000000003,0.0084000000000000741,1.2924966161990541,1.2622590195509147,1.3874663357550701,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,horizon,3,4488,609,3879,33,0.96715927750410513,0.017159277504105175,1.3992739644857002,1.3592625495132939,1.4471641506309343,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,predicted_risk_band,"[0,.25)",120,120,0,4,1,0.050000000000000044,1.8847287094900886,1.8920136825809655,1.8847287094900886,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,predicted_risk_band,"[.25,.5)",316,316,0,12,1,0.050000000000000044,1.3868964872957616,1.3422738113969128,1.3868964872957616,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,predicted_risk_band,"[.5,.75)",929,929,0,26,0.94940796555435958,0.00059203444564037699,1.3054131808117537,1.3038405860042619,1.3724409266295812,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,predicted_risk_band,"[.75,1]",504,504,0,18,0.96626984126984128,0.016269841269841323,1.3327910211991594,1.3181439308280223,1.5092412399618471,available
A0,closure_v1_primary,target_risk_chla_h,1729,1729,0.94999999999999996,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,global,all,13464,1869,11595,33,0.82718031032637773,0.027180310326377688,0.85883282061109167,0.84849669872936428,1.1465178455465102,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,horizon,1,4488,635,3853,32,0.81417322834645667,0.014173228346456623,0.80306636670312248,0.77249366396679919,1.1374778041369986,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,horizon,2,4488,625,3863,33,0.82879999999999998,0.028799999999999937,0.88915244601728172,0.88273250828004635,1.1533289632134969,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,horizon,3,4488,609,3879,33,0.83908045977011492,0.039080459770114873,0.88586390821813887,0.87535721473260808,1.14895376960755,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,predicted_risk_band,"[0,.25)",158,158,0,7,1,0.19999999999999996,0.99221130847159311,0.95334447673527012,0.99221130847159311,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,predicted_risk_band,"[.25,.5)",263,263,0,12,0.89353612167300378,0.093536121673003736,0.85813691711660001,0.84004252090709097,0.92421180450568563,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,predicted_risk_band,"[.5,.75)",681,681,0,25,0.63876651982378851,0.16123348017621153,0.82055653814618701,0.82240023254924699,1.4329067162256337,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,predicted_risk_band,"[.75,1]",767,767,0,19,0.9361147327249022,0.13611473272490215,0.86558036936688332,0.88210925624907632,1.0002546131072541,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.80000000000000004,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,global,all,13464,1869,11595,33,0.92027822364901013,0.020278223649010108,1.2255253679059923,1.2112042638648384,1.3533958940466957,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,horizon,1,4488,635,3853,32,0.91496062992125982,0.014960629921259794,1.1737910987369637,1.1291049210757671,1.3518853941812117,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,horizon,2,4488,625,3863,33,0.91520000000000001,0.015199999999999991,1.2156667205320104,1.2068892553290489,1.3445857439396822,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,horizon,3,4488,609,3879,33,0.93103448275862066,0.031034482758620641,1.2895859845415785,1.2742909888462819,1.364012497054029,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,predicted_risk_band,"[0,.25)",158,158,0,7,1,0.099999999999999978,1.4213338869562075,1.3747985073386326,1.4213338869562075,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,predicted_risk_band,"[.25,.5)",263,263,0,12,1,0.099999999999999978,1.2249067276164471,1.2106599549296047,1.2249067276164471,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,predicted_risk_band,"[.5,.75)",681,681,0,25,0.82378854625550657,0.076211453744493451,1.1698059816147481,1.1650065037516963,1.4097963536995262,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,predicted_risk_band,"[.75,1]",767,767,0,19,0.96219035202086045,0.062190352020860429,1.2348732928741195,1.2425166202863149,1.3333825105628299,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.90000000000000002,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,global,all,13464,1869,11595,33,0.97217763509898336,0.022177635098983406,1.4235355482633303,1.3965848143143071,1.4752575302269648,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,horizon,1,4488,635,3853,32,0.97165354330708664,0.021653543307086687,1.4403239254396258,1.3854908542984972,1.5146042388445244,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,horizon,2,4488,625,3863,33,0.96960000000000002,0.019600000000000062,1.4075466586776948,1.3973837648438643,1.4574620303646,available
A0,closure_v1_primary,target_risk_chla_h,314159,314159,0.94999999999999996,horizon,3,4488,609,3879,33,0.97536945812807885,0.025369458128078892,1.4224393848545858,1.4055686957117404,1.4524940284894077,available
