hypothesis_id,hypothesis_text,decisive_experiments,estimand,population,model_or_pair,availability_state,attempted_denominator,successful_denominator,metric,estimate,uncertainty,multiplicity_family,verdict,limitation_code,evidence_paths,authority_commit
H1:A1_vs_A0:h1:delta_brier,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h1,descriptive_available,3175,3175,delta_brier,-0.0056,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h1:delta_mae,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h1,descriptive_available,3175,3175,delta_mae,-0.0044,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h1:delta_pr_auc,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h1,descriptive_available,3175,3175,delta_pr_auc,0.0074,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h2:delta_brier,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h2,descriptive_available,3125,3125,delta_brier,-0.0003,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h2:delta_mae,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h2,descriptive_available,3125,3125,delta_mae,0.0002,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h2:delta_pr_auc,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h2,descriptive_available,3125,3125,delta_pr_auc,0.0072,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h3:delta_brier,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h3,descriptive_available,3045,3045,delta_brier,-0.0111,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h3:delta_mae,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h3,descriptive_available,3045,3045,delta_mae,-0.0020,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:A1_vs_A0:h3:delta_pr_auc,Interpretable and usable ANFIS,E7;E4,descriptive_exact_common_rows,location_holdout,A1_vs_A0:h3,descriptive_available,3045,3045,delta_pr_auc,0.0202,,,limited_descriptive_support,NO_SATURATION_OR_MEMBERSHIP_STABILITY_EVIDENCE,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:Carlson:direction_summary,Interpretable and usable ANFIS,E7;E4,descriptive_reference_horizon_direction_count,location_holdout_four_Carlson_references,B2_vs_B1:Carlson_references,descriptive_available,12,12,reference_horizon_cells_B2_better_on_all_four_ordinal_metrics,1.0000,,,limited_descriptive_support,AUXILIARY_B1_B2_CARLSON_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/carlson_reference_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
