model_id,horizon_months,funnel_metric,availability_state,attempted_origin_count,target_available_origin_count,input_target_intersection_min,input_target_intersection_max,successful_origin_count_min,successful_origin_count_max,failed_origin_count_min,failed_origin_count_max,failure_definition,registered_seed_row_count,evidence_paths
B0,1,pr_auc,descriptive_available,4488,827,827,827,827,827,3661,3661,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B0,2,pr_auc,descriptive_available,4488,858,858,858,858,858,3630,3630,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B0,3,pr_auc,descriptive_available,4488,819,819,819,819,819,3669,3669,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B1,1,pr_auc,descriptive_available,4488,827,827,827,827,827,3661,3661,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B1,2,pr_auc,descriptive_available,4488,858,858,858,858,858,3630,3630,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B1,3,pr_auc,descriptive_available,4488,819,819,819,819,819,3669,3669,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B2,1,pr_auc,descriptive_available,4488,827,827,827,827,827,3661,3661,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B2,2,pr_auc,descriptive_available,4488,858,858,858,858,858,3630,3630,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
B2,3,pr_auc,descriptive_available,4488,819,819,819,819,819,3669,3669,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
F0,1,mae,descriptive_available,4488,827,827,827,827,827,3661,3661,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
F0,2,mae,descriptive_available,4488,858,858,858,858,858,3630,3630,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
F0,3,mae,descriptive_available,4488,819,819,819,819,819,3669,3669,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
F1,1,mae,descriptive_available,4488,827,827,827,827,827,3661,3661,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
F1,2,mae,descriptive_available,4488,858,858,858,858,858,3630,3630,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
F1,3,mae,descriptive_available,4488,819,819,819,819,819,3669,3669,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
P0,1,pr_auc,model_unavailable,4488,827,,,,,4488,4488,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
P0,2,pr_auc,model_unavailable,4488,858,,,,,4488,4488,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
P0,3,pr_auc,model_unavailable,4488,819,,,,,4488,4488,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
P1,1,pr_auc,model_unavailable,4488,827,,,,,4488,4488,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
P1,2,pr_auc,model_unavailable,4488,858,,,,,4488,4488,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
P1,3,pr_auc,model_unavailable,4488,819,,,,,4488,4488,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
M0,1,pr_auc,descriptive_available,4488,827,826,826,826,826,3662,3662,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
M0,2,pr_auc,descriptive_available,4488,858,857,857,857,857,3631,3631,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
M0,3,pr_auc,descriptive_available,4488,819,818,818,818,818,3670,3670,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
A0,1,pr_auc,descriptive_available,4488,827,635,635,635,635,3853,3853,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
A0,2,pr_auc,descriptive_available,4488,858,625,625,625,625,3863,3863,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
A0,3,pr_auc,descriptive_available,4488,819,609,609,609,609,3879,3879,attempted_minus_successful,5,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv
