comparison_id,horizon_months,seed_slot,metric,availability_state,paired_denominator,estimate,uncertainty,estimate_definition,evidence_path
F1_vs_F0,1,1729,absolute_error,descriptive_available,827,0.0147,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,1,20260612,absolute_error,descriptive_available,827,0.0148,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,1,20260613,absolute_error,descriptive_available,827,0.0154,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,1,20260614,absolute_error,descriptive_available,827,0.0150,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,1,314159,absolute_error,descriptive_available,827,0.0146,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,2,1729,absolute_error,descriptive_available,858,0.0156,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,2,20260612,absolute_error,descriptive_available,858,0.0156,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,2,20260613,absolute_error,descriptive_available,858,0.0163,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,2,20260614,absolute_error,descriptive_available,858,0.0159,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,2,314159,absolute_error,descriptive_available,858,0.0154,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,3,1729,absolute_error,descriptive_available,819,0.0126,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,3,20260612,absolute_error,descriptive_available,819,0.0126,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,3,20260613,absolute_error,descriptive_available,819,0.0133,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,3,20260614,absolute_error,descriptive_available,819,0.0129,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
F1_vs_F0,3,314159,absolute_error,descriptive_available,819,0.0124,,mean_loss_F1_minus_F0,reports/closure_v1/01_benchmark/model_comparison_paired.csv
A1_vs_A0,1,aggregate_five_slots,delta_pr_auc,descriptive_available,3175,0.0074,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,1,aggregate_five_slots,delta_brier,descriptive_available,3175,-0.0056,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,1,aggregate_five_slots,delta_mae,descriptive_available,3175,-0.0044,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,2,aggregate_five_slots,delta_pr_auc,descriptive_available,3125,0.0072,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,2,aggregate_five_slots,delta_brier,descriptive_available,3125,-0.0003,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,2,aggregate_five_slots,delta_mae,descriptive_available,3125,0.0002,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,3,aggregate_five_slots,delta_pr_auc,descriptive_available,3045,0.0202,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,3,aggregate_five_slots,delta_brier,descriptive_available,3045,-0.0111,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
A1_vs_A0,3,aggregate_five_slots,delta_mae,descriptive_available,3045,-0.0020,,challenger_minus_reference,reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv
