model_id,availability_state,registered_seed_slot_count,registered_horizon_count,internal_metric_row_count,internal_successful_event_count_min,internal_successful_event_count_max,generalization_gap_cell_count,generalization_gap_estimable_count,generalization_gap_state,reason,evidence_paths
B0,descriptive_available,5,3,15,819,858,105,0,insufficient_support,internal_holdout_available_external_gap_not_estimable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
B1,descriptive_available,5,3,15,819,858,105,0,insufficient_support,internal_holdout_available_external_gap_not_estimable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
B2,descriptive_available,5,3,15,819,858,105,0,insufficient_support,internal_holdout_available_external_gap_not_estimable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
F0,not_applicable,5,3,15,,,105,0,insufficient_support,no_applicable_internal_site_metric_and_no_frozen_legacy_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
F1,not_applicable,5,3,15,,,105,0,insufficient_support,no_applicable_internal_site_metric_and_no_frozen_legacy_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
P0,model_unavailable,5,3,15,,,105,0,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
P1,model_unavailable,5,3,15,,,105,0,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
M0,descriptive_available,5,3,15,818,857,105,0,insufficient_support,internal_holdout_available_external_gap_not_estimable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
A0,descriptive_available,5,3,15,609,635,105,0,insufficient_support,internal_holdout_available_external_gap_not_estimable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
A1,descriptive_available,5,3,15,609,635,105,0,insufficient_support,internal_holdout_available_external_gap_not_estimable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
A2,model_unavailable,0,0,0,,,0,0,model_unavailable,model_absent_no_substitute,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv
