record_type,horizon_months,threshold_ug_l,metric,reference_threshold_ug_l,origin_count,positive_count,positive_rate,positive_site_count,compared_model_count,kendall_tau,availability_state,evidence_path
threshold_prevalence,1,25,,,827,289,0.3495,25,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,1,30,,,827,236,0.2854,25,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,1,33,,,827,203,0.2455,23,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,1,50,,,827,74,0.0895,14,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,2,25,,,858,310,0.3613,26,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,2,30,,,858,261,0.3042,26,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,2,33,,,858,228,0.2657,24,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,2,50,,,858,98,0.1142,16,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,3,25,,,819,278,0.3394,26,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,3,30,,,819,232,0.2833,25,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,3,33,,,819,197,0.2405,23,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
threshold_prevalence,3,50,,,819,72,0.0879,14,,,descriptive_available,reports/closure_v1/03_thresholds/threshold_prevalence.csv
rank_stability,1,25,brier,30,,,,,30,0.8420,descriptive_available,reports/closure_v1/03_thresholds/rank_stability.csv
rank_stability,1,30,brier,30,,,,,30,1.0000,descriptive_available,reports/closure_v1/03_thresholds/rank_stability.csv
rank_stability,1,33,brier,30,,,,,30,0.8519,descriptive_available,reports/closure_v1/03_thresholds/rank_stability.csv
rank_stability,1,50,brier,30,,,,,30,-0.5457,descriptive_available,reports/closure_v1/03_thresholds/rank_stability.csv
