record_type,reference,model_id,horizon_months,availability_state,seed_row_count,evaluation_row_count_min,evaluation_row_count_max,macro_f1_mean,quadratic_weighted_kappa_mean,ordinal_mae_mean,severe_error_rate_mean,limitation,evidence_path
ordinal_performance,future_chla_operational_proxy,B1,1,descriptive_available,5,827,827,0.3503,0.2646,0.8774,0.2259,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv
ordinal_performance,future_chla_operational_proxy,B1,2,descriptive_available,5,858,858,0.2804,0.2152,0.9841,0.2513,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv
ordinal_performance,future_chla_operational_proxy,B1,3,descriptive_available,5,819,819,0.2856,0.1816,0.9915,0.2681,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv
ordinal_performance,future_chla_operational_proxy,B2,1,descriptive_available,5,827,827,0.4021,0.6047,0.6385,0.0665,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv
ordinal_performance,future_chla_operational_proxy,B2,2,descriptive_available,5,858,858,0.4300,0.5665,0.5664,0.0594,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv
ordinal_performance,future_chla_operational_proxy,B2,3,descriptive_available,5,819,819,0.4316,0.5995,0.5324,0.0574,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv
ordinal_performance,tsi_tp_h,B1,1,descriptive_available,5,775,775,0.3452,0.2929,0.9030,0.2377,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_tp_h,B1,2,descriptive_available,5,805,805,0.2695,0.2262,1.0360,0.2713,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_tp_h,B1,3,descriptive_available,5,767,767,0.3120,0.2606,0.9979,0.2795,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_tp_h,B2,1,descriptive_available,5,775,775,0.4178,0.5663,0.6697,0.0877,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_tp_h,B2,2,descriptive_available,5,805,805,0.4781,0.6061,0.5267,0.0323,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_tp_h,B2,3,descriptive_available,5,767,767,0.4784,0.6518,0.5007,0.0417,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_sd_h,B1,1,descriptive_available,5,690,690,0.1845,0.1104,1.1693,0.3788,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_sd_h,B1,2,descriptive_available,5,724,724,0.1384,0.0896,1.3467,0.4406,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_sd_h,B1,3,descriptive_available,5,694,694,0.1999,0.1400,1.2156,0.3925,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_sd_h,B2,1,descriptive_available,5,690,690,0.2717,0.2856,0.8507,0.2217,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_sd_h,B2,2,descriptive_available,5,724,724,0.2840,0.3457,0.6188,0.1008,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_sd_h,B2,3,descriptive_available,5,694,694,0.3201,0.3611,0.7046,0.1599,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_non_chla_h,B1,1,descriptive_available,5,652,652,0.2468,0.2166,1.0049,0.2736,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_non_chla_h,B1,2,descriptive_available,5,685,685,0.1922,0.1631,1.1550,0.3238,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_non_chla_h,B1,3,descriptive_available,5,657,657,0.2521,0.2195,1.0667,0.2995,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_non_chla_h,B2,1,descriptive_available,5,652,652,0.2818,0.4151,0.7822,0.1334,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_non_chla_h,B2,2,descriptive_available,5,685,685,0.4294,0.5371,0.4934,0.0321,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_non_chla_h,B2,3,descriptive_available,5,657,657,0.4156,0.5327,0.5601,0.0791,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_all_h,B1,1,descriptive_available,5,827,827,0.3081,0.2564,0.9161,0.2491,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_all_h,B1,2,descriptive_available,5,858,858,0.2257,0.2061,1.0648,0.2762,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_all_h,B1,3,descriptive_available,5,819,819,0.2667,0.2372,1.0103,0.2796,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_all_h,B2,1,descriptive_available,5,827,827,0.3700,0.5797,0.6433,0.0593,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_all_h,B2,2,descriptive_available,5,858,858,0.4841,0.6346,0.4499,0.0210,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
ordinal_performance,tsi_all_h,B2,3,descriptive_available,5,819,819,0.4596,0.6456,0.4628,0.0366,descriptive_internal_WQP_reference_only,reports/closure_v1/04_trophic/carlson_reference_metrics.csv
nla_semantic_sentinel,nla_provenance_only,,,not_applicable,0,,,,,,,NLA_does_not_validate_monthly_WQP_targets,reports/closure_v1/04_trophic/nla_semantic_metrics.csv
