cell_id,hypothesis_id,multiplicity_family,universe_size,comparison_id,horizon_months,endpoint,estimand,availability_state,availability_reason,status,attempted_denominator,successful_denominator,raw_p_value,holm_p_value,holm_universe_retained,evidence_paths
H2_P1_vs_B1,H2_P1_vs_B1,A,3,P1_vs_B1,,pr_auc;brier,paired_observation_weighted_and_location_balanced,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv
H2_P1_vs_B2,H2_P1_vs_B2,A,3,P1_vs_B2,,pr_auc;brier,paired_observation_weighted_and_location_balanced,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv
H1_P1_vs_P0,H1_P1_vs_P0,A,3,P1_vs_P0,,pr_auc;brier,paired_observation_weighted_and_location_balanced,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv
H4_M0_vs_P1_control:h1:bloom_h,H4_M0_vs_P1_control,B,78,M0_vs_P1_control,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_control:h1:irc_alert_h,H4_M0_vs_P1_control,B,78,M0_vs_P1_control,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_control:h2:bloom_h,H4_M0_vs_P1_control,B,78,M0_vs_P1_control,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_control:h2:irc_alert_h,H4_M0_vs_P1_control,B,78,M0_vs_P1_control,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_control:h3:bloom_h,H4_M0_vs_P1_control,B,78,M0_vs_P1_control,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_control:h3:irc_alert_h,H4_M0_vs_P1_control,B,78,M0_vs_P1_control,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_mcar_10:h1:bloom_h,H4_M0_vs_P1_mcar_10,B,78,M0_vs_P1_mcar_10,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
