model_id,interval_version,horizon_months,nominal_coverage,availability_state,seed_row_count,attempted_row_count_min,attempted_row_count_max,interval_row_count_min,interval_row_count_max,empirical_coverage_mean,absolute_coverage_error_mean,mean_interval_width_mean,winkler_interval_score_mean,evidence_path
A0,locked_conformal,1,0.8000,descriptive_available,5,4488,4488,635,635,0.8324,0.0324,0.8742,1.1312,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,1,0.9000,descriptive_available,5,4488,4488,635,635,0.9231,0.0231,1.2003,1.3379,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,1,0.9500,descriptive_available,5,4488,4488,635,635,0.9698,0.0198,1.4046,1.4741,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,2,0.8000,descriptive_available,5,4488,4488,625,625,0.8282,0.0282,0.8904,1.1327,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,2,0.9000,descriptive_available,5,4488,4488,625,625,0.9261,0.0261,1.2178,1.3294,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,2,0.9500,descriptive_available,5,4488,4488,625,625,0.9683,0.0183,1.3680,1.4325,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,3,0.8000,descriptive_available,5,4488,4488,609,609,0.8296,0.0296,0.8936,1.1390,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,3,0.9000,descriptive_available,5,4488,4488,609,609,0.9366,0.0366,1.2703,1.3454,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,locked_conformal,3,0.9500,descriptive_available,5,4488,4488,609,609,0.9780,0.0280,1.4209,1.4504,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,1,0.8000,descriptive_available,5,4488,4488,635,635,0.8047,0.0104,0.8070,1.1204,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,1,0.9000,descriptive_available,5,4488,4488,635,635,0.8791,0.0209,1.0358,1.3283,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,1,0.9500,descriptive_available,5,4488,4488,635,635,0.9332,0.0168,1.2342,1.4625,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,2,0.8000,descriptive_available,5,4488,4488,625,625,0.7930,0.0077,0.8134,1.1244,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,2,0.9000,descriptive_available,5,4488,4488,625,625,0.8813,0.0187,1.0440,1.3161,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,2,0.9500,descriptive_available,5,4488,4488,625,625,0.9360,0.0142,1.2440,1.4297,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,3,0.8000,descriptive_available,5,4488,4488,609,609,0.8066,0.0074,0.8361,1.1311,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,3,0.9000,descriptive_available,5,4488,4488,609,609,0.8834,0.0166,1.0731,1.3216,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A0,raw_gaussian,3,0.9500,descriptive_available,5,4488,4488,609,609,0.9399,0.0196,1.2787,1.4268,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,1,0.8000,descriptive_available,5,4488,4488,635,635,0.8340,0.0340,0.8746,1.1258,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,1,0.9000,descriptive_available,5,4488,4488,635,635,0.9351,0.0351,1.2404,1.3450,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,1,0.9500,descriptive_available,5,4488,4488,635,635,0.9720,0.0220,1.4158,1.4680,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,2,0.8000,descriptive_available,5,4488,4488,625,625,0.8365,0.0365,0.8936,1.1384,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,2,0.9000,descriptive_available,5,4488,4488,625,625,0.9344,0.0344,1.2525,1.3512,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,2,0.9500,descriptive_available,5,4488,4488,625,625,0.9731,0.0231,1.4115,1.4667,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,3,0.8000,descriptive_available,5,4488,4488,609,609,0.8420,0.0420,0.9182,1.1465,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,3,0.9000,descriptive_available,5,4488,4488,609,609,0.9383,0.0383,1.2741,1.3633,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,locked_conformal,3,0.9500,descriptive_available,5,4488,4488,609,609,0.9747,0.0247,1.4372,1.4817,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,1,0.8000,descriptive_available,5,4488,4488,635,635,0.8176,0.0176,0.8318,1.1191,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,1,0.9000,descriptive_available,5,4488,4488,635,635,0.8913,0.0140,1.0676,1.3170,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,1,0.9500,descriptive_available,5,4488,4488,635,635,0.9414,0.0122,1.2722,1.4496,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,2,0.8000,descriptive_available,5,4488,4488,625,625,0.8218,0.0218,0.8364,1.1275,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,2,0.9000,descriptive_available,5,4488,4488,625,625,0.8886,0.0123,1.0735,1.3239,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,2,0.9500,descriptive_available,5,4488,4488,625,625,0.9437,0.0092,1.2791,1.4455,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,3,0.8000,descriptive_available,5,4488,4488,609,609,0.8230,0.0230,0.8571,1.1327,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,3,0.9000,descriptive_available,5,4488,4488,609,609,0.8962,0.0108,1.1001,1.3314,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
A1,raw_gaussian,3,0.9500,descriptive_available,5,4488,4488,609,609,0.9425,0.0140,1.3108,1.4509,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv
