source_id,site_id,evaluation_cohort,cohort_route,v1_location_overlap,intent_origin_count_per_horizon,origin_start,origin_end,history_length_months,horizons,selection_uses_input_and_provenance_only
wqp,wqp:21AWIC-129,fresh_primary,fresh_location,False,8,2022-12,2024-07,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-ALLEN-2,fresh_primary,fresh_location,False,7,2022-11,2023-05,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-ALLEN-3,fresh_primary,fresh_location,False,7,2022-11,2023-05,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-CAMPCREE-1,fresh_primary,fresh_location,False,13,2022-01,2024-08,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-CAMPCREE-2,fresh_primary,fresh_location,False,14,2022-01,2024-09,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-CAMPCREE-3,fresh_primary,fresh_location,False,14,2022-01,2024-09,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-DRAPER-1,fresh_primary,fresh_location,False,23,2022-10,2024-08,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-DRAPER-2,fresh_primary,fresh_location,False,23,2022-10,2024-08,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-DRAPER-3,fresh_primary,fresh_location,False,23,2022-10,2024-08,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-EASTERN-1,fresh_primary,fresh_location,False,3,2023-12,2024-02,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-EASTERN-2,fresh_primary,fresh_location,False,3,2023-12,2024-02,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-EASTERN-3,fresh_primary,fresh_location,False,3,2023-12,2024-02,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-ERN NORTH-1,fresh_primary,fresh_location,False,24,2022-06,2024-05,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-ERN NORTH-2,fresh_primary,fresh_location,False,19,2022-11,2024-05,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-ERN NORTH-3,fresh_primary,fresh_location,False,14,2023-04,2024-05,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-GRAYTON-2,fresh_primary,fresh_location,False,6,2024-02,2024-07,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-GRAYTON-3,fresh_primary,fresh_location,False,6,2024-02,2024-07,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-LITTLERE-2,fresh_primary,fresh_location,False,5,2022-05,2024-08,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-LITTLERE-3,fresh_primary,fresh_location,False,6,2022-05,2024-06,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-OYSTER-1,fresh_primary,fresh_location,False,16,2022-04,2024-07,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-OYSTER-2,fresh_primary,fresh_location,False,16,2022-04,2024-07,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-OYSTER-3,fresh_primary,fresh_location,False,16,2022-04,2024-07,12,1|2|3,True
wqp,wqp:21FLCBA_WQX-WAL-OYSTER-4,fresh_primary,fresh_location,False,2,2022-04,2022-05,12,1|2|3,True
wqp,wqp:21FLCHCO_WQX-MC1991A01,fresh_primary,fresh_location,False,1,2023-05,2023-05,12,1|2|3,True
wqp,wqp:21FLCHCO_WQX-MC2048A03,fresh_primary,fresh_location,False,11,2023-10,2024-08,12,1|2|3,True
wqp,wqp:21FLCHCO_WQX-SC2093A01,fresh_primary,fresh_location,False,1,2024-08,2024-08,12,1|2|3,True
wqp,wqp:21FLHESD_WQX-BEAUDETTE POND INLET,fresh_primary,fresh_location,False,29,2022-03,2024-07,12,1|2|3,True
wqp,wqp:21FLHESD_WQX-BEAUDETTE POND MIDDLE,fresh_primary,fresh_location,False,29,2022-03,2024-07,12,1|2|3,True
wqp,wqp:21FLHESD_WQX-BEAUDETTE POND OUTLET,fresh_primary,fresh_location,False,29,2022-03,2024-07,12,1|2|3,True
wqp,wqp:21FLHESD_WQX-BEAUDETTE POND WEST,fresh_primary,fresh_location,False,29,2022-03,2024-07,12,1|2|3,True
wqp,wqp:21FLLCPC_WQX-ECROOKEDNWSH,fresh_primary,fresh_location,False,5,2023-01,2023-05,12,1|2|3,True
wqp,wqp:21FLLCPC_WQX-HARRISLKWSH,fresh_primary,fresh_location,False,18,2022-12,2024-05,12,1|2|3,True
wqp,wqp:21FLLCPC_WQX-MINNEOLAWFP,fresh_primary,fresh_location,False,10,2023-09,2024-06,12,1|2|3,True
wqp,wqp:21FLLCPC_WQX-WCROOKEDNSH,fresh_primary,fresh_location,False,5,2023-01,2023-05,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-HARVEST LAKE,fresh_primary,fresh_location,False,18,2023-01,2024-06,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-HUNGERFORD LAKE,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE CATHERINE,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE CHARITY,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE DESTINY,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE EULALIA,fresh_primary,fresh_location,False,19,2023-02,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE FAITH,fresh_primary,fresh_location,False,18,2023-01,2024-06,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE GEM,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE HOPE,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE JACKSON,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE LILY,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE LOCH LOMOND,fresh_primary,fresh_location,False,19,2023-02,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE LOVE,fresh_primary,fresh_location,False,3,2024-04,2024-06,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE LOVELY,fresh_primary,fresh_location,False,1,2023-01,2023-01,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE LUCIEN,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE MAITLAND,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE MINNEHAHA,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE NINA,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE SHADOW,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE SYBELIA,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-LAKE WAUMPI,fresh_primary,fresh_location,False,18,2023-01,2024-06,12,1|2|3,True
wqp,wqp:21FLMAIT_WQX-PARK LAKE,fresh_primary,fresh_location,False,20,2023-01,2024-08,12,1|2|3,True
wqp,wqp:21FLMANA_WQX-ER2,fresh_primary,fresh_location,False,12,2022-08,2023-07,12,1|2|3,True
wqp,wqp:21FLMANA_WQX-UM2,fresh_primary,fresh_location,False,18,2022-06,2023-11,12,1|2|3,True
wqp,wqp:21FLORL_WQX-ORLANDO EAST,fresh_primary,fresh_location,False,2,2022-12,2023-01,12,1|2|3,True
wqp,wqp:21FLORL_WQX-ORLANDO WEST,fresh_primary,fresh_location,False,2,2022-12,2023-01,12,1|2|3,True
wqp,wqp:21FLPOLK_WQX-DEER1,fresh_primary,fresh_location,False,13,2022-11,2023-11,12,1|2|3,True
wqp,wqp:21FLPOLK_WQX-DEESON1,fresh_primary,fresh_location,False,14,2022-11,2023-12,12,1|2|3,True
wqp,wqp:21FLPOLK_WQX-ELBERT1,fresh_primary,fresh_location,False,11,2023-01,2023-11,12,1|2|3,True
wqp,wqp:21FLPOLK_WQX-HAMILTON1,fresh_primary,fresh_location,False,1,2022-12,2022-12,12,1|2|3,True
