model_id,base_seed,time_role,source_id,site_id,intent_rows,complete_case_rows,noneligible_rows,noneligible_fraction
P0,1729,calibration_threshold,wqp,wqp:21DELAWQ_WQX-110011,9,9,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21DELAWQ_WQX-304321,6,5,1,0.16666666666666666
P0,1729,calibration_threshold,wqp,wqp:21DELAWQ_WQX-307011,6,5,1,0.16666666666666666
P0,1729,calibration_threshold,wqp,wqp:21DELAWQ_WQX-307171,6,5,1,0.16666666666666666
P0,1729,calibration_threshold,wqp,wqp:21DELAWQ_WQX-308071,9,9,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-ALLEN-1,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-ALLIGATOR-1,4,4,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-ALLIGATOR-2,4,4,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-BIGREDF-1,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-BIGREDF-3,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-CAMPBELL-1,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-CAMPBELL-2,6,6,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-DEER-1,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-DEER-3,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-FULLER-1,4,3,1,0.25
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-FULLER-3,4,3,1,0.25
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-GRAYTON-1,9,9,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-MORRIS-1,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-MORRIS-2,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-MORRIS-3,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCBA_WQX-WAL-TRESCA-1,7,7,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCOLL_WQX-LKTRAF1,9,9,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLCOLL_WQX-LKTRAF4,9,9,0,0.0
P0,1729,calibration_threshold,wqp,wqp:21FLHESD_WQX-EGYPT LAKE EAST,3,2,1,0.3333333333333333
P0,1729,calibration_threshold,wqp,wqp:21FLHESD_WQX-EGYPT LAKE MIDDLE,3,2,1,0.3333333333333333
P0,1729,calibration_threshold,wqp,wqp:21FLHESD_WQX-EGYPT LAKE WEST,3,2,1,0.3333333333333333
