model_id,base_seed,time_role,origin_year_month,intent_rows,complete_case_rows,noneligible_rows,noneligible_fraction
P0,1729,calibration_threshold,2021-01,28,28,0,0.0
P0,1729,calibration_threshold,2021-02,28,28,0,0.0
P0,1729,calibration_threshold,2021-03,40,37,3,0.075
P0,1729,calibration_threshold,2021-04,37,33,4,0.10810810810810811
P0,1729,calibration_threshold,2021-05,36,36,0,0.0
P0,1729,calibration_threshold,2021-06,38,35,3,0.07894736842105263
P0,1729,calibration_threshold,2021-07,36,35,1,0.027777777777777776
P0,1729,calibration_threshold,2021-08,38,36,2,0.05263157894736842
P0,1729,calibration_threshold,2021-09,38,34,4,0.10526315789473684
P0,1729,model_selection,2019-01,60,60,0,0.0
P0,1729,model_selection,2019-02,64,64,0,0.0
P0,1729,model_selection,2019-03,64,64,0,0.0
P0,1729,model_selection,2019-04,66,62,4,0.06060606060606061
P0,1729,model_selection,2019-05,49,49,0,0.0
P0,1729,model_selection,2019-06,48,48,0,0.0
P0,1729,model_selection,2019-07,48,46,2,0.041666666666666664
P0,1729,model_selection,2019-08,46,46,0,0.0
P0,1729,model_selection,2019-09,49,47,2,0.04081632653061224
P0,1729,model_selection,2019-10,50,50,0,0.0
P0,1729,model_selection,2019-11,56,55,1,0.017857142857142856
P0,1729,model_selection,2019-12,68,67,1,0.014705882352941176
P0,1729,model_selection,2020-01,62,61,1,0.016129032258064516
P0,1729,model_selection,2020-02,63,51,12,0.19047619047619047
P0,1729,model_selection,2020-03,49,32,17,0.3469387755102041
P0,1729,model_selection,2020-04,30,30,0,0.0
P0,1729,model_selection,2020-05,44,42,2,0.045454545454545456
P0,1729,model_selection,2020-06,41,41,0,0.0
P0,1729,model_selection,2020-07,36,36,0,0.0
P0,1729,model_selection,2020-08,35,33,2,0.05714285714285714
P0,1729,model_selection,2020-09,33,32,1,0.030303030303030304
P0,1729,training,1973-05,1,1,0,0.0
P0,1729,training,1973-06,1,1,0,0.0
P0,1729,training,1973-07,1,1,0,0.0
P0,1729,training,1973-08,1,1,0,0.0
P0,1729,training,1973-09,1,1,0,0.0
P0,1729,training,1973-10,1,1,0,0.0
P0,1729,training,1973-11,1,1,0,0.0
P0,1729,training,1973-12,1,1,0,0.0
P0,1729,training,1974-01,1,1,0,0.0
P0,1729,training,1974-02,1,1,0,0.0
P0,1729,training,1974-03,4,4,0,0.0
P0,1729,training,1974-04,5,5,0,0.0
P0,1729,training,1974-05,5,5,0,0.0
P0,1729,training,1974-06,5,5,0,0.0
P0,1729,training,1974-07,5,5,0,0.0
P0,1729,training,1974-08,5,5,0,0.0
P0,1729,training,1974-09,5,5,0,0.0
P0,1729,training,1974-10,5,4,1,0.2
P0,1729,training,1974-11,4,3,1,0.25
P0,1729,training,1974-12,3,0,3,1.0
P0,1729,training,1975-06,1,1,0,0.0
P0,1729,training,1975-07,1,1,0,0.0
P0,1729,training,1975-08,1,1,0,0.0
P0,1729,training,1975-09,1,1,0,0.0
P0,1729,training,1975-10,1,1,0,0.0
P0,1729,training,1975-11,1,1,0,0.0
P0,1729,training,1975-12,1,1,0,0.0
P0,1729,training,1976-01,1,1,0,0.0
P0,1729,training,1976-02,1,1,0,0.0
P0,1729,training,1976-03,1,1,0,0.0
P0,1729,training,1976-04,1,1,0,0.0
P0,1729,training,1976-05,1,1,0,0.0
P0,1729,training,1976-06,1,1,0,0.0
P0,1729,training,1976-07,1,1,0,0.0
P0,1729,training,1976-08,1,1,0,0.0
P0,1729,training,1976-09,1,1,0,0.0
P0,1729,training,1976-10,1,1,0,0.0
P0,1729,training,1976-11,1,1,0,0.0
P0,1729,training,1976-12,1,1,0,0.0
P0,1729,training,1977-01,1,1,0,0.0
P0,1729,training,1977-02,1,1,0,0.0
P0,1729,training,1977-03,1,1,0,0.0
P0,1729,training,1977-04,1,1,0,0.0
P0,1729,training,1977-05,1,1,0,0.0
P0,1729,training,1977-06,1,1,0,0.0
P0,1729,training,1977-07,1,1,0,0.0
P0,1729,training,1977-08,1,1,0,0.0
P0,1729,training,1977-09,1,1,0,0.0
P0,1729,training,1977-10,1,1,0,0.0
P0,1729,training,1977-11,1,1,0,0.0
P0,1729,training,1977-12,1,0,1,1.0
P0,1729,training,1978-12,2,2,0,0.0
P0,1729,training,1979-01,3,1,2,0.6666666666666666
P0,1729,training,1979-02,1,1,0,0.0
P0,1729,training,1979-03,1,1,0,0.0
P0,1729,training,1979-04,1,1,0,0.0
P0,1729,training,1979-05,1,1,0,0.0
P0,1729,training,1979-06,1,1,0,0.0
P0,1729,training,1979-07,1,1,0,0.0
P0,1729,training,1979-08,1,1,0,0.0
P0,1729,training,1979-09,1,1,0,0.0
P0,1729,training,1979-10,1,1,0,0.0
P0,1729,training,1979-11,1,1,0,0.0
P0,1729,training,1979-12,1,1,0,0.0
P0,1729,training,1980-01,1,1,0,0.0
P0,1729,training,1980-02,1,1,0,0.0
P0,1729,training,1980-12,6,6,0,0.0
P0,1729,training,1981-01,6,6,0,0.0
P0,1729,training,1981-02,6,6,0,0.0
P0,1729,training,1981-03,7,7,0,0.0
P0,1729,training,1981-04,7,7,0,0.0
P0,1729,training,1981-05,8,8,0,0.0
P0,1729,training,1981-06,8,8,0,0.0
P0,1729,training,1981-07,8,8,0,0.0
P0,1729,training,1981-08,9,9,0,0.0
P0,1729,training,1981-09,9,9,0,0.0
P0,1729,training,1981-10,9,9,0,0.0
P0,1729,training,1981-11,9,2,7,0.7777777777777778
P0,1729,training,1981-12,1,1,0,0.0
P0,1729,training,1982-01,1,1,0,0.0
P0,1729,training,1982-02,1,1,0,0.0
P0,1729,training,1982-03,1,1,0,0.0
P0,1729,training,1982-04,1,1,0,0.0
P0,1729,training,1982-05,1,1,0,0.0
P0,1729,training,1982-06,1,1,0,0.0
P0,1729,training,1982-07,4,4,0,0.0
P0,1729,training,1982-08,6,6,0,0.0
P0,1729,training,1982-09,1,0,1,1.0
P0,1729,training,1982-12,4,4,0,0.0
P0,1729,training,1983-01,5,5,0,0.0
P0,1729,training,1983-02,5,4,1,0.2
P0,1729,training,1983-03,4,4,0,0.0
P0,1729,training,1983-04,4,4,0,0.0
P0,1729,training,1983-05,4,4,0,0.0
P0,1729,training,1983-06,4,4,0,0.0
P0,1729,training,1983-07,4,4,0,0.0
P0,1729,training,1983-08,4,4,0,0.0
P0,1729,training,1983-09,4,4,0,0.0
