model_id,base_seed,time_role,intent_rows,complete_case_rows,fit_eligible_rows,shared_fit_eligible_rows,calibration_eligible_rows,shared_calibration_eligible_rows,noneligible_rows,locations,eligible_locations
P0,1729,calibration_threshold,319,302,0,0,302,302,17,58,58
P0,1729,model_selection,1061,1016,1016,1016,0,0,45,117,112
P0,1729,training,8352,7909,7909,7909,0,0,443,298,297
P0,314159,calibration_threshold,319,302,0,0,302,302,17,58,58
P0,314159,model_selection,1061,1016,1016,1016,0,0,45,117,112
P0,314159,training,8352,7909,7909,7909,0,0,443,298,297
P0,20260612,calibration_threshold,319,302,0,0,302,302,17,58,58
P0,20260612,model_selection,1061,1016,1016,1016,0,0,45,117,112
P0,20260612,training,8352,7909,7909,7909,0,0,443,298,297
P0,20260613,calibration_threshold,319,302,0,0,302,302,17,58,58
P0,20260613,model_selection,1061,1016,1016,1016,0,0,45,117,112
P0,20260613,training,8352,7909,7909,7909,0,0,443,298,297
P0,20260614,calibration_threshold,319,302,0,0,302,302,17,58,58
P0,20260614,model_selection,1061,1016,1016,1016,0,0,45,117,112
P0,20260614,training,8352,7909,7909,7909,0,0,443,298,297
P1,1729,calibration_threshold,319,302,0,0,302,302,17,58,58
P1,1729,model_selection,1061,1016,1016,1016,0,0,45,117,112
P1,1729,training,8352,7909,7909,7909,0,0,443,298,297
P1,314159,calibration_threshold,319,302,0,0,302,302,17,58,58
P1,314159,model_selection,1061,1016,1016,1016,0,0,45,117,112
P1,314159,training,8352,7909,7909,7909,0,0,443,298,297
P1,20260612,calibration_threshold,319,302,0,0,302,302,17,58,58
P1,20260612,model_selection,1061,1016,1016,1016,0,0,45,117,112
P1,20260612,training,8352,7909,7909,7909,0,0,443,298,297
P1,20260613,calibration_threshold,319,302,0,0,302,302,17,58,58
P1,20260613,model_selection,1061,1016,1016,1016,0,0,45,117,112
P1,20260613,training,8352,7909,7909,7909,0,0,443,298,297
P1,20260614,calibration_threshold,319,302,0,0,302,302,17,58,58
P1,20260614,model_selection,1061,1016,1016,1016,0,0,45,117,112
P1,20260614,training,8352,7909,7909,7909,0,0,443,298,297
