model_id,base_seed,intent_rows,complete_case_rows,fit_intent_rows,fit_eligible_rows,shared_fit_eligible_rows,fit_eligibility_fraction,calibration_intent_rows,calibration_eligible_rows,shared_calibration_eligible_rows,noneligible_rows
P0,1729,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P0,314159,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P0,20260612,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P0,20260613,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P0,20260614,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P1,1729,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P1,314159,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P1,20260612,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P1,20260613,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
P1,20260614,9732,9227,9413,8925,8925,0.94815680441942,319,302,302,505
