profile,epoch,training_loss,probabilistic_validation_loss,best_probabilistic_validation_loss,best_epoch,epochs_without_improvement,batch_order_sha256
v2_primary,1,0.006067554595603369,-0.21976855796153152,-0.21976855796153152,1,0,c506e70576e2404c35a768d6d4f00944044e5e8f476dde0365267c0b72dd160a
v2_primary,2,-0.7137184487927772,-1.0095445387006745,-1.0095445387006745,2,0,e106b26f45eaa2d50bd73d73224ddebe5b77fb0c11e7767d8671d8abf0a4eecf
v2_primary,3,-1.1519995753119094,-1.263124894908094,-1.263124894908094,3,0,b1fedbf19790c16ccd8a816832d5e5c974e6bdd2f608210f03c1b4863f77172d
v2_primary,4,-1.289098067777409,-1.321394973852503,-1.321394973852503,4,0,96950008c7d1965744aee0387cc28c9070fe443d5cfa7f8324c1180ceed92616
v2_primary,5,-1.3522690244443891,-1.3408250414480374,-1.3408250414480374,5,0,65542972f5bccec3cd7365b04ef8bd381503fb8a3cdfec79d4fca96603e82e48
v2_primary,6,-1.3873937172328406,-1.3896086084561086,-1.3896086084561086,6,0,4743c9921c261dc72f92cf2fb770c5639e393cf9584d1537adfe52d6368dcc9d
v2_primary,7,-1.4259920371951882,-1.4319266981965915,-1.4319266981965915,7,0,2f72216beed2618d6a6c03b4a7f64fdbde35e0e087eb512de9f78bb1082bbc17
v2_primary,8,-1.4732537876867828,-1.4831303405010794,-1.4831303405010794,8,0,b3f339244873ec77d0714f581fe82da0e6699431796da5263edc8c73d0965f21
v2_primary,9,-1.5242689037642538,-1.528186925752895,-1.528186925752895,9,0,d5a9fe9ec9e3dc4ebdd931e68bfc9452c9adc4b15535e60fc92b7fc508ef3f30
v2_primary,10,-1.5709268154936986,-1.583681811497906,-1.583681811497906,10,0,1878ba4067eefd95524a6bf41d44fc143f55945def568e0a839bc4fa81caafbd
v2_primary,11,-1.6213872437079797,-1.626433067434416,-1.626433067434416,11,0,bbfa8ae09d5a0a5253b675ce7ca5844f461af11dfca810070aa0dbcc3d948fb0
v2_primary,12,-1.6616105056770654,-1.6633055810853252,-1.6633055810853252,12,0,5198e792711ba155a958f4f02d4645e729de47a894ede9b09f49d25620deece5
v2_primary,13,-1.6864474223678672,-1.6761638883530625,-1.6761638883530625,13,0,bf967572cc2b8b7c3909ba243c4df7f5b5762d2c50f7919af80e33a8d5b31fa9
v2_primary,14,-1.7019138624369985,-1.6898937769762175,-1.6898937769762175,14,0,82f2fad358edafbd88d2adb2c27df7dc6d22a54feaf4da814c7e847d1813a090
v2_primary,15,-1.7208283014311956,-1.7038938773898629,-1.7038938773898629,15,0,18ea5849694d4d5cc3f388b4831e008b95b568c826adbc94a386605e7a8c2630
v2_primary,16,-1.7426347592368652,-1.729411148649501,-1.729411148649501,16,0,992c39f42c56cf21b09021187700708f6edd47481898f294ff2a253a50578725
