model_id,base_seed,horizon_months,target,coverage,quantile,score,quantile_method,rows
P0,1729,1,yN,0.8,0.1158987283706665,absolute_state_residual,higher,273
P0,1729,1,yN,0.9,0.1714613437652588,absolute_state_residual,higher,273
P0,1729,1,yN,0.95,0.22970205545425415,absolute_state_residual,higher,273
P0,1729,1,yF,0.8,0.1848125457763672,absolute_state_residual,higher,273
P0,1729,1,yF,0.9,0.23401200771331787,absolute_state_residual,higher,273
P0,1729,1,yF,0.95,0.2681819200515747,absolute_state_residual,higher,273
P0,1729,1,yT,0.8,0.15351390838623047,absolute_state_residual,higher,273
P0,1729,1,yT,0.9,0.2532816529273987,absolute_state_residual,higher,273
P0,1729,1,yT,0.95,0.4029000401496887,absolute_state_residual,higher,273
P0,1729,1,sigma_N,0.8,0.050573527812957764,absolute_state_residual,higher,273
P0,1729,1,sigma_N,0.9,0.07490324974060059,absolute_state_residual,higher,273
P0,1729,1,sigma_N,0.95,0.09919427335262299,absolute_state_residual,higher,273
P0,1729,1,sigma_F,0.8,0.06387737393379211,absolute_state_residual,higher,273
P0,1729,1,sigma_F,0.9,0.08877275884151459,absolute_state_residual,higher,273
P0,1729,1,sigma_F,0.95,0.10558360815048218,absolute_state_residual,higher,273
P0,1729,1,sigma_T,0.8,0.05101430416107178,absolute_state_residual,higher,273
P0,1729,1,sigma_T,0.9,0.07196615636348724,absolute_state_residual,higher,273
P0,1729,1,sigma_T,0.95,0.08682998269796371,absolute_state_residual,higher,273
P0,1729,1,delta_yN,0.8,0.11848566681146622,absolute_state_residual,higher,273
P0,1729,1,delta_yN,0.9,0.16334271430969238,absolute_state_residual,higher,273
P0,1729,1,delta_yN,0.95,0.22701288759708405,absolute_state_residual,higher,273
P0,1729,1,delta_yF,0.8,0.19499053061008453,absolute_state_residual,higher,273
P0,1729,1,delta_yF,0.9,0.22747210040688515,absolute_state_residual,higher,273
P0,1729,1,delta_yF,0.95,0.29530924558639526,absolute_state_residual,higher,273
P0,1729,1,delta_yT,0.8,0.14959171414375305,absolute_state_residual,higher,273
P0,1729,1,delta_yT,0.9,0.2446344792842865,absolute_state_residual,higher,273
P0,1729,1,delta_yT,0.95,0.3960593044757843,absolute_state_residual,higher,273
P0,1729,2,yN,0.8,0.12601864337921143,absolute_state_residual,higher,221
P0,1729,2,yN,0.9,0.22471576929092407,absolute_state_residual,higher,221
P0,1729,2,yN,0.95,0.2784994840621948,absolute_state_residual,higher,221
P0,1729,2,yF,0.8,0.18002045154571533,absolute_state_residual,higher,221
P0,1729,2,yF,0.9,0.2355138063430786,absolute_state_residual,higher,221
P0,1729,2,yF,0.95,0.2833847403526306,absolute_state_residual,higher,221
P0,1729,2,yT,0.8,0.1643056869506836,absolute_state_residual,higher,221
P0,1729,2,yT,0.9,0.22823113203048706,absolute_state_residual,higher,221
P0,1729,2,yT,0.95,0.30106139183044434,absolute_state_residual,higher,221
P0,1729,2,sigma_N,0.8,0.05519448220729828,absolute_state_residual,higher,221
P0,1729,2,sigma_N,0.9,0.08451500535011292,absolute_state_residual,higher,221
P0,1729,2,sigma_N,0.95,0.11398541927337646,absolute_state_residual,higher,221
P0,1729,2,sigma_F,0.8,0.06377243995666504,absolute_state_residual,higher,221
P0,1729,2,sigma_F,0.9,0.08675800263881683,absolute_state_residual,higher,221
P0,1729,2,sigma_F,0.95,0.10189168155193329,absolute_state_residual,higher,221
P0,1729,2,sigma_T,0.8,0.04500105232000351,absolute_state_residual,higher,221
P0,1729,2,sigma_T,0.9,0.05794616788625717,absolute_state_residual,higher,221
P0,1729,2,sigma_T,0.95,0.0795149952173233,absolute_state_residual,higher,221
P0,1729,2,delta_yN,0.8,0.1307436153292656,absolute_state_residual,higher,221
P0,1729,2,delta_yN,0.9,0.20007823407649994,absolute_state_residual,higher,221
P0,1729,2,delta_yN,0.95,0.2865658849477768,absolute_state_residual,higher,221
P0,1729,2,delta_yF,0.8,0.21159176528453827,absolute_state_residual,higher,221
P0,1729,2,delta_yF,0.9,0.27725842595100403,absolute_state_residual,higher,221
P0,1729,2,delta_yF,0.95,0.3342654909938574,absolute_state_residual,higher,221
P0,1729,2,delta_yT,0.8,0.17369984090328217,absolute_state_residual,higher,221
P0,1729,2,delta_yT,0.9,0.2561247795820236,absolute_state_residual,higher,221
P0,1729,2,delta_yT,0.95,0.34273336455225945,absolute_state_residual,higher,221
P0,1729,3,yN,0.8,0.1265251636505127,absolute_state_residual,higher,177
P0,1729,3,yN,0.9,0.21379858255386353,absolute_state_residual,higher,177
P0,1729,3,yN,0.95,0.30869023501873016,absolute_state_residual,higher,177
P0,1729,3,yF,0.8,0.20587624609470367,absolute_state_residual,higher,177
P0,1729,3,yF,0.9,0.2561449259519577,absolute_state_residual,higher,177
P0,1729,3,yF,0.95,0.29135167598724365,absolute_state_residual,higher,177
P0,1729,3,yT,0.8,0.15885424613952637,absolute_state_residual,higher,177
P0,1729,3,yT,0.9,0.21343693882226944,absolute_state_residual,higher,177
P0,1729,3,yT,0.95,0.2686592638492584,absolute_state_residual,higher,177
P0,1729,3,sigma_N,0.8,0.06831754744052887,absolute_state_residual,higher,177
P0,1729,3,sigma_N,0.9,0.0886194109916687,absolute_state_residual,higher,177
P0,1729,3,sigma_N,0.95,0.11012423038482666,absolute_state_residual,higher,177
P0,1729,3,sigma_F,0.8,0.05672362446784973,absolute_state_residual,higher,177
P0,1729,3,sigma_F,0.9,0.07640060782432556,absolute_state_residual,higher,177
P0,1729,3,sigma_F,0.95,0.08820493519306183,absolute_state_residual,higher,177
P0,1729,3,sigma_T,0.8,0.04155018925666809,absolute_state_residual,higher,177
P0,1729,3,sigma_T,0.9,0.051934562623500824,absolute_state_residual,higher,177
P0,1729,3,sigma_T,0.95,0.06825769692659378,absolute_state_residual,higher,177
P0,1729,3,delta_yN,0.8,0.1359611302614212,absolute_state_residual,higher,177
P0,1729,3,delta_yN,0.9,0.2064838483929634,absolute_state_residual,higher,177
P0,1729,3,delta_yN,0.95,0.2915203236043453,absolute_state_residual,higher,177
P0,1729,3,delta_yF,0.8,0.21663421392440796,absolute_state_residual,higher,177
P0,1729,3,delta_yF,0.9,0.27447635494172573,absolute_state_residual,higher,177
P0,1729,3,delta_yF,0.95,0.3347973246127367,absolute_state_residual,higher,177
P0,1729,3,delta_yT,0.8,0.14695286750793457,absolute_state_residual,higher,177
P0,1729,3,delta_yT,0.9,0.24984143301844597,absolute_state_residual,higher,177
P0,1729,3,delta_yT,0.95,0.38357050716876984,absolute_state_residual,higher,177
P0,20260612,1,yN,0.8,0.11597901582717896,absolute_state_residual,higher,273
P0,20260612,1,yN,0.9,0.16942685842514038,absolute_state_residual,higher,273
P0,20260612,1,yN,0.95,0.22222039103507996,absolute_state_residual,higher,273
P0,20260612,1,yF,0.8,0.1885245144367218,absolute_state_residual,higher,273
P0,20260612,1,yF,0.9,0.2338380068540573,absolute_state_residual,higher,273
P0,20260612,1,yF,0.95,0.2851101756095886,absolute_state_residual,higher,273
P0,20260612,1,yT,0.8,0.14069044589996338,absolute_state_residual,higher,273
P0,20260612,1,yT,0.9,0.22899949550628662,absolute_state_residual,higher,273
P0,20260612,1,yT,0.95,0.385709285736084,absolute_state_residual,higher,273
P0,20260612,1,sigma_N,0.8,0.05055111646652222,absolute_state_residual,higher,273
P0,20260612,1,sigma_N,0.9,0.07355177402496338,absolute_state_residual,higher,273
P0,20260612,1,sigma_N,0.95,0.10089609026908875,absolute_state_residual,higher,273
P0,20260612,1,sigma_F,0.8,0.0628649890422821,absolute_state_residual,higher,273
