evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success
fresh_primary,A0,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,A0,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,A0,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,A1,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,A1,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,A1,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,A1,1729,seed,1,2286,2286,2286,966,966,966
fresh_primary,A1,1729,seed,2,2286,2286,2286,933,933,933
fresh_primary,A1,1729,seed,3,2286,2286,2286,885,885,885
fresh_primary,A1,314159,seed,1,2286,2286,2286,966,966,966
fresh_primary,A1,314159,seed,2,2286,2286,2286,933,933,933
fresh_primary,A1,314159,seed,3,2286,2286,2286,885,885,885
fresh_primary,A1,20260612,seed,1,2286,2286,2286,966,966,966
fresh_primary,A1,20260612,seed,2,2286,2286,2286,933,933,933
fresh_primary,A1,20260612,seed,3,2286,2286,2286,885,885,885
fresh_primary,A1,20260613,seed,1,2286,2286,2286,966,966,966
fresh_primary,A1,20260613,seed,2,2286,2286,2286,933,933,933
fresh_primary,A1,20260613,seed,3,2286,2286,2286,885,885,885
fresh_primary,A1,20260614,seed,1,2286,2286,2286,966,966,966
fresh_primary,A1,20260614,seed,2,2286,2286,2286,933,933,933
fresh_primary,A1,20260614,seed,3,2286,2286,2286,885,885,885
fresh_primary,B1,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,B1,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,B1,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,B1,1729,seed,1,2286,2286,2286,966,966,966
fresh_primary,B1,1729,seed,2,2286,2286,2286,933,933,933
fresh_primary,B1,1729,seed,3,2286,2286,2286,885,885,885
fresh_primary,B1,314159,seed,1,2286,2286,2286,966,966,966
fresh_primary,B1,314159,seed,2,2286,2286,2286,933,933,933
fresh_primary,B1,314159,seed,3,2286,2286,2286,885,885,885
fresh_primary,B1,20260612,seed,1,2286,2286,2286,966,966,966
fresh_primary,B1,20260612,seed,2,2286,2286,2286,933,933,933
fresh_primary,B1,20260612,seed,3,2286,2286,2286,885,885,885
fresh_primary,B1,20260613,seed,1,2286,2286,2286,966,966,966
fresh_primary,B1,20260613,seed,2,2286,2286,2286,933,933,933
fresh_primary,B1,20260613,seed,3,2286,2286,2286,885,885,885
fresh_primary,B1,20260614,seed,1,2286,2286,2286,966,966,966
fresh_primary,B1,20260614,seed,2,2286,2286,2286,933,933,933
fresh_primary,B1,20260614,seed,3,2286,2286,2286,885,885,885
fresh_primary,B2,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,B2,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,B2,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,B2,1729,seed,1,2286,2286,2286,966,966,966
fresh_primary,B2,1729,seed,2,2286,2286,2286,933,933,933
fresh_primary,B2,1729,seed,3,2286,2286,2286,885,885,885
fresh_primary,B2,314159,seed,1,2286,2286,2286,966,966,966
fresh_primary,B2,314159,seed,2,2286,2286,2286,933,933,933
fresh_primary,B2,314159,seed,3,2286,2286,2286,885,885,885
fresh_primary,B2,20260612,seed,1,2286,2286,2286,966,966,966
fresh_primary,B2,20260612,seed,2,2286,2286,2286,933,933,933
fresh_primary,B2,20260612,seed,3,2286,2286,2286,885,885,885
fresh_primary,B2,20260613,seed,1,2286,2286,2286,966,966,966
fresh_primary,B2,20260613,seed,2,2286,2286,2286,933,933,933
fresh_primary,B2,20260613,seed,3,2286,2286,2286,885,885,885
fresh_primary,B2,20260614,seed,1,2286,2286,2286,966,966,966
fresh_primary,B2,20260614,seed,2,2286,2286,2286,933,933,933
fresh_primary,B2,20260614,seed,3,2286,2286,2286,885,885,885
fresh_primary,M0,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,M0,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,M0,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,P0,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,P0,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,P0,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,P0,1729,seed,1,2286,2286,2286,966,966,966
fresh_primary,P0,1729,seed,2,2286,2286,2286,933,933,933
fresh_primary,P0,1729,seed,3,2286,2286,2286,885,885,885
fresh_primary,P0,314159,seed,1,2286,2286,2286,966,966,966
fresh_primary,P0,314159,seed,2,2286,2286,2286,933,933,933
fresh_primary,P0,314159,seed,3,2286,2286,2286,885,885,885
fresh_primary,P0,20260612,seed,1,2286,2286,2286,966,966,966
fresh_primary,P0,20260612,seed,2,2286,2286,2286,933,933,933
fresh_primary,P0,20260612,seed,3,2286,2286,2286,885,885,885
fresh_primary,P0,20260613,seed,1,2286,2286,2286,966,966,966
fresh_primary,P0,20260613,seed,2,2286,2286,2286,933,933,933
fresh_primary,P0,20260613,seed,3,2286,2286,2286,885,885,885
fresh_primary,P0,20260614,seed,1,2286,2286,2286,966,966,966
fresh_primary,P0,20260614,seed,2,2286,2286,2286,933,933,933
fresh_primary,P0,20260614,seed,3,2286,2286,2286,885,885,885
fresh_primary,P1,-1,family,1,2286,2286,2286,966,966,966
fresh_primary,P1,-1,family,2,2286,2286,2286,933,933,933
fresh_primary,P1,-1,family,3,2286,2286,2286,885,885,885
fresh_primary,P1,1729,seed,1,2286,2286,2286,966,966,966
fresh_primary,P1,1729,seed,2,2286,2286,2286,933,933,933
fresh_primary,P1,1729,seed,3,2286,2286,2286,885,885,885
fresh_primary,P1,314159,seed,1,2286,2286,2286,966,966,966
fresh_primary,P1,314159,seed,2,2286,2286,2286,933,933,933
fresh_primary,P1,314159,seed,3,2286,2286,2286,885,885,885
fresh_primary,P1,20260612,seed,1,2286,2286,2286,966,966,966
fresh_primary,P1,20260612,seed,2,2286,2286,2286,933,933,933
fresh_primary,P1,20260612,seed,3,2286,2286,2286,885,885,885
fresh_primary,P1,20260613,seed,1,2286,2286,2286,966,966,966
fresh_primary,P1,20260613,seed,2,2286,2286,2286,933,933,933
fresh_primary,P1,20260613,seed,3,2286,2286,2286,885,885,885
fresh_primary,P1,20260614,seed,1,2286,2286,2286,966,966,966
fresh_primary,P1,20260614,seed,2,2286,2286,2286,933,933,933
fresh_primary,P1,20260614,seed,3,2286,2286,2286,885,885,885
legacy_posthoc,A0,-1,family,1,4488,804,804,827,635,635
legacy_posthoc,A0,-1,family,2,4488,804,804,858,625,625
legacy_posthoc,A0,-1,family,3,4488,804,804,819,609,609
legacy_posthoc,A1,-1,family,1,4488,804,804,827,635,635
legacy_posthoc,A1,-1,family,2,4488,804,804,858,625,625
legacy_posthoc,A1,-1,family,3,4488,804,804,819,609,609
legacy_posthoc,A1,1729,seed,1,4488,804,804,827,635,635
legacy_posthoc,A1,1729,seed,2,4488,804,804,858,625,625
legacy_posthoc,A1,1729,seed,3,4488,804,804,819,609,609
legacy_posthoc,A1,314159,seed,1,4488,804,804,827,635,635
legacy_posthoc,A1,314159,seed,2,4488,804,804,858,625,625
legacy_posthoc,A1,314159,seed,3,4488,804,804,819,609,609
legacy_posthoc,A1,20260612,seed,1,4488,804,804,827,635,635
legacy_posthoc,A1,20260612,seed,2,4488,804,804,858,625,625
legacy_posthoc,A1,20260612,seed,3,4488,804,804,819,609,609
legacy_posthoc,A1,20260613,seed,1,4488,804,804,827,635,635
legacy_posthoc,A1,20260613,seed,2,4488,804,804,858,625,625
legacy_posthoc,A1,20260613,seed,3,4488,804,804,819,609,609
legacy_posthoc,A1,20260614,seed,1,4488,804,804,827,635,635
legacy_posthoc,A1,20260614,seed,2,4488,804,804,858,625,625
legacy_posthoc,A1,20260614,seed,3,4488,804,804,819,609,609
legacy_posthoc,B1,-1,family,1,4488,804,804,827,635,635
legacy_posthoc,B1,-1,family,2,4488,804,804,858,625,625
legacy_posthoc,B1,-1,family,3,4488,804,804,819,609,609
legacy_posthoc,B1,1729,seed,1,4488,804,804,827,635,635
legacy_posthoc,B1,1729,seed,2,4488,804,804,858,625,625
legacy_posthoc,B1,1729,seed,3,4488,804,804,819,609,609
legacy_posthoc,B1,314159,seed,1,4488,804,804,827,635,635
legacy_posthoc,B1,314159,seed,2,4488,804,804,858,625,625
legacy_posthoc,B1,314159,seed,3,4488,804,804,819,609,609
legacy_posthoc,B1,20260612,seed,1,4488,804,804,827,635,635
legacy_posthoc,B1,20260612,seed,2,4488,804,804,858,625,625
legacy_posthoc,B1,20260612,seed,3,4488,804,804,819,609,609
legacy_posthoc,B1,20260613,seed,1,4488,804,804,827,635,635
legacy_posthoc,B1,20260613,seed,2,4488,804,804,858,625,625
legacy_posthoc,B1,20260613,seed,3,4488,804,804,819,609,609
legacy_posthoc,B1,20260614,seed,1,4488,804,804,827,635,635
legacy_posthoc,B1,20260614,seed,2,4488,804,804,858,625,625
legacy_posthoc,B1,20260614,seed,3,4488,804,804,819,609,609
legacy_posthoc,B2,-1,family,1,4488,804,1308,827,827,635
legacy_posthoc,B2,-1,family,2,4488,804,1308,858,858,625
legacy_posthoc,B2,-1,family,3,4488,804,1308,819,819,609
legacy_posthoc,B2,1729,seed,1,4488,804,1308,827,827,635
legacy_posthoc,B2,1729,seed,2,4488,804,1308,858,858,625
legacy_posthoc,B2,1729,seed,3,4488,804,1308,819,819,609
legacy_posthoc,B2,314159,seed,1,4488,804,1308,827,827,635
legacy_posthoc,B2,314159,seed,2,4488,804,1308,858,858,625
legacy_posthoc,B2,314159,seed,3,4488,804,1308,819,819,609
legacy_posthoc,B2,20260612,seed,1,4488,804,1308,827,827,635
legacy_posthoc,B2,20260612,seed,2,4488,804,1308,858,858,625
legacy_posthoc,B2,20260612,seed,3,4488,804,1308,819,819,609
legacy_posthoc,B2,20260613,seed,1,4488,804,1308,827,827,635
legacy_posthoc,B2,20260613,seed,2,4488,804,1308,858,858,625
legacy_posthoc,B2,20260613,seed,3,4488,804,1308,819,819,609
legacy_posthoc,B2,20260614,seed,1,4488,804,1308,827,827,635
legacy_posthoc,B2,20260614,seed,2,4488,804,1308,858,858,625
legacy_posthoc,B2,20260614,seed,3,4488,804,1308,819,819,609
