evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,success_rate,evaluable_rate,abstention_rate,failure_rate
fresh_primary,A0,-1,family,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,A0,-1,family,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,A0,-1,family,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,A1,-1,family,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,A1,-1,family,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,A1,-1,family,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,A1,1729,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,A1,1729,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,A1,1729,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,A1,314159,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,A1,314159,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,A1,314159,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,A1,20260612,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,A1,20260612,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,A1,20260612,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,A1,20260613,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,A1,20260613,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
