evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,estimand,endpoint,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,metric,estimate,status
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.337558429521049,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.45481058735771696,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.42343817302479253,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,reliability_bias,0.4234381730247926,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,f2,0.49809885931558934,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,recall,0.803680981595092,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,precision,0.1975867269984917,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,macro_f1,0.4036227664204493,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_mae,0.42950699681570187,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_rmse,0.4987825279401793,estimated
fresh_primary,A0,-1,family,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_nll,,not_estimable
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.3239097050556946,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.4672592410135369,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.40635168432598334,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,reliability_bias,0.4063516843259834,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,f2,0.5855293710629279,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,recall,0.9025723716787009,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,precision,0.24345687102689625,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,macro_f1,0.4374468060173107,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_mae,0.39578100872709804,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_rmse,0.4680324517066832,estimated
fresh_primary,A0,-1,family,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_nll,,not_estimable
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,brier,0.34704684867944835,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,pr_auc,0.39040064485179166,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,ece10,0.42315340294398784,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,reliability_bias,0.4231534029439879,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,f2,0.47318611987381703,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,recall,0.759493670886076,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,precision,0.18867924528301888,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,macro_f1,0.3927379788713862,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_mae,0.4303308973146071,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_rmse,0.49937720621114273,estimated
fresh_primary,A0,-1,family,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_nll,,not_estimable
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,brier,0.34718744629528114,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,pr_auc,0.38169872510762587,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,ece10,0.42468732996263797,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,reliability_bias,0.42468732996263797,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,f2,0.5073815030900506,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,recall,0.8228996376425658,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,precision,0.2002540177154147,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,macro_f1,0.4005141650868378,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_mae,0.39987494001601986,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_rmse,0.47736956502695754,estimated
fresh_primary,A0,-1,family,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_nll,,not_estimable
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,brier,0.3536237294617821,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,pr_auc,0.3553883484429651,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,ece10,0.42034988815257596,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,reliability_bias,0.4102422637153278,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.41807432432432434,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.66,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,precision,0.1695205479452055,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,macro_f1,0.3761901255089266,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_mae,0.43546673324320423,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_rmse,0.5028835604235982,estimated
fresh_primary,A0,-1,family,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_nll,,not_estimable
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,brier,0.3502430232598222,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,pr_auc,0.28321091812650195,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,ece10,0.39759846365204243,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,reliability_bias,0.3878647164412357,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.3940889918886503,estimated
fresh_primary,A0,-1,family,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.6061109030041921,estimated
