evaluation_cohort,horizon_months,comparison_id,comparison_tier,challenger,reference,challenger_evaluable,reference_evaluable,pairwise_common_rows,inference_performed
fresh_primary,1,P1_vs_B2,primary,P1,B2,966,966,966,False
fresh_primary,1,P1_vs_P0,primary,P1,P0,966,966,966,False
fresh_primary,1,P1_vs_B1,secondary,P1,B1,966,966,966,False
fresh_primary,1,P1_vs_A1,secondary,P1,A1,966,966,966,False
fresh_primary,1,A1_vs_A0,secondary,A1,A0,966,966,966,False
fresh_primary,1,M0_vs_P1,secondary,M0,P1,966,966,966,False
fresh_primary,2,P1_vs_B2,primary,P1,B2,933,933,933,False
fresh_primary,2,P1_vs_P0,primary,P1,P0,933,933,933,False
fresh_primary,2,P1_vs_B1,secondary,P1,B1,933,933,933,False
fresh_primary,2,P1_vs_A1,secondary,P1,A1,933,933,933,False
fresh_primary,2,A1_vs_A0,secondary,A1,A0,933,933,933,False
fresh_primary,2,M0_vs_P1,secondary,M0,P1,933,933,933,False
fresh_primary,3,P1_vs_B2,primary,P1,B2,885,885,885,False
fresh_primary,3,P1_vs_P0,primary,P1,P0,885,885,885,False
fresh_primary,3,P1_vs_B1,secondary,P1,B1,885,885,885,False
fresh_primary,3,P1_vs_A1,secondary,P1,A1,885,885,885,False
fresh_primary,3,A1_vs_A0,secondary,A1,A0,885,885,885,False
fresh_primary,3,M0_vs_P1,secondary,M0,P1,885,885,885,False
legacy_posthoc,1,P1_vs_B2,primary,P1,B2,635,827,635,False
legacy_posthoc,1,P1_vs_P0,primary,P1,P0,635,635,635,False
legacy_posthoc,1,P1_vs_B1,secondary,P1,B1,635,635,635,False
legacy_posthoc,1,P1_vs_A1,secondary,P1,A1,635,635,635,False
legacy_posthoc,1,A1_vs_A0,secondary,A1,A0,635,635,635,False
legacy_posthoc,1,M0_vs_P1,secondary,M0,P1,826,635,635,False
legacy_posthoc,2,P1_vs_B2,primary,P1,B2,625,858,625,False
legacy_posthoc,2,P1_vs_P0,primary,P1,P0,625,625,625,False
legacy_posthoc,2,P1_vs_B1,secondary,P1,B1,625,625,625,False
legacy_posthoc,2,P1_vs_A1,secondary,P1,A1,625,625,625,False
legacy_posthoc,2,A1_vs_A0,secondary,A1,A0,625,625,625,False
legacy_posthoc,2,M0_vs_P1,secondary,M0,P1,857,625,625,False
legacy_posthoc,3,P1_vs_B2,primary,P1,B2,609,819,609,False
legacy_posthoc,3,P1_vs_P0,primary,P1,P0,609,609,609,False
legacy_posthoc,3,P1_vs_B1,secondary,P1,B1,609,609,609,False
legacy_posthoc,3,P1_vs_A1,secondary,P1,A1,609,609,609,False
legacy_posthoc,3,A1_vs_A0,secondary,A1,A0,609,609,609,False
legacy_posthoc,3,M0_vs_P1,secondary,M0,P1,818,609,609,False
