evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed
fresh_primary,A0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,1729,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,1729,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,1729,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,314159,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,314159,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,314159,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260612,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260612,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260612,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260613,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260613,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260613,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260614,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260614,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,A1,20260614,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,1729,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,1729,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,1729,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,314159,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,314159,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,314159,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260612,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260612,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260612,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260613,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260613,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260613,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260614,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260614,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B1,20260614,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,1729,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,1729,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,1729,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,314159,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,314159,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,314159,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,20260612,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,20260612,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,20260612,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,20260613,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
