evaluation_cohort,estimand,comparison_id,challenger,reference,horizon_months,metric,estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,adjudication,result_state
fresh_primary,observation_weighted,P1_vs_B2,P1,B2,1,brier,0.030238342621201772,966,89,2000,2000,0,1.0,0.014782945221604017,0.0509670664503123,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_B2,P1,B2,1,pr_auc,-0.28190335832175323,966,89,2000,2000,0,1.0,-0.34388362576662956,-0.21427852810370288,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_B2,P1,B2,2,brier,0.023510048931733044,933,88,2000,2000,0,1.0,0.009213297490617084,0.03961784543424317,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_B2,P1,B2,2,pr_auc,-0.15841435231887968,933,88,2000,2000,0,1.0,-0.21752976560241502,-0.09324699607230233,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_B2,P1,B2,3,brier,0.024347038562749834,885,86,2000,2000,0,1.0,0.011448978126669295,0.038841287655921486,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_B2,P1,B2,3,pr_auc,-0.15265958876108343,885,86,2000,2000,0,1.0,-0.23887084495458988,-0.0661204262913595,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_P0,P1,P0,1,brier,0.002055873068348063,966,89,2000,2000,0,1.0,-0.0010116424121219096,0.005453926569101326,available,inconclusive,confirmatory_available
fresh_primary,observation_weighted,P1_vs_P0,P1,P0,1,pr_auc,-0.044976490630619814,966,89,2000,2000,0,1.0,-0.08956259202914314,-0.0004556595153062636,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_P0,P1,P0,2,brier,0.002107102613829251,933,88,2000,2000,0,1.0,-0.002951400702366912,0.007192867568442768,available,inconclusive,confirmatory_available
fresh_primary,observation_weighted,P1_vs_P0,P1,P0,2,pr_auc,-0.07079146781292722,933,88,2000,2000,0,1.0,-0.11644017103994085,-0.016714786274242933,available,inferior,confirmatory_available
fresh_primary,observation_weighted,P1_vs_P0,P1,P0,3,brier,0.0031256656053624543,885,86,2000,2000,0,1.0,-0.0015790000878917621,0.00785692152685061,available,inconclusive,confirmatory_available
fresh_primary,observation_weighted,P1_vs_P0,P1,P0,3,pr_auc,-0.04513365937090996,885,86,2000,2000,0,1.0,-0.08855070946632822,-0.004660644076142109,available,inferior,confirmatory_available
fresh_primary,site_weighted,P1_vs_B2,P1,B2,1,brier,0.024484692253970736,966,89,2000,2000,0,1.0,0.0021023093350461884,0.05032821823511398,available,inferior,confirmatory_available
fresh_primary,site_weighted,P1_vs_B2,P1,B2,1,pr_auc,-0.2638031386911458,966,89,2000,2000,0,1.0,-0.35530046312031177,-0.16094106269130973,available,inferior,confirmatory_available
fresh_primary,site_weighted,P1_vs_B2,P1,B2,2,brier,-0.003559144922230917,933,88,2000,2000,0,1.0,-0.029476025225967577,0.01900638388220001,available,descriptively_favorable,confirmatory_available
fresh_primary,site_weighted,P1_vs_B2,P1,B2,2,pr_auc,-0.015296926223212104,933,88,2000,2000,0,1.0,-0.1495730440505667,0.11743868465318129,available,inconclusive,confirmatory_available
fresh_primary,site_weighted,P1_vs_B2,P1,B2,3,brier,0.01234885104699078,885,86,2000,2000,0,1.0,-0.004252231912812629,0.027634819580594272,available,inconclusive,confirmatory_available
fresh_primary,site_weighted,P1_vs_B2,P1,B2,3,pr_auc,-0.129610659481755,885,86,2000,2000,0,1.0,-0.2302197768406213,0.0010933031209549992,available,inconclusive,confirmatory_available
fresh_primary,site_weighted,P1_vs_P0,P1,P0,1,brier,0.0014478094358833515,966,89,2000,2000,0,1.0,-0.003153784622873326,0.006274871612953109,available,inconclusive,confirmatory_available
fresh_primary,site_weighted,P1_vs_P0,P1,P0,1,pr_auc,-0.04583380627373834,966,89,2000,2000,0,1.0,-0.085681889617209,-0.0048240123162096695,available,inferior,confirmatory_available
fresh_primary,site_weighted,P1_vs_P0,P1,P0,2,brier,-0.0038354809486410985,933,88,2000,2000,0,1.0,-0.014816940730409584,0.004153715508580154,available,descriptively_favorable,confirmatory_available
fresh_primary,site_weighted,P1_vs_P0,P1,P0,2,pr_auc,-0.04454403446332267,933,88,2000,2000,0,1.0,-0.11387205738124867,0.0464659746071553,available,inconclusive,confirmatory_available
fresh_primary,site_weighted,P1_vs_P0,P1,P0,3,brier,0.005088340335973315,885,86,2000,2000,0,1.0,-0.0012770212871831045,0.013378032752770948,available,inconclusive,confirmatory_available
fresh_primary,site_weighted,P1_vs_P0,P1,P0,3,pr_auc,-0.05551094938736645,885,86,2000,2000,0,1.0,-0.12884496563470801,0.014513005077089405,available,inconclusive,confirmatory_available
legacy_posthoc,observation_weighted,P1_vs_B2,P1,B2,1,brier,0.09468032901711546,635,32,2000,2000,0,1.0,0.03747507907496289,0.15708179544275816,available,inferior,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_B2,P1,B2,1,pr_auc,-0.1963445585192497,635,32,2000,2000,0,1.0,-0.323597843510353,-0.07864392162712702,available,inferior,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_B2,P1,B2,2,brier,0.08550083040169845,625,33,2000,2000,0,1.0,0.02433590893634342,0.1510022392422561,available,inferior,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_B2,P1,B2,2,pr_auc,-0.18672480326857022,625,33,2000,2000,0,1.0,-0.3100938326558396,-0.07947523140943254,available,inferior,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_B2,P1,B2,3,brier,0.07589695061393212,609,33,2000,2000,0,1.0,0.022639681494691814,0.13992726370565556,available,inferior,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_B2,P1,B2,3,pr_auc,-0.18113958832076282,609,33,2000,2000,0,1.0,-0.305188874437067,-0.07391257293366947,available,inferior,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_P0,P1,P0,1,brier,-0.0020311256285369117,635,32,2000,2000,0,1.0,-0.011532690425615236,0.007156741288891592,available,descriptively_favorable,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_P0,P1,P0,1,pr_auc,0.016666365770306002,635,32,2000,2000,0,1.0,-0.027127526540721786,0.05068177313620559,available,descriptively_favorable,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_P0,P1,P0,2,brier,-0.001808983758724847,625,33,2000,2000,0,1.0,-0.010687109268083415,0.008170954290150875,available,descriptively_favorable,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_P0,P1,P0,2,pr_auc,0.019631954414329467,625,33,2000,2000,0,1.0,-0.014534608690411285,0.05375442415637675,available,descriptively_favorable,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_P0,P1,P0,3,brier,-0.00330253231141589,609,33,2000,2000,0,1.0,-0.012762118504150018,0.006104662089312257,available,descriptively_favorable,posthoc_available
legacy_posthoc,observation_weighted,P1_vs_P0,P1,P0,3,pr_auc,0.027855337481623055,609,33,2000,2000,0,1.0,-0.013166472336817867,0.06524597716583225,available,descriptively_favorable,posthoc_available
legacy_posthoc,site_weighted,P1_vs_B2,P1,B2,1,brier,0.07008771388234347,635,32,2000,2000,0,1.0,0.02169938136008267,0.12630205327963093,available,inferior,posthoc_available
legacy_posthoc,site_weighted,P1_vs_B2,P1,B2,1,pr_auc,-0.20976266012946843,635,32,2000,2000,0,1.0,-0.34171475218151104,-0.08377382800403715,available,inferior,posthoc_available
legacy_posthoc,site_weighted,P1_vs_B2,P1,B2,2,brier,0.05735901898573603,625,33,2000,2000,0,1.0,0.006177095002236601,0.11419224250938509,available,inferior,posthoc_available
legacy_posthoc,site_weighted,P1_vs_B2,P1,B2,2,pr_auc,-0.22366367831149347,625,33,2000,2000,0,1.0,-0.3345927117794538,-0.08157175648882532,available,inferior,posthoc_available
legacy_posthoc,site_weighted,P1_vs_B2,P1,B2,3,brier,0.05252667039263931,609,33,2000,2000,0,1.0,0.009928555344382728,0.09983527360232418,available,inferior,posthoc_available
legacy_posthoc,site_weighted,P1_vs_B2,P1,B2,3,pr_auc,-0.20708287449256368,609,33,2000,2000,0,1.0,-0.3424292398833293,-0.06568244910683721,available,inferior,posthoc_available
legacy_posthoc,site_weighted,P1_vs_P0,P1,P0,1,brier,-0.0055788824942573645,635,32,2000,2000,0,1.0,-0.01576210459994528,0.004671705712912986,available,descriptively_favorable,posthoc_available
legacy_posthoc,site_weighted,P1_vs_P0,P1,P0,1,pr_auc,0.02525057318369417,635,32,2000,2000,0,1.0,-0.022071115438393994,0.06337984508012424,available,descriptively_favorable,posthoc_available
legacy_posthoc,site_weighted,P1_vs_P0,P1,P0,2,brier,-0.0015155185547607586,625,33,2000,2000,0,1.0,-0.010145671433926678,0.007607927911548806,available,descriptively_favorable,posthoc_available
legacy_posthoc,site_weighted,P1_vs_P0,P1,P0,2,pr_auc,0.019841370176787776,625,33,2000,2000,0,1.0,-0.021828844867102404,0.055340767869544415,available,descriptively_favorable,posthoc_available
