hypothesis_id,holm_family,holm_universe_size,holm_method,evaluation_cohort,estimand,comparison_id,horizon_months,metric,effect_estimate,ci95_lower,ci95_upper,raw_p_value,holm_p_value,multiplicity_status,holm_universe_retained,holm_universe_reduced,adjudication_from_ci
P1_vs_B2_brier_h1,A,3,holm,fresh_primary,observation_weighted,P1_vs_B2,1,brier,0.030238342621201772,0.014782945221604017,0.0509670664503123,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_B2_brier_h2,A,3,holm,fresh_primary,observation_weighted,P1_vs_B2,2,brier,0.023510048931733044,0.009213297490617084,0.03961784543424317,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_B2_brier_h3,A,3,holm,fresh_primary,observation_weighted,P1_vs_B2,3,brier,0.024347038562749834,0.011448978126669295,0.038841287655921486,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_P0_brier_h1,B,3,holm,fresh_primary,observation_weighted,P1_vs_P0,1,brier,0.002055873068348063,-0.0010116424121219096,0.005453926569101326,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inconclusive
P1_vs_P0_brier_h2,B,3,holm,fresh_primary,observation_weighted,P1_vs_P0,2,brier,0.002107102613829251,-0.002951400702366912,0.007192867568442768,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inconclusive
P1_vs_P0_brier_h3,B,3,holm,fresh_primary,observation_weighted,P1_vs_P0,3,brier,0.0031256656053624543,-0.0015790000878917621,0.00785692152685061,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inconclusive
P1_vs_B2_pr_auc_h1,C,6,holm,fresh_primary,observation_weighted,P1_vs_B2,1,pr_auc,-0.28190335832175323,-0.34388362576662956,-0.21427852810370288,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_B2_pr_auc_h2,C,6,holm,fresh_primary,observation_weighted,P1_vs_B2,2,pr_auc,-0.15841435231887968,-0.21752976560241502,-0.09324699607230233,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_B2_pr_auc_h3,C,6,holm,fresh_primary,observation_weighted,P1_vs_B2,3,pr_auc,-0.15265958876108343,-0.23887084495458988,-0.0661204262913595,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_P0_pr_auc_h1,C,6,holm,fresh_primary,observation_weighted,P1_vs_P0,1,pr_auc,-0.044976490630619814,-0.08956259202914314,-0.0004556595153062636,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_P0_pr_auc_h2,C,6,holm,fresh_primary,observation_weighted,P1_vs_P0,2,pr_auc,-0.07079146781292722,-0.11644017103994085,-0.016714786274242933,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
P1_vs_P0_pr_auc_h3,C,6,holm,fresh_primary,observation_weighted,P1_vs_P0,3,pr_auc,-0.04513365937090996,-0.08855070946632822,-0.004660644076142109,,,not_applied_bootstrap_p_value_not_predeclared,True,False,inferior
