evaluation_cohort,estimand,comparison_id,comparison_tier,challenger,reference,horizon_months,metric,direction,estimate,challenger_estimate,reference_estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,site_improvement_numerator,site_improvement_denominator,proportion_sites_challenger_better,registered_hypothesis_id,holm_family,raw_p_value,holm_p_value,p_value_status,holm_universe_retained,result_state,adjudication,seed_pseudoreplication
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.030238342621201772,0.12241620257650711,0.09217785995530534,966,89,2000,2000,0,1.0,0.014782945221604017,0.0509670664503123,available,22,89,0.24719101123595505,P1_vs_B2_brier_h1,A,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,1,pr_auc,higher_is_better,-0.28190335832175323,0.4174501644133288,0.699353522735082,966,89,2000,2000,0,1.0,-0.34388362576662956,-0.21427852810370288,available,7,30,0.23333333333333334,P1_vs_B2_pr_auc_h1,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,2,brier,lower_is_better,0.023510048931733044,0.11829775247467474,0.09478770354294169,933,88,2000,2000,0,1.0,0.009213297490617084,0.03961784543424317,available,26,88,0.29545454545454547,P1_vs_B2_brier_h2,A,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,2,pr_auc,higher_is_better,-0.15841435231887968,0.4517484967781924,0.6101628490970721,933,88,2000,2000,0,1.0,-0.21752976560241502,-0.09324699607230233,available,15,30,0.5,P1_vs_B2_pr_auc_h2,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,3,brier,lower_is_better,0.024347038562749834,0.11807220983370761,0.09372517127095778,885,86,2000,2000,0,1.0,0.011448978126669295,0.038841287655921486,available,23,86,0.26744186046511625,P1_vs_B2_brier_h3,A,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.15265958876108343,0.4759017561245791,0.6285613448856625,885,86,2000,2000,0,1.0,-0.23887084495458988,-0.0661204262913595,available,14,30,0.4666666666666667,P1_vs_B2_pr_auc_h3,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,0.002055873068348063,0.12241620257650711,0.12036032950815904,966,89,2000,2000,0,1.0,-0.0010116424121219096,0.005453926569101326,available,24,89,0.2696629213483146,P1_vs_P0_brier_h1,B,,,not_computed_not_predeclared,True,confirmatory_available,inconclusive,False
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,-0.044976490630619814,0.4174501644133288,0.4624266550439486,966,89,2000,2000,0,1.0,-0.08956259202914314,-0.0004556595153062636,available,8,30,0.26666666666666666,P1_vs_P0_pr_auc_h1,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,0.002107102613829251,0.11829775247467474,0.11619064986084549,933,88,2000,2000,0,1.0,-0.002951400702366912,0.007192867568442768,available,26,88,0.29545454545454547,P1_vs_P0_brier_h2,B,,,not_computed_not_predeclared,True,confirmatory_available,inconclusive,False
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,-0.07079146781292722,0.4517484967781924,0.5225399645911196,933,88,2000,2000,0,1.0,-0.11644017103994085,-0.016714786274242933,available,3,30,0.1,P1_vs_P0_pr_auc_h2,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False
