evaluation_cohort,comparison_id,challenger,reference,horizon_months,metric,source_id,site_id,cluster_id,shared_success_rows,positive_rows,negative_rows,challenger_metric,reference_metric,delta_challenger_minus_reference,challenger_better,status
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21AWIC-129,wqp::wqp:21AWIC-129,6,2,4,0.29558281733395336,0.3074502104059374,-0.011867393071984034,True,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-ALLEN-2,wqp::wqp:21FLCBA_WQX-WAL-ALLEN-2,6,0,6,0.005024985496686227,0.00013731656563708268,0.004887668931049144,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-ALLEN-3,wqp::wqp:21FLCBA_WQX-WAL-ALLEN-3,6,0,6,0.006606110289062978,4.38200493414721e-05,0.006562290239721506,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-CAMPCREE-1,wqp::wqp:21FLCBA_WQX-WAL-CAMPCREE-1,11,0,11,0.004589257456644751,8.743062150884344e-05,0.004501826835135907,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-CAMPCREE-2,wqp::wqp:21FLCBA_WQX-WAL-CAMPCREE-2,12,0,12,0.004948713601406907,0.00010207135462978049,0.0048466422467771265,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-CAMPCREE-3,wqp::wqp:21FLCBA_WQX-WAL-CAMPCREE-3,11,0,11,0.010527425418086251,0.0006750067257609832,0.009852418692325268,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-DRAPER-1,wqp::wqp:21FLCBA_WQX-WAL-DRAPER-1,20,0,20,0.0031170206232389286,0.0001036111457775888,0.00301340947746134,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-DRAPER-2,wqp::wqp:21FLCBA_WQX-WAL-DRAPER-2,21,0,21,0.003362519934677351,0.00014803488133997522,0.0032144850533373757,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-DRAPER-3,wqp::wqp:21FLCBA_WQX-WAL-DRAPER-3,21,0,21,0.0036023879391619616,4.424657925214218e-05,0.0035581413599098193,False,estimated
fresh_primary,P1_vs_B2,P1,B2,1,brier,wqp,wqp:21FLCBA_WQX-WAL-EASTERN-1,wqp::wqp:21FLCBA_WQX-WAL-EASTERN-1,3,0,3,0.00413398708919178,1.965189432925219e-05,0.004114335194862528,False,estimated
