evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,brier,lower,0.9985294352556104,descriptive_available,0.0015292584918578192,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,pr_auc,higher,1.0106162050003973,descriptive_available,0.04558124969147965,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,brier,lower,0.9981316662996026,descriptive_available,0.0011836659835174487,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,pr_auc,higher,1.0706709609620348,descriptive_available,0.06279676344555268,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,brier,lower,0.9998357396744997,descriptive_available,0.0004501898397245778,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,pr_auc,higher,1.0812403130996375,descriptive_available,0.08020817201654865,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,brier,lower,0.9985644747054184,descriptive_available,0.002130870154901861,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,pr_auc,higher,1.1414695331952138,descriptive_available,0.08790317199368856,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,brier,lower,0.9986017414833264,descriptive_available,0.0015459045723863682,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,pr_auc,higher,0.9982668796979535,descriptive_available,0.04869132802771696,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,brier,lower,0.9982360820633804,descriptive_available,0.0007504578743302222,5
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,pr_auc,higher,1.0280032071971008,descriptive_available,0.0757581719181294,5
