evaluation_cohort,scenario_id,degradation_seed,model_id,model_seed,horizon_months,estimand,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,mask_sha256,metric,estimate,metric_rows,status
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.29180092659781715,966,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.4855305466237942,966,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.16627790994210456,966,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.2867384418560832,966,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.5486649427996276,966,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.1984870413299435,966,estimated
fresh_primary,ablate_clarity,1729,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.2948721090797787,933,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.46937416777629826,933,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.16672315100754792,933,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.2928363916000071,933,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.4926554176140851,933,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.1783587583178211,933,estimated
fresh_primary,ablate_clarity,1729,M0,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.2937843652607874,885,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.46984572230014027,885,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.15114552904630807,885,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.29111828147082114,885,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.47895888132266634,885,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.1636693817196055,885,estimated
fresh_primary,ablate_clarity,1729,M0,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.1269170618006098,966,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.42446941323345816,966,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,0.3794120803444529,966,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,0.12422360248447205,966,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.37136458414049717,966,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,5.548390328189369,966,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.15453428992139945,966,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.3323619401188223,966,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,0.37947499013766767,966,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,0.12928455824392035,966,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.32255873135411317,966,estimated
fresh_primary,ablate_clarity,1729,P1,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,5.140115436218375,966,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.12504451896452795,933,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.4673495518565941,933,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,0.2949062784512838,933,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,0.09431939978563773,933,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.3788763876801539,933,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,observation_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,6.172639646031869,933,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.12783648928713232,933,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.4028609385923722,933,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,0.2949062784512837,933,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,0.11169025027066759,933,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.3626360083408625,933,estimated
fresh_primary,ablate_clarity,1729,P1,1729,2,site_weighted,2286,2286,2286,933,933,933,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,5.7769204797756455,933,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.12509826007796496,885,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.4696132596685083,885,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,0.2856032500664393,885,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,0.08813559322033898,885,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.3950460286694245,885,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,observation_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,6.192853813352399,885,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.13981720094351982,885,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.43682675151707673,885,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,0.28560325006643933,885,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,0.09593360071301248,885,descriptive_available
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.33406036492106844,885,estimated
fresh_primary,ablate_clarity,1729,P1,1729,3,site_weighted,2286,2286,2286,885,885,885,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,6.047684271972205,885,descriptive_available
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,brier,0.29180092659781715,966,estimated
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,f2,0.4855305466237942,966,estimated
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,failure_rate,0.0,2286,estimated
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,mpiw,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,picp,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,pr_auc,0.16627790994210456,966,estimated
fresh_primary,ablate_clarity,314159,M0,1729,1,observation_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,winkler,,0,not_applicable_distinct_type2_interval_semantics
fresh_primary,ablate_clarity,314159,M0,1729,1,site_weighted,2286,2286,2286,966,966,966,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,availability,1.0,2286,estimated
