evaluation_cohort,estimand,scenario_id,row_count,positive_objective_row_fraction,ecologically_coherent_row_fraction,mean_delta_irc,mean_delta_bloom,mean_delta_u,mean_support_violation,mean_relative_cost,confirmatory_delta_objective,ci95_lower,ci95_upper,p_holm,dictamen,result_state
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,5634,0.0,0.9948526801561945,0.0016626066617635054,0.0007426111790861916,-9.35514221359549e-05,0.08626198083067092,1.4000000000000001,-0.07301855322830939,-0.07451383414317912,-0.07171291333783746,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,5634,0.0,0.9948526801561945,0.0032943489301322467,0.0014725568350666784,-0.00018441761482285268,0.0724174653887114,2.8000000000000003,-0.14105535531079091,-0.14239357273311692,-0.1398332696921645,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,5634,0.0,0.9364572239971601,0.005146210675140257,0.0024375322672364665,-1.0166846020886657e-05,0.16826411075612355,2.6,-0.1343604035316265,-0.13725027175545412,-0.13171642637251604,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,5634,0.0,0.9376996805111821,0.013459826226377824,0.00639266586719131,7.807798617521756e-05,0.1794462193823216,4.0,-0.19836473576304878,-0.20192922031713773,-0.1951885448432043,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,oxygen_support_05,6744,0.0001482799525504152,0.9876927639383155,0.0030186063654576425,0.0013397454979769464,-0.0001673809603628503,0.004893238434163701,0.5999999999999998,-0.0278981403757613,-0.02835203933284396,-0.027391150863300073,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,5031,0.0,0.5197773802424965,0.0001711852087823217,3.2907362835061633e-06,-1.9578532125922432e-05,0.004770423375074538,0.7999999999999998,-0.040144346184850355,-0.04059895729042054,-0.039661957639769874,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,6858,0.0,0.884368620589093,0.003206346273173092,0.0015564326607933007,7.549874028972278e-05,0.08486439195100612,1.0,-0.05170928216651496,-0.054036682151198834,-0.04984337408488756,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,6858,0.0,0.8813065033537475,0.009309545514667486,0.004495307251186705,0.00023461949589753783,0.11286089238845144,2.5,-0.12329021170252995,-0.12643032713446975,-0.12066225056442731,1.0,no_confirmatory_positive_evidence,confirmatory_available
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,5031,0.0,0.8781554362949712,0.0034963586018351336,0.0015971139206655976,5.032820622773924e-05,0.07811568276684555,2.0,-0.10118115298749635,-0.10308552047329395,-0.09955689194665392,1.0,no_confirmatory_positive_evidence,confirmatory_available
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,1776,0.0,0.9932432432432432,0.0016625657425941647,0.0007473384156017692,-9.183476066535656e-05,0.06418918918918919,1.3999999999999997,-0.07191302563019052,-0.07477028894144216,-0.06960602299919878,1.0,no_confirmatory_positive_evidence,posthoc_available
