evaluation_cohort,estimand,scenario_id,row_count,cluster_count,estimate,ci95_lower,ci95_upper,p_value_greater,p_holm,reject_holm_0_05,status,intended_row_count,shared_success_row_count,availability,result_state,alternative,holm_universe_size
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,5634,112,-0.07301855322830939,-0.07451383414317912,-0.07171291333783746,1.0,1.0,False,available,6858,5634,0.821522309711286,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,5634,112,-0.14105535531079091,-0.14239357273311692,-0.1398332696921645,1.0,1.0,False,available,6858,5634,0.821522309711286,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,5634,112,-0.1343604035316265,-0.13725027175545412,-0.13171642637251604,1.0,1.0,False,available,6858,5634,0.821522309711286,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,5634,112,-0.19836473576304878,-0.20192922031713773,-0.1951885448432043,1.0,1.0,False,available,6858,5634,0.821522309711286,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,oxygen_support_05,6744,133,-0.0278981403757613,-0.02835203933284396,-0.027391150863300073,1.0,1.0,False,available,6858,6744,0.9833770778652668,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,5031,93,-0.040144346184850355,-0.04059895729042054,-0.039661957639769874,1.0,1.0,False,available,6858,5031,0.7335958005249343,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,6858,137,-0.05170928216651496,-0.054036682151198834,-0.04984337408488756,1.0,1.0,False,available,6858,6858,1.0,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,6858,137,-0.12329021170252995,-0.12643032713446975,-0.12066225056442731,1.0,1.0,False,available,6858,6858,1.0,confirmatory_available,greater_than_zero,9
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,5031,93,-0.10118115298749635,-0.10308552047329395,-0.09955689194665392,1.0,1.0,False,available,6858,5031,0.7335958005249343,confirmatory_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,1776,32,-0.07191302563019052,-0.07477028894144216,-0.06960602299919878,1.0,1.0,False,available,13464,1776,0.1319073083778966,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,1776,32,-0.14078647856930598,-0.1437568328028012,-0.1383398553414174,1.0,1.0,False,available,13464,1776,0.1319073083778966,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1668,31,-0.129697103005924,-0.134657220569448,-0.12583909467107132,1.0,1.0,False,available,13464,1668,0.12388591800356506,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1668,31,-0.19391985996881667,-0.20096333296003438,-0.18825628937717964,1.0,1.0,False,available,13464,1668,0.12388591800356506,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,oxygen_support_05,2400,34,-0.028713090110735764,-0.029391087493368447,-0.02806343134267646,1.0,1.0,False,available,13464,2400,0.17825311942959002,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,tn_reduction_10,570,15,-0.03957007320364666,-0.04099480747731337,-0.03844455109626106,1.0,1.0,False,available,13464,570,0.04233511586452763,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_10,2124,33,-0.04874355797603848,-0.05236304889308352,-0.046580745377890115,1.0,1.0,False,available,13464,2124,0.15775401069518716,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,2124,33,-0.11968881741346181,-0.1250972117560976,-0.11547959940336797,1.0,1.0,False,available,13464,2124,0.15775401069518716,posthoc_available,greater_than_zero,9
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,561,14,-0.10500524115682852,-0.11405812506849936,-0.09807751829346406,1.0,1.0,False,available,13464,561,0.041666666666666664,posthoc_available,greater_than_zero,9
