evaluation_cohort,estimand,scenario_id,cost_weight_multiplier,support_penalty_multiplier,row_count,delta_objective,positive,role
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,0.5,0.5,5634,-0.035861947900833725,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,0.5,1.0,5634,-0.038018497421600496,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,0.5,2.0,5634,-0.042331596463134044,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,1.0,0.5,5634,-0.07086194790083372,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,1.0,1.0,5634,-0.07301849742160049,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,1.0,2.0,5634,-0.07733159646313403,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,2.0,0.5,5634,-0.1408619479008337,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,2.0,1.0,5634,-0.1430184974216005,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,2.0,2.0,5634,-0.14733159646313404,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,0.5,0.5,5634,-0.06924482389569543,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,0.5,1.0,5634,-0.07105526053041321,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,0.5,2.0,5634,-0.07467613379984878,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,1.0,0.5,5634,-0.13924482389569542,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,1.0,1.0,5634,-0.1410552605304132,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,1.0,2.0,5634,-0.14467613379984876,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,2.0,0.5,5634,-0.27924482389569544,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,2.0,1.0,5634,-0.2810552605304132,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,2.0,2.0,5634,-0.28467613379984874,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,0.5,0.5,5634,-0.0651525390912881,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,0.5,1.0,5634,-0.0693591418601912,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,0.5,2.0,5634,-0.07777234739799738,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1.0,0.5,5634,-0.1301525390912881,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1.0,1.0,5634,-0.13435914186019118,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,1.0,2.0,5634,-0.14277234739799738,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,2.0,0.5,5634,-0.2601525390912881,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,2.0,1.0,5634,-0.2643591418601912,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,2.0,2.0,5634,-0.2727723473979974,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,0.5,0.5,5634,-0.09387493208088639,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,0.5,1.0,5634,-0.09836108756544443,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,0.5,2.0,5634,-0.1073333985345605,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1.0,0.5,5634,-0.19387493208088635,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1.0,1.0,5634,-0.19836108756544443,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,1.0,2.0,5634,-0.20733339853456048,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,2.0,0.5,5634,-0.3938749320808864,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,2.0,1.0,5634,-0.39836108756544447,False,descriptive_only
