evidence_id,evidence_block,hypothesis_id,cohort,estimand,comparison_or_scenario,horizon_months,metric,estimate,ci95_lower,ci95_upper,denominator,availability_state,adjudication,artifact_path,limitation,authority_commit
DEG:fresh_primary:observation_weighted:M0:h1:mcar:brier,degradation,H3|H4,fresh_primary,observation_weighted,M0:mcar,1,aupd_brier,0.9985294353,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h1:mcar:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,M0:mcar,1,aupd_pr_auc,1.010616205,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h1:temporal_block:brier,degradation,H3|H4,fresh_primary,observation_weighted,M0:temporal_block,1,aupd_brier,0.9981316663,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h1:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,M0:temporal_block,1,aupd_pr_auc,1.070670961,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h2:mcar:brier,degradation,H3|H4,fresh_primary,observation_weighted,M0:mcar,2,aupd_brier,0.9986017415,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h2:mcar:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,M0:mcar,2,aupd_pr_auc,0.9982668797,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h2:temporal_block:brier,degradation,H3|H4,fresh_primary,observation_weighted,M0:temporal_block,2,aupd_brier,0.9982360821,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h2:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,M0:temporal_block,2,aupd_pr_auc,1.028003207,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h3:mcar:brier,degradation,H3|H4,fresh_primary,observation_weighted,M0:mcar,3,aupd_brier,0.9980260779,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h3:mcar:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,M0:mcar,3,aupd_pr_auc,1.0483831,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h3:temporal_block:brier,degradation,H3|H4,fresh_primary,observation_weighted,M0:temporal_block,3,aupd_brier,0.9972356456,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:M0:h3:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,M0:temporal_block,3,aupd_pr_auc,1.081131534,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h1:mcar:brier,degradation,H3|H4,fresh_primary,observation_weighted,P1:mcar,1,aupd_brier,0.9268253488,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h1:mcar:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,P1:mcar,1,aupd_pr_auc,0.8163465741,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h1:temporal_block:brier,degradation,H3|H4,fresh_primary,observation_weighted,P1:temporal_block,1,aupd_brier,0.9523225967,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h1:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,P1:temporal_block,1,aupd_pr_auc,0.8929297006,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h2:mcar:brier,degradation,H3|H4,fresh_primary,observation_weighted,P1:mcar,2,aupd_brier,0.9229565377,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h2:mcar:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,P1:mcar,2,aupd_pr_auc,0.826921707,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h2:temporal_block:brier,degradation,H3|H4,fresh_primary,observation_weighted,P1:temporal_block,2,aupd_brier,0.9516823759,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h2:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,P1:temporal_block,2,aupd_pr_auc,0.9016724116,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h3:mcar:brier,degradation,H3|H4,fresh_primary,observation_weighted,P1:mcar,3,aupd_brier,0.9306021547,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h3:mcar:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,P1:mcar,3,aupd_pr_auc,0.8259942597,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h3:temporal_block:brier,degradation,H3|H4,fresh_primary,observation_weighted,P1:temporal_block,3,aupd_brier,0.9590789969,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:observation_weighted:P1:h3:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,observation_weighted,P1:temporal_block,3,aupd_pr_auc,0.8978054821,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h1:mcar:brier,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,1,aupd_brier,0.9998357397,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:M0:h1:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,M0:mcar,1,aupd_pr_auc,1.081240313,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
