model_id,base_seed,status,selected_profile,calibrated_horizons,minimum_calibration_rows,minimum_calibration_locations,replacement_used,artifact_path,authority_commit,limitation
P0,1729,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P0,20260612,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P0,20260613,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P0,20260614,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P0,314159,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P1,1729,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P1,20260612,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P1,20260613,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P1,20260614,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
P1,314159,available,v2_primary,1|2|3,177,42,False,reports/closure_v2/03_calibration/model_availability.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Five seeds are algorithmic slots, not ecological replicates."
