model_id,base_seed,intent_rows,complete_case_rows,fit_intent_rows,fit_eligible_rows,shared_fit_eligible_rows,fit_eligibility_fraction,calibration_intent_rows,calibration_eligible_rows,shared_calibration_eligible_rows,noneligible_rows,artifact_path,authority_commit,limitation
P0,1729,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P0,314159,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P0,20260612,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P0,20260613,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P0,20260614,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P1,1729,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P1,314159,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P1,20260612,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P1,20260613,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
P1,20260614,9732,9227,9413,8925,8925,0.9481568044,319,302,302,505,reports/closure_v2/01_surface/eligibility_counts.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims apply to the complete-case shared-fit population; all incomplete intent rows remain counted.
