evaluation_cohort,estimand,comparison_id,comparison_tier,challenger,reference,horizon_months,metric,direction,estimate,challenger_estimate,reference_estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,site_improvement_numerator,site_improvement_denominator,proportion_sites_challenger_better,registered_hypothesis_id,holm_family,raw_p_value,holm_p_value,p_value_status,holm_universe_retained,result_state,adjudication,seed_pseudoreplication,artifact_path,authority_commit,limitation
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.03023834262,0.1224162026,0.09217785996,966,89,2000,2000,0,1,0.01478294522,0.05096706645,available,22,89,0.2471910112,P1_vs_B2_brier_h1,A,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,1,pr_auc,higher_is_better,-0.2819033583,0.4174501644,0.6993535227,966,89,2000,2000,0,1,-0.3438836258,-0.2142785281,available,7,30,0.2333333333,P1_vs_B2_pr_auc_h1,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,2,brier,lower_is_better,0.02351004893,0.1182977525,0.09478770354,933,88,2000,2000,0,1,0.009213297491,0.03961784543,available,26,88,0.2954545455,P1_vs_B2_brier_h2,A,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,2,pr_auc,higher_is_better,-0.1584143523,0.4517484968,0.6101628491,933,88,2000,2000,0,1,-0.2175297656,-0.09324699607,available,15,30,0.5,P1_vs_B2_pr_auc_h2,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,3,brier,lower_is_better,0.02434703856,0.1180722098,0.09372517127,885,86,2000,2000,0,1,0.01144897813,0.03884128766,available,23,86,0.2674418605,P1_vs_B2_brier_h3,A,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,observation_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.1526595888,0.4759017561,0.6285613449,885,86,2000,2000,0,1,-0.238870845,-0.06612042629,available,14,30,0.4666666667,P1_vs_B2_pr_auc_h3,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.02448469225,0.1513916828,0.1269069905,966,89,2000,2000,0,1,0.002102309335,0.05032821824,available,22,89,0.2471910112,,,,,not_computed_not_predeclared,False,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,1,pr_auc,higher_is_better,-0.2638031387,0.3568226902,0.6206258289,966,89,2000,2000,0,1,-0.3553004631,-0.1609410627,available,7,30,0.2333333333,,,,,not_computed_not_predeclared,False,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,2,brier,lower_is_better,-0.003559144922,0.1212628857,0.1248220307,933,88,2000,2000,0,1,-0.02947602523,0.01900638388,available,26,88,0.2954545455,,,,,not_computed_not_predeclared,False,confirmatory_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,2,pr_auc,higher_is_better,-0.01529692622,0.4342694886,0.4495664148,933,88,2000,2000,0,1,-0.1495730441,0.1174386847,available,15,30,0.5,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,3,brier,lower_is_better,0.01234885105,0.1298347296,0.1174858786,885,86,2000,2000,0,1,-0.004252231913,0.02763481958,available,23,86,0.2674418605,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.1296106595,0.400106914,0.5297175735,885,86,2000,2000,0,1,-0.2302197768,0.001093303121,available,14,30,0.4666666667,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.09468032902,0.2483356252,0.1536552962,635,32,2000,2000,0,1,0.03747507907,0.1570817954,available,9,32,0.28125,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,1,pr_auc,higher_is_better,-0.1963445585,0.4775628084,0.673907367,635,32,2000,2000,0,1,-0.3235978435,-0.07864392163,available,10,19,0.5263157895,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,2,brier,lower_is_better,0.0855008304,0.2493284142,0.1638275838,625,33,2000,2000,0,1,0.02433590894,0.1510022392,available,11,33,0.3333333333,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,2,pr_auc,higher_is_better,-0.1867248033,0.4654037958,0.6521285991,625,33,2000,2000,0,1,-0.3100938327,-0.07947523141,available,13,20,0.65,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,3,brier,lower_is_better,0.07589695061,0.2478118134,0.1719148628,609,33,2000,2000,0,1,0.02263968149,0.1399272637,available,12,33,0.3636363636,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.1811395883,0.4679699862,0.6491095745,609,33,2000,2000,0,1,-0.3051888744,-0.07391257293,available,10,20,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
legacy_posthoc,site_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.07008771388,0.2192190773,0.1491313634,635,32,2000,2000,0,1,0.02169938136,0.1263020533,available,9,32,0.28125,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Fresh-primary is internal WQP evidence; legacy-posthoc is retrospective complementary evidence.
