evaluation_cohort,estimand,comparison_id,comparison_tier,challenger,reference,horizon_months,metric,direction,estimate,challenger_estimate,reference_estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,site_improvement_numerator,site_improvement_denominator,proportion_sites_challenger_better,registered_hypothesis_id,holm_family,raw_p_value,holm_p_value,p_value_status,holm_universe_retained,result_state,adjudication,seed_pseudoreplication,artifact_path,authority_commit,limitation
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,0.002055873068,0.1224162026,0.1203603295,966,89,2000,2000,0,1,-0.001011642412,0.005453926569,available,24,89,0.2696629213,P1_vs_P0_brier_h1,B,,,not_computed_not_predeclared,True,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,-0.04497649063,0.4174501644,0.462426655,966,89,2000,2000,0,1,-0.08956259203,-0.0004556595153,available,8,30,0.2666666667,P1_vs_P0_pr_auc_h1,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,0.002107102614,0.1182977525,0.1161906499,933,88,2000,2000,0,1,-0.002951400702,0.007192867568,available,26,88,0.2954545455,P1_vs_P0_brier_h2,B,,,not_computed_not_predeclared,True,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,-0.07079146781,0.4517484968,0.5225399646,933,88,2000,2000,0,1,-0.116440171,-0.01671478627,available,3,30,0.1,P1_vs_P0_pr_auc_h2,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,0.003125665605,0.1180722098,0.1149465442,885,86,2000,2000,0,1,-0.001579000088,0.007856921527,available,27,86,0.3139534884,P1_vs_P0_brier_h3,B,,,not_computed_not_predeclared,True,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,observation_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,-0.04513365937,0.4759017561,0.5210354155,885,86,2000,2000,0,1,-0.08855070947,-0.004660644076,available,8,30,0.2666666667,P1_vs_P0_pr_auc_h3,C,,,not_computed_not_predeclared,True,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,0.001447809436,0.1513916828,0.1499438733,966,89,2000,2000,0,1,-0.003153784623,0.006274871613,available,24,89,0.2696629213,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,-0.04583380627,0.3568226902,0.4026564965,966,89,2000,2000,0,1,-0.08568188962,-0.004824012316,available,8,30,0.2666666667,,,,,not_computed_not_predeclared,False,confirmatory_available,inferior,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,-0.003835480949,0.1212628857,0.1250983667,933,88,2000,2000,0,1,-0.01481694073,0.004153715509,available,26,88,0.2954545455,,,,,not_computed_not_predeclared,False,confirmatory_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,-0.04454403446,0.4342694886,0.4788135231,933,88,2000,2000,0,1,-0.1138720574,0.04646597461,available,3,30,0.1,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,0.005088340336,0.1298347296,0.1247463893,885,86,2000,2000,0,1,-0.001277021287,0.01337803275,available,27,86,0.3139534884,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,-0.05551094939,0.400106914,0.4556178634,885,86,2000,2000,0,1,-0.1288449656,0.01451300508,available,8,30,0.2666666667,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,-0.002031125629,0.2483356252,0.2503667509,635,32,2000,2000,0,1,-0.01153269043,0.007156741289,available,16,32,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
