evaluation_cohort,estimand,scenario_id,row_count,cluster_count,estimate,ci95_lower,ci95_upper,p_value_greater,p_holm,reject_holm_0_05,status,intended_row_count,shared_success_row_count,availability,result_state,alternative,holm_universe_size,artifact_path,authority_commit,limitation
fresh_primary,observation_weighted_pooled_h1_h3,clarity_mild,5634,112,-0.07301855323,-0.07451383414,-0.07171291334,1,1,False,available,6858,5634,0.8215223097,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,clarity_strong,5634,112,-0.1410553553,-0.1423935727,-0.1398332697,1,1,False,available,6858,5634,0.8215223097,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_mild,5634,112,-0.1343604035,-0.1372502718,-0.1317164264,1,1,False,available,6858,5634,0.8215223097,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,nutrient_clarity_strong,5634,112,-0.1983647358,-0.2019292203,-0.1951885448,1,1,False,available,6858,5634,0.8215223097,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,oxygen_support_05,6744,133,-0.02789814038,-0.02835203933,-0.02739115086,1,1,False,available,6858,6744,0.9833770779,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,5031,93,-0.04014434618,-0.04059895729,-0.03966195764,1,1,False,available,6858,5031,0.7335958005,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,6858,137,-0.05170928217,-0.05403668215,-0.04984337408,1,1,False,available,6858,6858,1,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,6858,137,-0.1232902117,-0.1264303271,-0.1206622506,1,1,False,available,6858,6858,1,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,5031,93,-0.101181153,-0.1030855205,-0.09955689195,1,1,False,available,6858,5031,0.7335958005,confirmatory_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_mild,1776,32,-0.07191302563,-0.07477028894,-0.069606023,1,1,False,available,13464,1776,0.1319073084,posthoc_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
legacy_posthoc,observation_weighted_pooled_h1_h3,clarity_strong,1776,32,-0.1407864786,-0.1437568328,-0.1383398553,1,1,False,available,13464,1776,0.1319073084,posthoc_available,greater_than_zero,9,reports/closure_v2/07_planning/planning_bootstrap.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Simulated raw-proxy objectives are not causal effects, recommendations, or universal optima."
