degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,split,rollout_horizon_months,source_id,target_event,alert_policy,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,tn,fp,fn,tp,precision,recall,specificity,f1,f2,mcc,balanced_accuracy,pr_auc,roc_auc,brier,delta_positive_rate_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_f1_vs_control,delta_f2_vs_control,delta_mcc_vs_control,delta_balanced_accuracy_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,all,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,False,11852,11852,1.0,1473,0.12428282146473169,1641,0.1384576442794465,9737,642,474,999,0.6087751371115173,0.6782077393075356,0.9381443298969072,0.6416184971098265,0.6630824372759856,0.5887345986445371,0.8081760346022214,0.6621253336440173,0.9295548017312885,0.061902872831083935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,all,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,False,11852,11852,1.0,1473,0.12428282146473169,2595,0.2189503881201485,8998,1381,259,1214,0.4678227360308285,0.8241683638832314,0.8669428654012911,0.5968534906588004,0.7152114999410863,0.5513447784993566,0.8455556146422613,0.6621253336440173,0.9295548017312885,0.061902872831083935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,all,bloom_h,fixed,probability_bloom_mean,0.3,False,11852,11852,1.0,1473,0.12428282146473169,1327,0.11196422544718192,9948,431,577,896,0.6752072343632253,0.6082824168363883,0.9584738414105405,0.64,0.6205845684997923,0.5929648367016697,0.7833781291234644,0.6736905831849537,0.9296769869338362,0.07105082827495536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,all,irc_alert,closest_pr,alert_probability_irc,0.359375,False,13327,13327,1.0,4444,0.33345839273654987,4850,0.36392286336009605,7810,1073,667,3777,0.7787628865979381,0.8499099909990999,0.8792074749521558,0.8127824402840542,0.8346592415804825,0.7144509156396472,0.8645587329756279,0.8894117101944761,0.9350853651727887,0.09129972723371726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,all,irc_alert,fbeta,alert_probability_irc,0.1171875,False,13327,13327,1.0,4444,0.33345839273654987,6661,0.4998124108951752,6393,2490,273,4171,0.6261822549166792,0.9385688568856886,0.7196892941573793,0.7511931562359297,0.8534189957850801,0.6206699656141792,0.8291290755215339,0.8894117101944761,0.9350853651727887,0.09129972723371726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,all,irc_alert,fixed,alert_probability_irc,0.5,False,13327,13327,1.0,4444,0.33345839273654987,4172,0.3130486981316125,8189,694,966,3478,0.8336529242569511,0.7826282628262826,0.9218732410221772,0.8073351903435468,0.7923273191179151,0.716221669355872,0.8522507519242299,0.8894117101944761,0.9350853651727887,0.09129972723371726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,aquamatch_chla,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,False,7154,7154,1.0,621,0.08680458484763769,723,0.10106234274531731,6236,297,195,426,0.5892116182572614,0.6859903381642513,0.9545384968620848,0.6339285714285714,0.6641721234798879,0.5983184720347413,0.820264417513168,0.6891469042584385,0.93697573547699,0.04322427248558322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,aquamatch_chla,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,False,7154,7154,1.0,621,0.08680458484763769,1177,0.16452334358400894,5858,675,119,502,0.42650807136788443,0.8083735909822867,0.8966784019592836,0.5583982202447163,0.6856050259491943,0.5354185509702505,0.8525259964707852,0.6891469042584385,0.93697573547699,0.04322427248558322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,aquamatch_chla,bloom_h,fixed,probability_bloom_mean,0.3,False,7154,7154,1.0,621,0.08680458484763769,578,0.08079396142018451,6346,187,230,391,0.6764705882352942,0.6296296296296297,0.9713760906168682,0.6522101751459549,0.6384715871979099,0.6209203780755811,0.8005028601232489,0.7070817075942829,0.9367997430609323,0.05178177294816787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,aquamatch_chla,irc_alert,closest_pr,alert_probability_irc,0.359375,False,7154,7154,1.0,1647,0.23022085546547386,1740,0.24322057590159352,5036,471,378,1269,0.7293103448275862,0.7704918032786885,0.9144724895587434,0.7493356953055802,0.7618876080691641,0.6721071573732658,0.842482146418716,0.8235199797583035,0.9250255429172278,0.08468834394711437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,aquamatch_chla,irc_alert,fbeta,alert_probability_irc,0.1171875,False,7154,7154,1.0,1647,0.23022085546547386,2440,0.34106793402292424,4525,982,189,1458,0.5975409836065574,0.8852459016393442,0.821681496277465,0.7134817714705163,0.807487815684537,0.6277539429453759,0.8534636989584046,0.8235199797583035,0.9250255429172278,0.08468834394711437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,aquamatch_chla,irc_alert,fixed,alert_probability_irc,0.5,False,7154,7154,1.0,1647,0.23022085546547386,1512,0.21135029354207435,5162,345,480,1167,0.7718253968253969,0.7085610200364298,0.937352460504812,0.7388414055080722,0.7203703703703703,0.6660184343301183,0.8229567402706209,0.8235199797583035,0.9250255429172278,0.08468834394711437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,lakebed_us_cse,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,False,25,25,1.0,0,0.0,0,0.0,25,0,0,0,0.0,0.0,1.0,0.0,0.0,,,,,0.004716806153064349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,lakebed_us_cse,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,False,25,25,1.0,0,0.0,2,0.08,23,2,0,0,0.0,0.0,0.92,0.0,0.0,,,,,0.004716806153064349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,lakebed_us_cse,bloom_h,fixed,probability_bloom_mean,0.3,False,25,25,1.0,0,0.0,0,0.0,25,0,0,0,0.0,0.0,1.0,0.0,0.0,,,,,0.004947599638112057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,lakebed_us_cse,irc_alert,closest_pr,alert_probability_irc,0.359375,False,28,28,1.0,5,0.17857142857142858,5,0.17857142857142858,20,3,3,2,0.4,0.4,0.8695652173913043,0.4,0.4,0.26956521739130435,0.6347826086956522,0.6263888888888889,0.8217391304347826,0.10595485142299108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled_degradation_v0,control_observed,control,core,evaluated,,test,1,lakebed_us_cse,irc_alert,fbeta,alert_probability_irc,0.1171875,False,28,28,1.0,5,0.17857142857142858,14,0.5,13,10,1,4,0.2857142857142857,0.8,0.5652173913043478,0.42105263157894735,0.5882352941176471,0.27975144247209416,0.682608695652174,0.6263888888888889,0.8217391304347826,0.10595485142299108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
