diagnostic_type,source_id,panel_rows,panel_sites,canonical_sequence_rows,canonical_sequence_sites,selected_origin_rows,selected_origin_sites,panel_rows_without_sequence_origin,source_in_canonical_sequences,source_in_selected_origins,rebuilt_state_rows,rebuilt_sequence_rows,rebuilt_discarded_rows,alignment_missing_rows,affected_sequence_rows,affected_sequence_cells,affected_selected_window_rows,affected_selected_window_cells,degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,scope,input_column,rows,changed_rows,mean_before,mean_after,mean_delta,mean_abs_delta,max_abs_delta
surface_by_source,wqp,1626672.0,106719.0,986674.0,43715.0,6145.0,610.0,639998.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
control_rebuild,all,,,986674.0,,,,,,,1626672.0,986674.0,639998.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_yN,12998.0,0.0,0.49841358362553434,0.49841358362553434,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_yF,12998.0,0.0,0.6007928439683611,0.6007928439683611,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_yT,12998.0,0.0,0.5875975402169176,0.5875975402169176,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_sigma_N,12998.0,0.0,0.3112587876092884,0.3112587876092884,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_sigma_F,12998.0,0.0,0.3329487793246204,0.3329487793246204,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_sigma_T,12998.0,0.0,0.4235345600838485,0.4235345600838485,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_delta_yN,12998.0,0.0,0.000278759871237221,0.000278759871237221,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_delta_yF,12998.0,0.0,-0.00020134648432479956,-0.00020134648432479956,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_delta_yT,12998.0,0.0,0.0052427390628850745,0.0052427390628850745,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_irc_basis,12998.0,0.0,0.5413351500874739,0.5413351500874739,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_yN,986674.0,0.0,0.5028808041160826,0.5028808041160826,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_yF,986674.0,0.0,0.6569116323523828,0.6569116323523828,0.0,0.0,0.0
