diagnostic_type,source_id,panel_rows,panel_sites,canonical_sequence_rows,canonical_sequence_sites,selected_origin_rows,selected_origin_sites,panel_rows_without_sequence_origin,source_in_canonical_sequences,source_in_selected_origins,rebuilt_state_rows,rebuilt_sequence_rows,rebuilt_discarded_rows,alignment_missing_rows,affected_sequence_rows,affected_sequence_cells,affected_selected_window_rows,affected_selected_window_cells,degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,scope,input_column,rows,changed_rows,mean_before,mean_after,mean_delta,mean_abs_delta,max_abs_delta
surface_by_source,wqp,1626672.0,106719.0,986674.0,43715.0,512.0,322.0,639998.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
control_rebuild,all,,,986674.0,,,,,,,1626672.0,986674.0,639998.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_yN,4692.0,0.0,0.4927734799606373,0.4927734799606373,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_yF,4692.0,0.0,0.601224973778041,0.601224973778041,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_yT,4692.0,0.0,0.6035954761680272,0.6035954761680272,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_sigma_N,4692.0,0.0,0.29675418947691284,0.29675418947691284,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_sigma_F,4692.0,0.0,0.32662100956891954,0.32662100956891954,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_sigma_T,4692.0,0.0,0.4142830427313478,0.4142830427313478,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_delta_yN,4692.0,0.0,0.00045734414298067314,0.00045734414298067314,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_delta_yF,4692.0,0.0,0.0008335834959743475,0.0008335834959743475,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_delta_yT,4692.0,0.0,0.0002535676523573852,0.0002535676523573852,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_rebuild,diagnostic,diagnostic,evaluated,,True,True,True,selected_window,x_irc_basis,4692.0,0.0,0.5509884018091175,0.5509884018091175,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_yN,986674.0,0.0,0.5028808041160826,0.5028808041160826,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_yF,986674.0,0.0,0.6569116323523828,0.6569116323523828,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_yT,986674.0,0.0,0.5387323346209835,0.5387323346209835,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_sigma_N,986674.0,0.0,0.6154957087155186,0.6154957087155186,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_sigma_F,986674.0,0.0,0.3948478545542281,0.3948478545542281,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_sigma_T,986674.0,0.0,0.4723175727860856,0.4723175727860856,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_delta_yN,986674.0,0.0,0.001279835720440109,0.001279835720440109,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_delta_yF,986674.0,0.0,-0.0032078903125487297,-0.0032078903125487297,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_delta_yT,986674.0,0.0,0.0208852582632934,0.0208852582632934,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_irc_basis,986674.0,0.0,0.5001497517079388,0.5001497517079388,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_yN,4692.0,0.0,0.4927734799606373,0.4927734799606373,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_yF,4692.0,0.0,0.601224973778041,0.601224973778041,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_yT,4692.0,0.0,0.6035954761680272,0.6035954761680272,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_sigma_N,4692.0,0.0,0.29675418947691284,0.29675418947691284,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_sigma_F,4692.0,0.0,0.32662100956891954,0.32662100956891954,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_sigma_T,4692.0,0.0,0.4142830427313478,0.4142830427313478,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_delta_yN,4692.0,0.0,0.00045734414298067314,0.00045734414298067314,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_delta_yF,4692.0,0.0,0.0008335834959743475,0.0008335834959743475,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_delta_yT,4692.0,0.0,0.0002535676523573852,0.0002535676523573852,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_irc_basis,4692.0,0.0,0.5509884018091175,0.5509884018091175,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yN,986674.0,353249.0,0.5028808041160826,0.5,-0.0028808041160825865,0.10404039555205237,0.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yF,986674.0,0.0,0.6569116323523828,0.6569116323523828,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yT,986674.0,0.0,0.5387323346209835,0.5387323346209835,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_N,986674.0,373455.0,0.6154957087155186,0.7750000000000001,0.1595042912844814,0.16462401674598134,0.6749999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_F,986674.0,0.0,0.3948478545542281,0.3948478545542281,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_T,986674.0,0.0,0.4723175727860856,0.4723175727860856,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yN,986674.0,312717.0,0.001279835720440109,0.0,-0.001279835720440109,0.05140122738140335,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yF,986674.0,0.0,-0.0032078903125487297,-0.0032078903125487297,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yT,986674.0,0.0,0.0208852582632934,0.0208852582632934,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_irc_basis,986674.0,353244.0,0.5001497517079388,0.4996696176885918,-0.0004801340193470971,0.017340065925342065,0.08333333333333348
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yN,4692.0,4254.0,0.4927734799606373,0.5,0.007226520039362685,0.2547932980202074,0.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yF,4692.0,0.0,0.601224973778041,0.601224973778041,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yT,4692.0,0.0,0.6035954761680272,0.6035954761680272,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_N,4692.0,4502.0,0.29675418947691284,0.7749999999999999,0.4782458105230871,0.4914597917677589,0.6749999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_F,4692.0,0.0,0.32662100956891954,0.32662100956891954,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_T,4692.0,0.0,0.4142830427313478,0.4142830427313478,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yN,4692.0,3908.0,0.00045734414298067314,0.0,-0.00045734414298067314,0.07540571082411386,0.9168117812681393
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yF,4692.0,0.0,0.0008335834959743475,0.0008335834959743475,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yT,4692.0,0.0,0.0002535676523573852,0.0002535676523573852,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_irc_basis,4692.0,4254.0,0.5509884018091175,0.552192821815678,0.0012044200065604522,0.04246554967003457,0.08333333333333348
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yN,986674.0,0.0,0.5028808041160826,0.5028808041160826,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yF,986674.0,811635.0,0.6569116323523828,0.60442873758007,-0.0524828947723129,0.22797349136108713,0.5714285714285715
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yT,986674.0,0.0,0.5387323346209835,0.5387323346209835,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_N,986674.0,0.0,0.6154957087155186,0.6154957087155186,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_F,986674.0,869211.0,0.3948478545542281,0.589337387344607,0.19448953279037873,0.2015770773749281,0.48285714285714276
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_T,986674.0,0.0,0.4723175727860856,0.4723175727860856,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yN,986674.0,0.0,0.001279835720440109,0.001279835720440109,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yF,986674.0,619603.0,-0.0032078903125487297,-0.0036843943508512575,-0.00047650403830252775,0.08976858276393976,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yT,986674.0,0.0,0.0208852582632934,0.0208852582632934,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_irc_basis,986674.0,811630.0,0.5001497517079388,0.5088969008366576,0.008747149128718813,0.03799558189351452,0.09523809523809534
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yN,4692.0,0.0,0.4927734799606373,0.4927734799606373,0.0,0.0,0.0
