degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,split,rollout_horizon_months,source_id,target_event,alert_policy,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,tn,fp,fn,tp,precision,recall,specificity,f1,f2,mcc,balanced_accuracy,pr_auc,roc_auc,brier,delta_positive_rate_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_f1_vs_control,delta_f2_vs_control,delta_mcc_vs_control,delta_balanced_accuracy_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,all,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,True,11852,11852,1.0,1473,0.12428282146473169,0,0.0,10379,0,1473,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.10751481152823769,0.41128513781189197,0.12204416972957176,0.0,-0.1384576442794465,-0.6087751371115173,-0.6782077393075356,0.061855670103092786,-0.6416184971098265,-0.6630824372759856,,-0.3081760346022214,-0.5546105221157795,-0.5182696639193964,0.06014129689848782
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,all,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,True,11852,11852,1.0,1473,0.12428282146473169,0,0.0,10379,0,1473,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.10751481152823769,0.41128513781189197,0.12204416972957176,0.0,-0.2189503881201485,-0.4678227360308285,-0.8241683638832314,0.13305713459870894,-0.5968534906588004,-0.7152114999410863,,-0.34555561464226126,-0.5546105221157795,-0.5182696639193964,0.06014129689848782
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,all,bloom_h,fixed,probability_bloom_mean,0.3,True,11852,11852,1.0,1473,0.12428282146473169,0,0.0,10379,0,1473,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.11365910094214729,0.42879313920930345,0.11802173184170506,0.0,-0.11196422544718192,-0.6752072343632253,-0.6082824168363883,0.041526158589459516,-0.64,-0.6205845684997923,,-0.2833781291234644,-0.5600314822428064,-0.5008838477245328,0.0469709035667497
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,all,irc_alert,closest_pr,alert_probability_irc,0.359375,True,13327,13327,1.0,4444,0.33345839273654987,4,0.00030014256771966684,8883,0,4440,4,1.0,0.0009000900090009,1.0,0.0017985611510791368,0.0011248593925759281,0.02449750120133857,0.5004500450045004,0.3442919287991785,0.49034946554432535,0.3122346502650282,0.0,-0.3636227207923764,0.22123711340206187,-0.849009900990099,0.12079252504784421,-0.8109838791329751,-0.8335343821879067,-0.6899534144383087,-0.3641086879711275,-0.5451197813952975,-0.4447358996284634,0.22093492303131096
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,all,irc_alert,fbeta,alert_probability_irc,0.1171875,True,13327,13327,1.0,4444,0.33345839273654987,294,0.022060478727395513,8716,167,4317,127,0.43197278911564624,0.02857785778577858,0.9812000450298323,0.05360911777121148,0.03514111787493083,0.03138460808479657,0.5048889514078054,0.3442919287991785,0.49034946554432535,0.3122346502650282,0.0,-0.47775193216777967,-0.194209465801033,-0.90999099909991,0.261510750872453,-0.6975840384647183,-0.8182778779101493,-0.5892853575293826,-0.3242401241137285,-0.5451197813952975,-0.4447358996284634,0.22093492303131096
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,all,irc_alert,fixed,alert_probability_irc,0.5,True,13327,13327,1.0,4444,0.33345839273654987,0,0.0,8883,0,4444,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.3442919287991785,0.49034946554432535,0.3122346502650282,0.0,-0.3130486981316125,-0.8336529242569511,-0.7826282628262826,0.07812675897782284,-0.8073351903435468,-0.7923273191179151,,-0.35225075192422994,-0.5451197813952975,-0.4447358996284634,0.22093492303131096
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,aquamatch_chla,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,True,7154,7154,1.0,621,0.08680458484763769,0,0.0,6533,0,621,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.0798380234396759,0.45874370500516026,0.08458075210858132,0.0,-0.10106234274531731,-0.5892116182572614,-0.6859903381642513,0.045461503137915193,-0.6339285714285714,-0.6641721234798879,,-0.32026441751316803,-0.6093088808187626,-0.4782320304718297,0.0413564796229981
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,aquamatch_chla,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,True,7154,7154,1.0,621,0.08680458484763769,0,0.0,6533,0,621,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.0798380234396759,0.45874370500516026,0.08458075210858132,0.0,-0.16452334358400894,-0.42650807136788443,-0.8083735909822867,0.10332159804071639,-0.5583982202447163,-0.6856050259491943,,-0.3525259964707852,-0.6093088808187626,-0.4782320304718297,0.0413564796229981
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,aquamatch_chla,bloom_h,fixed,probability_bloom_mean,0.3,True,7154,7154,1.0,621,0.08680458484763769,0,0.0,6533,0,621,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.08014942470022307,0.46830102985141947,0.08249742867219745,0.0,-0.08079396142018451,-0.6764705882352942,-0.6296296296296297,0.02862390938313175,-0.6522101751459549,-0.6384715871979099,,-0.3005028601232489,-0.6269322828940598,-0.4684987132095128,0.03071565572402958
pipe_grud_state_recomputed_degradation_v0,ablate_pipe_state_level,pipe_state_ablation,core,evaluated,,test,1,aquamatch_chla,irc_alert,closest_pr,alert_probability_irc,0.359375,True,7154,7154,1.0,1647,0.23022085546547386,0,0.0,5507,0,1647,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.21927051118128518,0.4518004848716581,0.21781041350883248,0.0,-0.24322057590159352,-0.7293103448275862,-0.7704918032786885,0.08552751044125662,-0.7493356953055802,-0.7618876080691641,,-0.342482146418716,-0.6042494685770183,-0.47322505804556975,0.13312206956171813
